Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Thrasio,https://www.crunchbase.com/organization/thrasio,http://www.thras.io,"Brand Marketing, Consumer Goods, E-Commerce, Retail, Supply Chain Management","Commerce and Shopping, Consumer Goods, Sales and Marketing, Transportation",Thrasio is a digital consumer goods company that acquires third-party businesses and direct-to-consumer e-commerce brands.,"Thrasio is a digital consumer goods company that acquires third-party businesses and direct-to-consumer e-commerce brands. After acquiring the Fulfilled by Amazon (FBA) businesses, the company onboards, optimizes, and operates these brands to expand their reach through marketing, search, product development, and supply chain management, leading to financial and operating growth. It is backed by Advent International, PEAK6 Investments, Upper90, JPMorgan Chase Bank, The Private Credit Group of Goldman Sachs Asset Management, and RBC Capital Markets, as well as Oaktree Capital Management, Bain Capital Credit, Barclays, BlackRock, BofA Securities, Credit Suisse Loan Funding, Monroe Capital, Morgan Stanley Private Credit, and UBS Securities. It was founded in 2018 by Carlos Cashman and Joshua Silberstein and is headquartered in Walpole, Massachusetts.",https://www.linkedin.com/company/thrasio,Unicorn,https://twitter.com/thrasio,https://www.facebook.com/thras.io,27
Apple,https://www.crunchbase.com/organization/apple,http://www.apple.com,"Consumer Electronics, Electronics, Hardware, Mobile Devices, Retail, Software","Commerce and Shopping, Consumer Electronics, Hardware, Mobile, Software","Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Apple is a multinational corporation that designs, manufactures, and markets mobile communication and media devices, personal computers, portable digital music players, and sells a variety of related software, services, peripherals, networking solutions, and third-party digital content and applications. Apple provides many products and services, including iPhone; iPad; iPod; Mac; Apple TV; a portfolio of consumer and professional software applications; the iOS and OS X operating systems; iCloud; and accessories, service, and support offerings.  It sells its products worldwide through its retail stores, online stores, direct sales force and third-party cellular network carriers, wholesalers, retailers, and value-added resellers to the consumer and also sells third-party iPhone, iPad, Mac and iPod compatible products, including application software and accessories through its online and retail stores. Introduced in 1984, the Macintosh was the first widely sold personal computer with a graphical user interface (GUI). That feature and others such as an improved floppy drive design and a low-cost hard drive that made data retrieval faster helped Apple cultivate a reputation for innovation. Apple was named as the most admired company in the United States in 2008 and in the world from 2008 to 2012 by the Fortune magazine. The company was founded by Steven Paul Jobs, Steve Wozniak, and Ronald Gerald Wayne on April 1, 1976, and is headquartered in Cupertino, California.",http://www.linkedin.com/company/apple,,https://twitter.com/apple,https://www.facebook.com/apple/,38
Groupon,https://www.crunchbase.com/organization/groupon,http://www.groupon.com,"E-Commerce, Internet, Retail, Social Media","Commerce and Shopping, Internet Services, Media and Entertainment",Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies.,"Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies. It is known as an online e-commerce platform that provides its users with the ability to purchase any product. Groupon offers consumers a vast marketplace of deals all over the world. Its users have the ability to discover various products on the web or on mobile with Groupon Local; enjoy vacations with Groupon Getaways; and find a curated selection of electronics, fashion, home furnishings, and more with Groupon Goods. Groupon provides merchants with a collection of products and services, including customizable deal campaigns, credit card payment processing capabilities, and point-of-sale solutions. The platform was launched in 2011 and is based in Chicago Heights, I.L.",http://www.linkedin.com/company/groupon,Exited Unicorn,http://twitter.com/groupon,http://www.facebook.com/groupon,90
Casper,https://www.crunchbase.com/organization/casper,https://casper.com/,"E-Commerce, Lifestyle, Product Design, Retail","Commerce and Shopping, Community and Lifestyle, Design","Casper is a sleep startup that launches a comfortable mattress sold directly to consumers, eliminating commission ­driven, inflated prices.","Casper is a sleep startup that launches a comfortable mattress sold directly to consumers, eliminating commission ­driven, inflated prices. Casper's mattresses are developed in-house by a team of product engineers with experience from IDEO.  The company developed a line of core sleep products, including the Casper pillow, sheets, foundation, bed frame, duvet, and a dog mattress.  The startup was founded in 2014 and is based in New York, United States.",https://www.linkedin.com/company/casper/,Exited Unicorn,https://twitter.com/casper,https://www.facebook.com/Casper/,110
Outer,https://www.crunchbase.com/organization/outer,https://liveouter.com/,"Furniture, Manufacturing, Retail","Commerce and Shopping, Consumer Goods, Manufacturing",Outer is a direct-to-consumer outdoor furniture brand.,"Outer is a direct-to-consumer outdoor furniture brand that has built furniture for retailers for years. The products are manufactured in Liu's family-owned factory outside of Shanghai. Since its inception in 2017, Outer has increased its revenue 11 times by 2020 and tripled its workforce in the past nine months.",https://www.linkedin.com/company/outer,,https://twitter.com/LiveOuter,https://www.facebook.com/liveouter/,170
Wayfair,https://www.crunchbase.com/organization/wayfair,https://www.wayfair.com,"E-Commerce, Furniture, Home Decor, Retail","Commerce and Shopping, Consumer Goods, Real Estate","Wayfair is an online retailer of home products for bedroom, living room, kitchen and dining, home entertainment, bathroom, and more.","Wayfair is the largest pure-play online retailer of home goods in the US. Key categories for the company include furniture, decor, kitchen & dining products, home improvement, patio & garden, and baby. The company, founded in 2002 as CSN Stores, is based in Boston, MA, and has additional offices in Utah, Kentucky, New York, Galway, Ireland, London, England and Berlin, Germany.  Wayfair employs over 2,300 people across those offices. In 2014, Wayfair's sales exceeded $1.3 billion.",https://www.linkedin.com/company/wayfair/,Exited Unicorn,https://twitter.com/wayfair,http://www.facebook.com/wayfair,199
Resident,https://www.crunchbase.com/organization/resident-49d0,https://www.residenthome.com/,"Consumer Goods, E-Commerce, Home Decor, Home Improvement, Internet, Retail","Commerce and Shopping, Consumer Goods, Internet Services, Real Estate",Resident is a house of direct-to-consumer (DTC) brands in the home furnishings space.,"Resident is a house of direct-to-consumer (DTC) brands in the home furnishings industry. The company owns and operates multiple brands catering to different consumer furnishing needs including Nectar by Resident, DreamCloud by Resident, Awara by Resident, Wovenly by Resident, Bundle by Resident, and Level by Resident. The company was founded in 2016 and is based in Mountain View, California, United States.",https://www.linkedin.com/company/residenthome,,https://twitter.com/HomeResident,https://www.facebook.com/residenthome/,223
Stitch Fix,https://www.crunchbase.com/organization/stitch-fix,http://stitchfix.com,"E-Commerce, Fashion, Retail","Clothing and Apparel, Commerce and Shopping, Design",Stitch Fix is a personal styling platform that delivers curated and personalized apparel and accessory items for women.,"Stitch Fix is a personal styling platform that delivers curated and personalized apparel and accessory items for women. Founded in 2011, the company is headquartered in San Francisco, California, United States.",http://www.linkedin.com/company/stitch-fix,,http://twitter.com/stitchfix,http://www.facebook.com/stitchfix,329
Warby Parker,https://www.crunchbase.com/organization/warby-parker,http://www.warbyparker.com,"E-Commerce, Fashion, Retail","Clothing and Apparel, Commerce and Shopping, Design",Warby Parker is a lifestyle brand that offers designer eyewear while being a socially conscious business.,"Warby Parker is a lifestyle brand that offers designer eyewear at a revolutionary price operating as a socially conscious business. Approximately one billion people don't have access to affordable glasses. Glasses can increase one's income by 20%, enable students to see a blackboard, and offer dignity to those with poor eyesight. Warby Parker works with experienced non-profit partners to ensure that each sale of our frames will give someone in need access to affordable glasses.",http://www.linkedin.com/company/937112,Unicorn,http://twitter.com/warbyparker,http://www.facebook.com/warbyparker,334
BigCommerce,https://www.crunchbase.com/organization/bigcommerce,http://www.bigcommerce.com,"Business Development, E-Commerce, Enterprise Software, Retail, SaaS, Software","Commerce and Shopping, Professional Services, Software",BigCommerce is a SaaS provider for merchants running online businesses.,"BigCommerce is a cloud e-commerce platform for established and rapidly-growing businesses. It combines enterprise functionality, an open architecture, and app ecosystem, and market-leading performance. BigCommerce enables businesses to grow online sales with 80% less cost, time, and complexity than on-premise software.  BigCommerce powers B2B and B2C e-commerce for more than 60,000 brands, 2,000+ mid-market businesses, 30 Fortune 1000 companies, and industry-leading brands, including Assurant, Ben & Jerry’s, Paul Mitchell, Skullcandy, Sony, and Toyota.",https://www.linkedin.com/company/103315,,http://twitter.com/bigcommerce,http://www.facebook.com/Bigcommerce,337
