Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
034Motorsport,https://www.crunchbase.com/organization/034motorsport,https://store.034motorsport.com/,"Automotive, Manufacturing","Manufacturing, Transportation",034Motorsport is a leading manufacturer of high-quality performance upgrades and tuning for Audi and Volkswagen vehicles.,"034Motorsport was founded in 2005 with a passion for bringing motorsport-quality performance upgrades and tuning to Audi and Volkswagen vehicles. The company has since evolved and grown to meet the expanding needs of enthusiasts, but the underlying passion for innovation, performance, and quality remains. We are dedicated to providing our customers with only the best performance products, tuning, and service for their Audi or Volkswagen.",https://www.linkedin.com/company/034motorsport/,,https://twitter.com/034motorsport,https://www.facebook.com/034Motorsport/
"1 Stop Driver Improvement Clinic, LLC",https://www.crunchbase.com/organization/1-stop-driver-improvement-clinic-llc,http://www.1stopdic.com,"Automotive, Logistics, Transportation",Transportation,Stop Driver Improvement Clinic provides services in driving to it's customers.,"Accidents, reckless mistakes and traffic tickets will be things of the past when you enroll at the 1-Stop Clinic. We offer updated and comprehensive courses to help you improve behind the wheel.",https://www.linkedin.com/in/onestopdic,,,https://www.facebook.com/onestopdic
1-800 Radiator & A/C,https://www.crunchbase.com/organization/1-800-radiator-a-c,http://1800radiator.com,"Automotive, Logistics, Manufacturing","Manufacturing, Transportation",1-800 Radiator & A/C is an automotive company that provides and manufactures radiators.,"1-800 Radiator & A/C is an automotive company that provides and manufactures radiators. It offers radiators, car lights, bumpers, mirrors, crate engines, OEM rims/wheels, air conditioning parts, and rebuilt transmissions. The company also provides fuel pumps, under-car parts, and additional collision parts.",https://www.linkedin.com/company/1-800-radiator-and-ac/,,https://twitter.com/1800radiators,https://www.facebook.com/1800radiator/
12 Volt Travel,https://www.crunchbase.com/organization/12-volt-travel,http://www.12volt-travel.com,"Automotive, Travel","Transportation, Travel and Tourism",12Volt Accessories for Semi-Trucks & RV Motorhomes,"We provide high quality products for semi-trucks and RV motor-homes. 12Volt-Travel has a full support team available to our customers from 9am till 6pm eastern Mon - Sat.  12Volt-Travel carries 12V DC TV's that are digital ready, 12 volt refrigerator/freezers that draw very little 12V power, 12volt coffee makers and much more. Stop by today and see what we have for you!",,,http://twitter.com/12VoltTravel,https://www.facebook.com/travel12volt
121 Mobile,https://www.crunchbase.com/organization/121-mobile,http://my121mobile.com,"Automotive, Database, Digital Marketing, Direct Marketing, Mobile Advertising, SaaS, Social Media Marketing","Advertising, Data and Analytics, Sales and Marketing, Software, Transportation",Mobilizing Marketing Across All Media Measuring & Tracking Users from Online Marketing to Physical Store Location Providing true ROI insight,"1-2-1 Mobile uniquely solves one of the key challenges that marketers face today – measuring and tracking a conversion that starts with online marketing and ends in a physical store location. It provides a granular true ROI insight, tracking customer’s unique ID from banner’s clicks, to promotions’ download, all the way to redemption at the shop. It provides a crystal-clear transparency of sourced traffic by identifying each customer’s true ID and source, at a time when more than 52% of online traffic is BOT based and ad fraudulent activity is widespread and causing billions of dollars in losses, particularly in paid traffic advertising. 1-2-1 Mobile is a cloud based platform that mobilizes marketing across any media form. The platform uniquely closes the marketing loop by mobilizing each ad campaign's ""call to action"" across any media. It constantly monitors all mobile, online and offline customers' engagements, and thus enables unique pairing of online KPIs with physical customer response at the point-of-sale. Moreover, throughout the entire customers' engagement cycle, it is automatically capturing and building a database of the engaged customers' mobile numbers, all of which can be integrated into any customer’s existing POS or CRM systems.  1-2-1 Mobile has partnered with top-tier automotive groups, is a CDK Global Partner and has deployed its solution with great success at hundreds of automotive dealerships and retailers nationwide. It delivers an unparalleled performance and ROI, consistently outperforming all other marketing channels and has become best in class marketing mobilization solution. ",https://www.linkedin.com/company/121-mobile-inc-,,,
1st Choice Auto Sales,https://www.crunchbase.com/organization/1st-choice-auto-sales,http://1stchoiceautosalesjoliet.com,Automotive,Transportation,"Used Cars in Joliet, IL","Address: 201 N Center St, Joliet, IL 60435, USA",,,,https://www.facebook.com/1stchoiceautosalesjoliet/
20/20 Auto Glass Spartanburg,https://www.crunchbase.com/organization/20-20-auto-glass-greenville,http://www.2020glass.com/spartanburg-sc/,Automotive,Transportation,"Auto glass shop, auto repair shop","Mobile and in-shop windshield repair & replacement and auto glass service in Spartanburg, SC. Auto glass repair and auto glass replacement are our specialty. Our attentive technicians and Unbelievable Guarantee will set your mind at ease. OEM brand windshields and auto glass. BBB.org accredited with an A+ rating. Address:  251B S. Pine St.  Spartanburg, SC 29302",,,https://www.twitter.com/20_20autoglass,https://www.facebook.com/2020autoglass
24 Hr Towing,https://www.crunchbase.com/organization/24-hr-towing,http://www.24-hr-towing.com/index.php,"Automotive, Logistics, Transportation",Transportation,Towing Service,"USA Service Leads LLC. dba. 24 Hr Towing is a referral service offering assistance for Towing, Roadside Service, Jumpstarts, Flat Tire Change and Long Distance Towing. 24 Hour Towing has many affiliations with flatbed trucking companies in your local area, so we will show up in 15 minutes to an hour or less in most cases.",,,,
2WheelPros,https://www.crunchbase.com/organization/2wheelpros,http://www.2wheelpros.com,"Automotive, E-Commerce","Commerce and Shopping, Transportation",Motorcycle Parts and Accessories,2WheelPros is the best place to find motorcycle parts and accessories. Our online motorcycle parts finder makes it easy for you to find all the parts that fit your motorcycle in three easy steps. Visit us at www.2WheelPros.com.,,,https://www.twitter.com/2wheelpros1,http://www.facebook.com/2WheelPros
3 Kings Automotive,https://www.crunchbase.com/organization/3-kings-automotive,http://3kingsautomotive.com,Automotive,Transportation,"Auto Repair in Sierra Vista, AZ","Address: 1501 E Fry Blvd, Sierra Vista, AZ 85635, USA",,,,
