Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Drizly,https://www.crunchbase.com/organization/drizly,http://www.drizly.com,"Delivery, E-Commerce, Food and Beverage, Marketplace, Wine And Spirits","Administrative Services, Commerce and Shopping, Food and Beverage","Drizly is an alcohol marketplace to shop for beer, wine and spirits.","Drizly is an e-commerce alcohol marketplace and the best way to shop beer, wine, and spirits. With the speed and convenience of on-demand delivery and shipping, Drizly partners with retailers in 235 markets to offer consumers of legal drinking age unrivaled selection and a transparent, personalized shopping experience. Backed by world-class institutional investors, Drizly partners with retailers to bring their shelves online, helping them to reach new customers, tap into key market and customer insights, and diversify their business to grow sales.",http://www.linkedin.com/company/drizly,,http://twitter.com/drizly,http://www.facebook.com/DrizlyInc,"1,383"
Winc,https://www.crunchbase.com/organization/clubw-com,https://winc.com,"E-Commerce, Hospitality, Wine And Spirits","Commerce and Shopping, Food and Beverage, Travel and Tourism","Winc is a modern winery with a direct connection to the consumer, building a portfolio of brands for the next generation of wine drinkers.","After launching in 2011 with the goal of making discovering great wine easy, Winc continues to disrupt the $220BN wine industry. Driven by the vision of a great bottle on every table and a great story in every bottle, Winc seeks to create more custom experiences for its members and bring ease and exploration to the process of buying and enjoying wine. The company's unrivaled access to consumer insights has helped shape the development of iconic brands like Summer Water, the viral hit embodying the rosé state of mind, and Folly of the Beast, the supremely accessible Pinot Noir of uncompromising quality. In addition to its online subscription service, Winc’s sought-after brands are available in progressive restaurants and premium retailers nationwide. Winc recently announced its first public investment opportunity, Winc Shares, a Regulation A+ campaign on the SeedInvest platform. In its mission to further democratize the wine category, the licensed winery will be raising money through Reg A+ financing, a section under the JOBS Act voted in by the SEC that allows anyone to invest in a private company, not just the wealthiest 2%. Tapping into the company's robust community of members and brand advocates, this campaign will enable Winc’s supporters to invest alongside prominent players like Bessemer Venture Partners, CrossCut Ventures and Shining Capital The best bottles of wine are shared. Now the best wineries can be, too. Learn more at seedinvest.com/winc.",http://www.linkedin.com/company/clubw-,,https://twitter.com/Winc,https://www.facebook.com/WINC,"1,985"
ONEHOPE,https://www.crunchbase.com/organization/onehope,https://www.onehopewine.com/,"Direct Sales, E-Commerce, Wine And Spirits","Commerce and Shopping, Food and Beverage, Sales and Marketing",ONEHOPE is a social enterprise that sells wine and other products and services to raise awareness and funding for charitable organizations.,"ONEHOPE is a social enterprise that sells wine and other products and services to raise awareness and funding for charitable organizationsand social causes as well as donates half of its profits to charity, enabling its customers to contribute to social causes.",,,http://twitter.com/onehopewine,http://www.facebook.com/ONEHOPEWine,"2,226"
Vivino,https://www.crunchbase.com/organization/vivino,http://www.vivino.com,"Android, Communities, Food and Beverage, Image Recognition, iOS, Marketplace, Mobile, Wine And Spirits","Commerce and Shopping, Community and Lifestyle, Data and Analytics, Food and Beverage, Mobile, Platforms, Software",Vivino is a developer of an online wine marketplace used to view ratings for wines from around the globe.,"Vivino is a developer of an online wine marketplace used to view ratings for wines from around the globe. It is a large online wine marketplace and most downloaded wine app, powered by a community of millions. Vivino’s unique wine shopping experience uses community data to suggest personalized wine recommendations, making wine discovery and purchase fun, accessible, and effortless for wine drinkers of every level.",http://www.linkedin.com/company/vivino,,http://twitter.com/vivino,https://www.facebook.com/vivino/,"2,634"
Foxtrot,https://www.crunchbase.com/organization/foxtrot,http://www.foxtrotco.com,"Delivery, E-Commerce, Trading Platform, Wine And Spirits","Administrative Services, Commerce and Shopping, Financial Services, Food and Beverage, Lending and Investments","Foxtrot is a mobile app that lets customers shop their curated collections of drinks, food, and everyday essentials.","Foxtrot is a mobile app that lets customers shop their curated collections of drinks, food, and everyday essentials. The customer's order will be delivered straight to them in under an hour. The company was co-founded by Mike LaVitola with Brian Jaffee and Taylor Bloom in 2013 in Chicago, Illinois.",https://www.linkedin.com/company/3346091,,http://twitter.com/foxtrotchicago,http://www.facebook.com/1929793,"3,625"
Milestone Brands,https://www.crunchbase.com/organization/milestone-brands,http://milestone-brands.com/,"Food and Beverage, Manufacturing, Wine And Spirits","Food and Beverage, Manufacturing",Milestone Brands is a manufacturer and producer of premium flavored beverages and spirits.,"Milestone Brands LLC, premium spirits company based in Austin, Texas, was founded in February 2016 by two local entrepreneurs and veterans of the beverage and spirits industry, Eric Dopkins, former CEO of Deep Eddy Vodka and Chad Auler, creator of Savvy Vodka and co-founder of Deep Eddy Vodka. As a national spirits supplier and acquirer, innovator and marketer of alcohol beverage brands, Milestone Brands' portfolio includes Dulce Vida Spirits, parent company of the world's only 100 proof, USDA certified organic tequila, and American Born Moonshine, a family of moonshine whiskey products that honors the tradition and spirit of American moonshiners.",https://www.linkedin.com/company/milestone-brands-llc/,,,,"5,296"
Haus,https://www.crunchbase.com/organization/drink-haus,https://drink.haus/,"Food and Beverage, Wine And Spirits",Food and Beverage,Haus is a beverage brand creating better products for the modern drinker.,"Haus is a beverage brand creating better products for the modern drinker. Haus is taking on the American liquor industry, which hasn’t changed since prohibition. Through products made with only natural ingredients, new approaches to distribution, and transparent processes, Haus is building a business holistically designed in the best interests of today’s consumer.",https://www.linkedin.com/company/drinkhaus/,,https://twitter.com/drinkhaus/,https://www.facebook.com/haus/,"5,638"
Brown-Forman Corp.,https://www.crunchbase.com/organization/brown-forman-corp,http://www.brown-forman.com,"Food and Beverage, Wine And Spirits",Food and Beverage,Brown-Forman is one of the American-owned spirits and wine companies.,"Old Forester Kentucky Straight Bourbon Whisky, was America’s first bottled bourbon and remains one of Brown-Forman’s finest brands today. Geo. Garvin Brown IV, a descendant of the founder, is part of the 5th generation of Brown Family members engaged with Brown-Forman, a publicly traded, family-controlled company, and serves as the presiding Chairman of the Board. Brown-Forman employs more than 4,600 people worldwide with about 1,300 located in Louisville. Brown-Forman, one of the largest American-owned spirits and wine companies and among the top 10 largest global spirits companies, to sells its brands in countries around the world and has offices in cities across the globe. In all, Brown-Forman has more than 25 brands in its portfolio of wines and spirits.",https://www.linkedin.com/company/brown-forman,,https://www.twitter.com/brownformanjobs,https://www.facebook.com/Brown-Forman-Corporation-135533916496523/,"5,930"
Wine.com,https://www.crunchbase.com/organization/wine-com,http://wine.com,"Consumer, E-Commerce, Internet, Retail, Wine And Spirits","Commerce and Shopping, Food and Beverage, Internet Services, Other","Wine.com is an online wine retailer, offering selection, guidance, and convenience not found in brick and mortar stores.","Wine.com is an online wine retailer, offering selection, guidance, and convenience not found in brick and mortar stores. The company provides its customers access to the world’s largest wine store, with live chat wine experts available 7 days a week. With multiple distribution centers and the most sophisticated retail wine fulfillment network in the United States, Wine.com delivers in 1-2 days to most addresses, offering date-certain delivery and the convenience of shipping to 11,000 FedEx Office, Walgreens, and affiliated local pick-up sites.  The company’s popular StewardShip program provides unlimited wine delivery and exclusive access to new releases for $49 per year. Recently launched, the Wine.com iOS app allows users to scan, rate, and purchase wines on the go. Wine.com’s mission, to inspire the wine lifestyle through innovation, is captured in its brand manifesto video, viewable here.",https://www.linkedin.com/company/wine.com/,,http://twitter.com/Wine_com,http://www.facebook.com/winecom,"6,293"
Saucey,https://www.crunchbase.com/organization/saucey,http://saucey.com,"Content Delivery Network, E-Commerce, Mobile, Wine And Spirits","Commerce and Shopping, Content and Publishing, Food and Beverage, Mobile","Saucey is an e-Commerce company which handles the fastest, easiest and most reliable on-demand alcohol delivery service.","The fastest, easiest and most reliable on-demand alcohol delivery service. Order beer, wine and spirits online or download the mobile app for iOS or Android",https://www.linkedin.com/company/saucey,,http://twitter.com/SauceyApp,http://www.facebook.com/SauceyApp,"7,969"
