Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
"3Rein, Inc.",https://www.crunchbase.com/organization/3rein-inc,https://www.3rein.com,"AgTech, Consulting, Developer Tools, Education, Information Technology, Mobile Apps, SaaS, Software","Agriculture and Farming, Apps, Education, Information Technology, Mobile, Professional Services, Software","SaaS, IaC, VaaS, Mobile Development, Backend Development, IoT Development, Informational Vault, Educational, Augmented Reality","3Rein, Inc. is a company based in Southern Oregon dedicated to improving equine welfare through technology. Our mission is to digitize operations in classical, analog, industries that have yet to experience an effective digital transformation. We agnostically leverage the latest software and hardware technologies to have our platform work hard, so you don't have to. We want to give you more time to do what you love.",https://www.linkedin.com/company/3rein,,,https://www.facebook.com/3reininc/
Above,https://www.crunchbase.com/organization/above,https://www.aboverobotics.com,"Artificial Intelligence, Cloud Computing, Drones, Electrical Distribution, Forestry","Agriculture and Farming, Artificial Intelligence, Consumer Electronics, Consumer Goods, Data and Analytics, Energy, Hardware, Internet Services, Science and Engineering, Software","With Above, autonomy looks like teamwork. Above Robotics coordinates various autonomous systems like trucks, drones, & robots.",Above uses AI and autonomous aerial unmanned vehicles to collect and aggregate Environmental Analytics to inform decisions on business and policy to solve the worlds biggest problems. ,https://www.linkedin.com/company/above-robotics/,,https://twitter.com/aboverobotics,
Abundant Robotics,https://www.crunchbase.com/organization/abundant-robotics,http://www.abundantrobotics.com/,"Agriculture, AgTech, Food and Beverage, Robotics","Agriculture and Farming, Food and Beverage, Hardware, Science and Engineering, Software",Solving important and large problems in Agriculture.,"Abundant Robotics  mission: Deliver robotic systems for the hardest jobs in agriculture. As robotics researchers, we’ve broken new ground in a variety of domains. For the past two years we’ve focused on hard problems in agriculture and are spinning-out of SRI International to build products based on their successful research.  They are global experts in their field, love solving important problems, like working together, and are passionate about building great products and working with like-minded folks. Customers are grappling with urgent problems and are incredibly enthusiastic about the solution we’ve demonstrated.",https://www.linkedin.com/company/abundant-robotics,,https://twitter.com/abundant_ag,
Acumen Detection,https://www.crunchbase.com/organization/acumen-detection,http://www.acumendetection.com,"AgTech, Biotechnology, Sensor, Software, Veterinary","Agriculture and Farming, Biotechnology, Hardware, Health Care, Science and Engineering, Software",Recurring revenue AgTech,"Acumen Detection dramatically reduces the time and cost of detecting the cause of diseases on the farm to three hours or less, enabling informed management decisions immediately. Acumen Detection transforms the way dairy producers across the globe monitor the health of their herds by providing pathogen detection at the point of need – on the farm. Acumen Detection's patented, affordable, quick, easy to use on-farm pathogen detection system improves the health of herds and increases profitability of farms all around the world.",https://www.linkedin.com/company/acumen-detection-llc/,,https://twitter.com/AcumenDetection,https://www.facebook.com/AcumenDetection
AdaViv,https://www.crunchbase.com/organization/adaviv,https://www.adaviv.com/,"AgTech, Artificial Intelligence, Environmental Engineering, Information Technology, Machine Learning, Robotics","Agriculture and Farming, Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software, Sustainability","AdaViv is a hardware-enabled, predictive agriculture company.","Urban (controlled) agriculture is on the rise! Vertical and Container farms are popping up here and there and there is increasing need to make urban agriculture more sustainable.  AdaViv is a hardware-enabled, predictive agriculture company. Keeping “24/7 eyes on the plants”, our sensing and AI + computer vision uncovers hidden plant biometrics and translates data into actionable insights for growers. From disease prevention to rapid experimentation, improving yields and quality optimization, AdaViv helps producers grow smarter. Founded by an interdisciplinary team of MIT researchers and alumni, AdaViv recently emerged from MIT Delta V, the capstone entrepreneurship accelerator at MIT , and the MIT DesignX accelerator. In 2018, AdaViv was selected as one of the first grantees of Microsoft AI for Earth.",https://www.linkedin.com/company/adavivinc/,,https://twitter.com/AdaVivInc,
Advanced Farm Technologies,https://www.crunchbase.com/organization/advanced-farm-technologies,https://advanced.farm/,"Agriculture, AgTech, Farming, Robotics","Agriculture and Farming, Hardware, Science and Engineering, Software",Advanced Farm Technologies is a robotics company for the next frontier of farming.,"Advanced Farm Technologies is a robotics company for the next frontier of farming. It offers strawberry harvesting services in the Oxnard, Santa Maria. and Watsonville areas. Its robots gently handle berries to avoid bruising and fruit damage.  Advanced Farm Technologies was founded in Davis, California in 2017.",https://www.linkedin.com/company/advancedfarm/,,https://twitter.com/AFTrobots,
Aerial Intelligence,https://www.crunchbase.com/organization/aerial-intelligence,https://www.aerialintel.com/,"Agriculture, AgTech, Analytics, Software","Agriculture and Farming, Data and Analytics, Software",It provides insights and analytics for the agricultural commodities supply chain.,"Aerial Intelligence is an early-stage enterprise bringing state-of-the-art data science to the world's agricultural community. They 're building a data platform to help crop producers, distributors, and traders buy, sell, and move the world's $1.3 trillion of crop. Their platform helps agricultural traders and enterprises gather and analyze disparate data sources, including complex satellite data, crop supply statistics, and their own higher level insights",https://www.linkedin.com/company/aerial-intelligence,,,https://www.facebook.com/aerialintelinc/
Afresh Technologies,https://www.crunchbase.com/organization/afresh-technologies,https://afresh.com/,"Agriculture, Artificial Intelligence, Food and Beverage, Logistics, Machine Learning, Supply Chain Management","Agriculture and Farming, Artificial Intelligence, Data and Analytics, Food and Beverage, Science and Engineering, Software, Transportation",Afresh is an AI-powered company selling software to track demand and manage orders for fresh produce in grocery stores.,"Afresh is an AI-powered company selling software to track demand and manage orders for fresh produce in grocery stores. The company is an operator of a fresh-first supply chain platform intended to handle the complexity of perishable categories for brick and mortar retailers and wholesalers. Its platform brings artificial intelligence and machine learning to forecast ingest millions of data points to provide accurate item-level predictions of future demand to replenish recommendations that account for supply chain constraints and optimize for margin that enable clients to minimize waste, maximize freshness, and multiply business profitability.",https://www.linkedin.com/company/afreshtechnologies/,,https://twitter.com/afreshai,
AgBlox,https://www.crunchbase.com/organization/agblox,http://www.agblox.com,"Agriculture, AgTech, Artificial Intelligence, CRM, FinTech, Machine Learning","Agriculture and Farming, Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Sales and Marketing, Science and Engineering, Software",Artificial intelligence-based commodity trading,"AgBlox uses AI to provide NLP and machine learning-based services for financial trading services, insurance compliance, enterprise and consumer applications.",,,,
Agbotic,https://www.crunchbase.com/organization/agbotic,https://www.agbotic.com/,"Agriculture, Artificial Intelligence, Food and Beverage","Agriculture and Farming, Artificial Intelligence, Data and Analytics, Food and Beverage, Science and Engineering, Software",Agbotic is deploys intelligent automation to make the world's best food on the world's most ecological farms.,"Agbotic deploys intelligent automation to make the world's best food on the world's most ecological farms. They are creating a network of robotic, organic farms that deliver premium food immediately from harvest. In the next decade, AI and automation will profoundly impact all industries. Agbotic is a thought leader for transformation in agriculture.",,,,
AgBridge,https://www.crunchbase.com/organization/agbridge,https://www.agbridgedata.com/,"Agriculture, Farming, Software","Agriculture and Farming, Software",AgBridge is a revolutionary mobile app that enables the simple and affordable transfer of precision agriculture data.,Agbridge is a wireless data transport solution that enables the transfer of precision agriculture data between equipment operating in the field and the computers of growers and trusted advisers.,https://www.linkedin.com/company/agbridge,,,
AgEagle,https://www.crunchbase.com/organization/ageagle,http://ageagle.com/,"Agriculture, Analytics, Drones, Farming, Robotics","Agriculture and Farming, Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Science and Engineering, Software",AgEagle is a technologically advanced aerial imagery-based data collection and analytics solutions.,"AgEagle is a technologically advanced aerial imagery-based data collection and analytics solutions. It designs, develops, produces, distributes, and supports technologically-advanced small unmanned aerial vehicles (UAV’s or Drones) that it supplies to the precision agriculture industry. In addition, they are at the leading edge of providing state and territorial departments of agriculture, growers, and processors with oversight, compliance, and enforcement solutions relating to the United States' emerging hemp cultivation industry.",https://www.linkedin.com/company/ageagle-aerial-systems,,https://www.twitter.com/farmdrones,https://www.facebook.com/ageaglellc
AgencyRoot,https://www.crunchbase.com/organization/agencyroot,https://www.agencyroot.com,"Agriculture, Information Technology, Insurance, SaaS, Software","Agriculture and Farming, Financial Services, Information Technology, Software",SaaS for SMB in Agriculture,"AgencyRoot's primary service is a web-based tool that helps crop insurance agents manage and grow their business. AgencyRoot is the only CRM platform that can read policy data from all 16 USDA Approved Insurance Providers in the United States. AgencyRoot also offers technology consulting and development services to agriculture-related small businesses, primarily in Crop Insurance.",https://www.linkedin.com/company/agencyroot/,,https://twitter.com/agency_root,
AgEye Technologies,https://www.crunchbase.com/organization/smart-spectrum-technologies,https://www.ageyetech.com,"AgTech, Artificial Intelligence, Biotechnology, Computer Vision, Farming, Horticulture, Hydroponics, Internet of Things, Machine Learning, SaaS","Agriculture and Farming, Artificial Intelligence, Biotechnology, Data and Analytics, Hardware, Internet Services, Science and Engineering, Software",AI-Powered Camera System for Indoor Farms,"AgEye is a smart camera system that observes each plant within an indoor farm 24/7, 365 - and uses state-of-the-art artificial intelligence to turn these visual inputs into growth development insights, improving harvest predictability and profitability.    AgEye’s patented ‘Plant Scientist in a Box’ technology uses computer vision and machine learning to determine if a plant is reaching its development milestones as expected, as well as provides real-time detection of plant stress, pathogens or pest before they are visible to the naked eye.  Instead of manual crop scouting that could take days to complete – AgEye provides growers with real-time visibility into the health and development of every crop through a simple, and easy to use application.     AgEye can transform an indoor grow operation from clipboards and best guesses - into a highly efficient and controlled manufacturing process by enabling remote management, precise and optimum resource utilization, accurate yield predictions, and autonomous, timely actions that ensure consistent harvests and minimal losses.",https://www.linkedin.com/company/ageyetechnologies,,,https://www.facebook.com/ageyetech
Aggio,https://www.crunchbase.com/organization/aggio,https://www.aggio.io/,"Agriculture, Analytics, Cloud Computing, Cloud Data Services, Information Technology, Robotics, Software","Agriculture and Farming, Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",Aggio is an information technology company that provides a cloud-based platform for marketing solutions on agriculture industry.,Aggio is an information technology company that provides a cloud-based platform to provides solutions in marketing and sales on the agriculture industry. Its platform offers a marketing and sales analytics to help its clients in data-driven decision making by providing data harmonization and visualization. The company was founded in 2016 and headquartered in St. Louis Missouri.,https://www.linkedin.com/company/aggio/,,https://twitter.com/aggio_llc,
AgHelp,https://www.crunchbase.com/organization/aghelp-llc,https://aghelpusa.com/,"Agriculture, AgTech, Farming, Marketplace, Mobile Apps, Social Network","Agriculture and Farming, Apps, Commerce and Shopping, Internet Services, Mobile, Software",Marketplace that connects farmworkers to agricultural employers and support services.,"AgHelp is a mobile web platform that addresses the acute agriculture labor shortage by connecting agricultural employers, farmworkers, and worker support agencies. With AgHelp, agricultural employers can reach available labor locally and nationally far more efficiently and cost-effectively than farm employers’ current methods.",https://www.linkedin.com/company/22293834/,,https://twitter.com/agriculturehelp,https://www.facebook.com/agriculturehelp/
