Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
zwoor.com,https://www.crunchbase.com/organization/zwoor-com,http://www.zwoor.com,"Android, Events, iOS, Market Research, Meeting Software, Mobile","Data and Analytics, Design, Events, Media and Entertainment, Messaging and Telecommunications, Mobile, Platforms, Software",Zwoor.com is an online platform that enables users to develop mobile applications for conferences and corporate events.,"Zwoor.com was founded on a simple, powerful idea: mobile technology changes how we run events, meetings or product presentation, and how we engage with each other. We want to reinvent what businesses and individuals can do with mobile technology through the Zwoor.com platform, made for a new kind of worker, a new kind of workplace and a new kind of interactions. If you are an Conference or Tradeshow organizer, your event materials Go Mobile in just a few clicks.  Your attendees carry an iPhone, an iPad or an Android smartphone, and they now expect the agenda, the meeting materials, maps, exhibitors and alerts right at their fingertips. Our native apps do not require connectivity all the time, and we know that some of the conference or trade show venues are not built with connectivity in mind. We allow participants to store the data on the mobile device, and synch when connected. Zwoor Survey is a friendly, robust and cost effective survey platform that enables you to gather real insight into your event participants. Be that in a large,10,000 people keynote event with no connectivity, or in a small presentation, we can handle both. Zwoor Survey is a native application (vs. a web app), that allows timed surveys, answers to a challenge quiz for a prize, or just a simple multiple choice survey. We are not dependent on the connectivity in the venue – we know that some of the spots are without cellular or wifi coverage.",http://www.linkedin.com/company/2373442,,http://twitter.com/zwoor,http://www.facebook.com/Zwoor/155741147836727
Zuldi,https://www.crunchbase.com/organization/zuldi,http://www.zuldi.com/,"iOS, Mobile, Nightclubs, Payments, Point of Sale, Restaurants","Commerce and Shopping, Events, Financial Services, Food and Beverage, Media and Entertainment, Mobile, Payments, Platforms, Software",Zuldi extends Legacy Point-of-Sale systems to Mobile,"Zuldi is a next generation mobile payment processing system for restaurants, bars, and nightclubs that is integrated via cloud with major global POS (Point of Sale) systems. Patrons can split and pay for their bill/tab, and receive an email and/or sms of their receipt via mobile.  Zuldi is focused on enhancing the patrons experience through its technology, not distracting the patron or minimizing the importance of a well-trained wait staff.",http://www.linkedin.com/company/2471982,,http://twitter.com/zuldico,http://www.facebook.com/ZuldiCo
Zooza,https://www.crunchbase.com/organization/zooza,http://www.Zooza.com,"Event Management, Marketplace, SaaS, Software","Commerce and Shopping, Events, Media and Entertainment, Software",Online marketplace for dog professionals,"Zooza is an online marketplace that connects professional dog owners with clubs and events around the world.  Zooza targets dog clubs and independent event secretaries to help them create landing pages on the Zooza website about their events. Then, participants can enter the event online through the Zooza website, including paying fees. The Zooza platform handles out-bound promotion of events posted, provides a workflow engine for processing entrants, and manages the flow of money between participants and the organizer. Zooza is a SaaS product that reaches an important niche in the $50 billion pet industry. Dog owners who participate in events with their animals have the highest spend of any other segment in the industry across all categories including pet supplies, veterinary care, travel, boarding, and more.",http://www.linkedin.com/company/2798798,,http://twitter.com/zoozapets,http://www.facebook.com/zoozapets
ZipDance,https://www.crunchbase.com/organization/zipdance,https://zipdance.com/,"Apps, Event Management, Events, iOS, Mobile, Software","Apps, Events, Media and Entertainment, Mobile, Platforms, Software",A mobile app.  Bringing the world together to Dance,"A cross between Tinder for Dancers and Zoc Doc for professional dancers.  ZipDance is a mobile software solution for dance teachers. The need in the partner dance industry for easy to use digital tools that can assist with scheduling and marketing is great. We will have subscription levels that allow pro dancers to utilize mobile technology at an affordable rate. Although many non-professionals will use the app for free, eventually we'll add upgrade features as well as direct sales of classes, events and introductory offers.",https://www.linkedin.com/in/steven-hughes-21b9589/,,https://twitter.com/ZipDancePro,https://www.facebook.com/zipdanceapp/?ref=br_rs
Zerista,https://www.crunchbase.com/organization/zerista,http://www.zerista.com,"Computer, Events, Mobile, Software","Consumer Electronics, Events, Hardware, Media and Entertainment, Mobile, Software",Zerista is an event app platform for B2B meetings and events,"Zerista is a communication and collaboration app for meetings and events. As the first app in the industry to sync up native mobile apps with a web community platform, Zerista powers Customer Centric Events, making it easier for everyone to engage with whatever is most valuable to them at events on any device, any time and from anywhere in the world. Based in Denver, Colorado, Zerista powers hundreds of meetings and events around the world. Zerista is backed by a team of experienced marketers and event professionals who help event producers create digital experiences that add value and revenue to live events.",http://www.linkedin.com/company/zerista-inc.,,https://twitter.com/zerista,http://www.facebook.com/Zerista
Zenu App LLC,https://www.crunchbase.com/organization/zenu-app-llc,https://zenuapp.com,"Apps, Event Management","Apps, Events, Media and Entertainment, Software",Zenu App is a start-up company that provides an event space booking platform.,"Zenu App is a start-up company that provides an event space booking platform. It is connecting venue owners and managers to people who want to book their venues while streamlining the correspondence simultaneously.  The company was founded in 2016 and is headquartered in Dallas, Texas.",https://www.linkedin.com/company/zenuappllc/,,https://Twitter.com/ZenuAppLLC,https://www.facebook.com/ZenuAppLLC/
Zenergo,https://www.crunchbase.com/organization/zenergo,http://www.zenergo.com,"Apps, Communities, Events, Location Based Services, Photo Sharing, Social","Apps, Community and Lifestyle, Content and Publishing, Data and Analytics, Events, Internet Services, Media and Entertainment, Navigation and Mapping, Software","Zenergo is a social site allowing users to discover, connect and share with others around their favorite activities and interests.","Zenergo is a new social site designed to Activate Your Life with easy, yet powerful tools allowing you to discover, connect and share with people and groups around your favorite activities and interests. Zenergo combines the functionality of email, photo sharing, event creation, group management, location and criteria-based search and calendaring in a single, safe, free and easy-to-use system, eliminating the need for many other website services. Most social networks take a â€œsingle bucketâ€ approach, meaning all contacts are considered to be in the same social circle, with the same social status to the primary networker. Other social networking sites only provide a single aspect of networking such as single group management or single event management. Zenergoâ€™s unique design and individual features provides a whole solution, thatâ€™s completely integrated The core technology, in development for over 2 years, is based on detailed, individual activity profiling, creating social resumes that map to real life and providing a more meaningful social networking experience.  Zenergo also offers a location-based and criteria matching service so users can expand their social network with new like-minded people.  Because Zenergo is activity-based, users will self-select themselves into their favorite interests (over 300 consumer verticals) initially allowing us to laser target marketing programs on a contextually relevant basis for national brands, local merchants and service providers. Zenergoâ€™s target demographic is the underserved post-college and above market, which is the fastest growing social networking audience both in the U.S. and globally.",,,,
Zaggle,https://www.crunchbase.com/organization/zaggle,http://www.wezaggle.com/personal?ref=cb,"Concerts, Events, Private Social Networking, Software","Community and Lifestyle, Events, Media and Entertainment, Software","Zaggle is the specialist that helps with DIY, gardening, and technology.","Zaggle is the specialist that helps with DIY, gardening, and technology. They offer factory-direct decking boards, guides, and reviews. Zaggle enables users to discover, share, and attend events by aggregating event metadata from across the social web. They specialize in gardening and maintenance work, general building work/landscaping, specific products, and general reviews, and DIY projects decking, patios, and ponds.",,,,
ZaCo Technologies,https://www.crunchbase.com/organization/zaco-technologies,https://zaco.tech,"Education, Software, Ticketing","Education, Events, Media and Entertainment, Software",Bringing new ideas to life for the world of performing arts and live events.,"ZaCo was founded in February, 2015 when our flagship company, Ludus, began accelerating in growth. Ludus started as a side project for a high school theatre in Michigan and eventually developed into a product any performing arts program could use for free. The mission was simple: create a new ticket sales company that was focused solely on school performing arts programs and wasn't outdated like the competition. Ludus is now used by over 100 performing arts programs and has processed over a $1,000,000 in ticket sales.  ZaCo has also been involved with building Easy Reach Solutions, a new company with the focus on managing event facilities, work orders, and PR. Easy Reach offers easy-to-use web-based software with an advanced backend that resolves scheduling conflicts and makes life easier for everyone involved. Overall, we believe music, theatre, dance, and any other form of live art that brings people together is extremely powerful. Therefore, ZaCo's mission is to bring new ideas to life for the world of performing arts and live events.",,,,
Yule,https://www.crunchbase.com/organization/yule,http://www.yulenight.com/,"Apps, Event Management, iOS, Location Based Services, Video","Apps, Data and Analytics, Events, Internet Services, Media and Entertainment, Mobile, Navigation and Mapping, Platforms, Software, Video","Yule is a social nightlife app that displays realtime photos, videos, and posts for bars and nightclubs all over the world.","Connect with friends and find realtime information for bars, nightclubs, breweries, bowling alleys, and events wherever you are! With Yule, you can quickly link to reliable social content from Google, Facebook, Instagram, and Twitter. You can post photos, videos, and text to share your nightlife experiences with others nearby- or even post anonymously! You can also Follow your favorite venues and events to instantly access their profiles. Whether you're planning the perfect night out with friends or just want to explore, Yule is the source for all your nightlife needs. Seize the night with Yule!",https://www.linkedin.com/company/4553876?,,https://twitter.com/yuleapp,https://www.facebook.com/yuleapp
