Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations","Apps, Commerce and Shopping, Events, Media and Entertainment, Mobile, Software, Travel and Tourism","Airbnb is an online community marketplace for people to list, discover, and book accommodations through mobile phones or the internet.","Airbnb is an online community marketplace for people to list, discover, and book accommodations through mobile phones or the internet. The company connects travelers seeking authentic experiences with hosts offering unique, inspiring spaces around the world. Whether the available space is a castle for a night, a sailboat for a week, or an apartment for a month, Airbnb is the easiest way for people to showcase these distinctive spaces to an audience of millions. By facilitating bookings and financial transactions, Airbnb makes the process of listing or booking a space effortless and efficient. With 4,500,000 listings in over 65,000 cities in 191 countries, the company offers the widest variety of unique spaces for everyone, at any price point around the globe.  The company was co-founded in August 2008 by Brian Chesky and Joe Gebbia, and is currently headquartered in San Francisco, California.",http://www.linkedin.com/company/airbnb,Exited Unicorn,http://twitter.com/airbnb,https://www.facebook.com/Airbnb,963
Vacasa,https://www.crunchbase.com/organization/vacasa,https://www.vacasa.com,"Adventure Travel, Leisure, Property Management, Real Estate, Tourism, Travel, Travel Accommodations, Vacation Rental","Community and Lifestyle, Real Estate, Travel and Tourism","Vacasa is a vacation rental management company that helps homeowners buy, manage, and sell their vacation homes.","Vacasa is a full-service vacation rental company that drives revenue for homeowners and provides unforgettable experiences for guests. The company manages a growing portfolio of more than 14,000 vacation homes in the U.S, Europe, Central, and South America; and South Africa. In nine years, Vacasa has grown from two to more than 2,500 employees. It also offers property management and other real estate services directly through Vacasa LLC and through Vacasa LLC's licensed subsidiaries. Vacasa AI-driven tools make it possible to deliver this consistent experience in unique vacation homes around the world, from pricing their homes to scheduling post-stay cleans. The company that would use tech and data to enable local teams to focus on caring for homes and guests, while maximizing revenue. Through their end-to-end, professional property management services, they care for more than 13,000 vacation homes in the destinations of your daydreams.",http://www.linkedin.com/company/vacasa,Unicorn,http://twitter.com/vacasarentals,http://www.facebook.com/Vacasa,"2,716"
RVshare,https://www.crunchbase.com/organization/rvshare,https://rvshare.com,"Marketplace, Rental, Travel, Travel Accommodations","Commerce and Shopping, Travel and Tourism",RVshare is an online marketplace that provides peer-to-peer recreational vehicle rental services.,"RVshare is an online marketplace that provides peer-to-peer recreational vehicle rental services. Its connects travelers looking to experience RV travel with RV owners interested in turning their RV into a second source of income through its platform which offers the largest selection of vehicles by comparing rental prices, features, reviews and facilitates online payment options, enabling vehicle owners to earn profits and renters to choose the most economical ways to travel. The company was founded in 2013 and is headquartered in Akron, Ohio.",https://www.linkedin.com/company/rvshare,,https://twitter.com/RVshare,https://www.facebook.com/rvshare,"3,045"
Lola.com,https://www.crunchbase.com/organization/lola-travel-company-inc,http://lola.com,"Apps, Business Travel, Software, Travel, Travel Agency","Apps, Software, Travel and Tourism","Lola.com is an easy-to-use travel management tool that makes managing corporate travel easy, fast, and agile.","Lola.com is an easy-to-use travel management tool that helps companies book, report, and save on business travel. Life becomes simpler with employee friendly business travel policies, fun travel tracking tools, and transparent spend reporting for business travel managers. For the business travelers, it enables easy flight and hotel booking, team destination sharing, loyalty points from the actual hotels and airlines, and 24/7 agent support. Its book on behalf feature lets executive assistants,  easily book travel like a boss. Founded on 2015, Lola.com works for both employers and employees. It is headquartered in Boston, Massachusetts.",https://www.linkedin.com/company/lola.com,Pledge 1%,https://twitter.com/lolatravel,https://www.facebook.com/LolaTravelCo/,"6,044"
The Guild,https://www.crunchbase.com/organization/guild-lodging,http://www.theguild.co,"Hospitality, Hotel, Real Estate, Travel, Travel Accommodations","Real Estate, Travel and Tourism",The Guild is a hospitality company that turns upscale apartments into tech-enabled hotel suites.,"The Guild turns upscale apartments into tech-enabled hotel suites. With a virtual check-in process and 24-hour text-based concierge, The Guild lets you bypass the front desk and have the ultimate staycation experience wherever you go--with local insights and access, actually livable living spaces, and gourmand-approved kitchens--plus all the pleasures of a boutique hotel. It has apartments in Austin and in Dallas and is looking at Denver, Miami, Boston, Nashville, New Orleans, Seattle, and Chicago next.",https://www.linkedin.com/company/guild-hotels/,,https://twitter.com/theguildco,https://www.facebook.com/139864326439122,"8,323"
Upside.com,https://www.crunchbase.com/organization/upside-2,https://upside.com/,"Business Travel, Travel, Travel Agency",Travel and Tourism,Upside is a business travel sales company.,"Turning the way we buy business travel upside down. We are building a world-class team passionate about creating a product that will turn business travel from mundane to magical. This is no ordinary startup. We’ve already brought on some of the most passionate, intelligent and seasoned founding team members on the planet.",https://www.linkedin.com/company/upsidebusinesstravel/,,https://twitter.com/UpsideTravel,https://www.facebook.com/UpsideTravel/,"9,644"
WanderJaunt,https://www.crunchbase.com/organization/wanderjaunt,http://www.wanderjaunt.com,"Property Management, Rental Property, Travel Accommodations","Real Estate, Travel and Tourism","WanderJaunt offers technology-enabled property management solutions for travelers, homeowners, and accommodations from around the world.","WanderJaunt offers technology-enabled property management solutions for travelers, homeowners, and accommodations from around the world.",https://www.linkedin.com/company/wanderjaunt,,https://www.twitter.com/wanderjaunt,https://www.facebook.com/wanderjaunttravel,"11,333"
Frontdesk,https://www.crunchbase.com/organization/frontdesk,https://stayfrontdesk.com,"Hospitality, Information Technology, Tourism, Travel Accommodations, Vacation Rental","Information Technology, Real Estate, Travel and Tourism",Frontdesk offers securely-managed short-term stays at apartments in cities.,"Frontdesk is changing the face of both hospitality and real estate as we know it today. It offers securely-managed short-term stays at apartments in cities, catering to both business and leisure travelers. Until now, travelers have had to choose between stuffy hotel rooms or unpredictable Airbnb-style stays.  Frontdesk bridges the world between short-term and long-term stays in urban apartment communities with custom-built technology, a value-driven culture, and flawless execution, to create a secure and consistent experience for all.",https://www.linkedin.com/company/stayfrontdesk/,,https://www.twitter.com/stayfrontdesk,https://www.facebook.com/stayfrontdesk/,"11,658"
Royal Caribbean International,https://www.crunchbase.com/organization/royal-caribbean-international,http://www.royalcaribbean.com/,"Adventure Travel, Food and Beverage, Leisure, Lifestyle, Travel, Travel Agency","Community and Lifestyle, Food and Beverage, Travel and Tourism","Royal Caribbean International is a cruise line brand famous for its vessel, Oasis of the Seas.","Royal Caribbean International is a cruise line brand famous for its vessel, Oasis of the Seas. The line offers many an onboard amenity, including rock-climbing walls, ice-skating rinks, the Royal Promenade, a main boulevard of shops, restaurants, and lounges that run the length of the ship.  Royal Caribbean International is headquartered in Miami, Florida.",,,https://www.twitter.com/royalcaribbean,http://www.facebook.com/royalcaribbean,"11,909"
Gogobot,https://www.crunchbase.com/organization/gogobot,http://www.trip.com,"Business Travel, Reservations, Ticketing, Travel Accommodations","Events, Media and Entertainment, Travel and Tourism","Gogobot is a provider of travel services such as transportation ticketing, reservations, packaged tours, and corporate travel management.","Gogobot (later rebranded Trip.com) was an online travel business headquartered in Palo Alto, California. The company was rebranded Trip.com in November, 2016 and acquired by the Ctrip Group in 2017. Founded in 2010, by Travis Katz and Ori Zaltzman, by 2014 the company was the fifth most visited travel-planning site in the United States.",https://www.linkedin.com/company/trip-com/,,http://twitter.com/trip,https://www.facebook.com/Trip/,"12,303"
