Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Pluralsight,https://www.crunchbase.com/organization/pluralsight,http://www.pluralsight.com,"E-Learning, EdTech, Education, Enterprise, Information Technology, Software","Education, Information Technology, Other, Software","Pluralsight is a technology learning platform for software developers, IT admins, and creative professionals.","Pluralsight is a technology learning platform for software developers, IT admins, and creative professionals. With 3,000+ courses and new ones added daily, Pluralsight serves as a career catalyst for customers in more than 150 countries and provides tech-savvy businesses with training on the three key areas they need to thrive. The platform expert courses, skill assessments, and one-of-a-kind analytics make it possible to align the organization around digital initiatives, upskill people into modern tech roles, and build adaptable teams that deliver faster.  It was founded in 2004 and is headquartered in Farmington, Utah.",http://www.linkedin.com/company/pluralsight,Exited Unicorn,http://twitter.com/PluralSight,http://www.facebook.com/pluralsight,70
Caribu,https://www.crunchbase.com/organization/caribu,https://caribu.com,"EdTech, Education, Software","Education, Software",Caribu is a family interactive video-calling platform that provides an engaging communication experience integrating books and activities.,"Caribu is a family video calling and reading platform that provides an engaging long-distance communication experience for kids. It integrates children’s picture books into a simple, child-friendly video calling app. It also brings together interactivity and education to create a communication tool for the modern family. Caribu was founded in 2016 and is headquartered in Miami, Florida.",https://www.linkedin.com/company/caribu,,https://twitter.com/Caribu,https://www.facebook.com/Caribu,255
MasterClass,https://www.crunchbase.com/organization/masterclass,http://www.masterclass.com,"EdTech, Education, Training","Education, Software",MasterClass is the streaming platform where anyone can learn from the world's best across a wide range of subjects.,"Founded in 2015, MasterClass is the platform that makes it possible for anyone to learn from the best. With MasterClass, step into Anna Wintour’s office, Timbaland’s recording studio, and Neil Gaiman’s writing retreat. Improve your serve with Serena Williams, perfect your pitch with Shonda Rhimes, and leave the atmosphere with Chris Hadfield. Hundreds of video lessons from 85+ of today’s most brilliant minds are available anytime, anywhere with the All-Access Pass ($180 per year). Subscribe to greatness with MasterClass.",https://www.linkedin.com/company/masterclassinc/,Emerging Unicorn,https://twitter.com/masterclass,https://www.facebook.com/masterclassofficial/,282
Wonderschool,https://www.crunchbase.com/organization/wonderschool,http://www.wonderschool.com,"Child Care, Children, EdTech, Education, Parenting, Primary Education, Sharing Economy","Community and Lifestyle, Education, Health Care, Other, Software",Wonderschool offers a platform where people can start infant and toddler programs and preschools out of their homes.,"Started in 2016 by a group of educators and technologists in California, Wonderschool offers a platform where people can start infant and toddler programs and preschools out of their homes. Wonderschool supports experienced educators and childcare providers to start their own childcares or preschools out of their homes, whether they live in apartments, condos, or homes that they rent or own. Wonderschool provides assistance with licensing, program setup, marketing and everything in between. The company’s software platform allows teachers to manage their students, parents, and their program from one dashboard. Along with this, Wonderschool has built a marketplace for parents to search Wonderschool programs, schedule visits, enroll their children, and make payments. It’s been proven time and time again that children should start developing cognitive, motor, behavioral, and social skills from as early as 6 months and Wonderschool is committed to increasing families’ access to high quality care and learning environments for children.",https://www.linkedin.com/company/wonderschool/,,https://twitter.com/Wonderschools,https://www.facebook.com/joinwonderschool/,393
Springboard,https://www.crunchbase.com/organization/sliderule,https://www.springboard.com/,"E-Learning, EdTech, Education","Education, Software",Springboard is an e-learning platform that prepares people for modern careers through cutting edge curriculum and mentor guidance.,"Springboard is an online learning platform that prepares students for the tech industry’s most sought after careers. With expert mentorship from top professionals, a bleeding-edge curriculum, and a network of support from day one, they make sure students have everything they need to excel in their program and in their next job. The platform one-size-fits-one approach is made for working professionals who are ready to level-up or make a major career shift. And our tuition back guarantee means students can take charge and invest in themselves. Springboard data science career track comes with a job guarantee, ensuring students secure a job within six months of graduation or get a full refund. The platform's self-paced courses offer students the opportunity to develop job-ready skills that they display in an industry-worthy capstone or portfolio projects.",https://www.linkedin.com/company/springboard,,http://twitter.com/springboard,http://www.facebook.com/MySlideRule,684
ExecOnline,https://www.crunchbase.com/organization/execonline,https://www.execonline.com/,"E-Learning, EdTech, Education","Education, Software",ExecOnline is a provider of school-certified online executive education programs and executive training solutions.,"ExecOnline is a provider of school-certified online executive education programs used to transform how companies deliver professional development to their executives. The company partners with elite business schools to enable executives at the world’s largest companies to master and apply critical insights and practical solutions.  ExecOnline breaks the compromise between cost and quality through a dynamic and interactive online learning environment that scales across the enterprise and fosters collaborative skill-building.   ExecOnline provides school partners with everything they need to successfully develop online executive education programs including a customizable learning management system, online instructional design, and full sales and marketing capabilities.",https://www.linkedin.com/company/execonline/,,https://twitter.com/execonlineinc,https://www.facebook.com/pages/ExecOnline/1831158956906409,734
Udacity,https://www.crunchbase.com/organization/udacity,https://www.udacity.com,"Artificial Intelligence, E-Learning, EdTech, Education, Internet, Machine Learning, Robotics, Software, Training","Artificial Intelligence, Data and Analytics, Education, Hardware, Internet Services, Science and Engineering, Software","Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.","Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector, as well as data science, autonomous systems, and cloud computing. It offers nanodegree programs such as front-end and senior web developer, full-stack web developer, data analyst, machine learning engineer, iOS and Android developer, programming introduction, tech entrepreneur, iOS app development beginning, Ruby beginning, and 2D mobile game developer courses. Udacity's online courses teach the skills that industry employers need and deliver credentials endorsed by employers. The company aims to democratize education making it affordable and accessible to get the jobs they desire to improve their lives.  David Stavens, Mike Sokolsky, and Sebastian Thrun founded it in 2011, with its headquarters in Mountain View in California.",https://www.linkedin.com/school/udacity,Unicorn,https://twitter.com/udacity,https://www.facebook.com/Udacity,919
Skillshare,https://www.crunchbase.com/organization/skillshare,http://skillshare.com,"E-Learning, EdTech, Education, Peer to Peer","Education, Other, Software",Skillshare is an ed-tech platform offering online learning for creative fields.,"Skillshare is an online learning community with thousands of inspiring classes for creative and curious people, on topics including illustration, design, photography, video, freelancing, and more. The company's community offers classes on any type of skill, from baking cupcakes to raising startup capital to varying fields in design, business, and technology, enabling members to harness their creative power and learn skills in an enhanced way.  The company was founded in 2010 and is headquartered in New York.",https://www.linkedin.com/company/skillshare-com,,http://twitter.com/skillshare,http://www.facebook.com/skillshare,979
Campuswire,https://www.crunchbase.com/organization/campuswire,http://campuswire.com,"Collaboration, EdTech, Messaging","Education, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","Campuswire is a real-time messaging app for college classes that streamlines class discussions, Q&A, and announcements.","Campuswire is a real-time messaging app for college classes that streamlines class discussions, Q&A, and announcements. The company on a mission to optimize the world’s teaching and learning. They are assembling a world-class team of engineers, designers, pedagogists, and more to solve problems in teaching and learning.",https://www.linkedin.com/company/campuswire-inc,,https://www.twitter.com/campuswirehq,https://www.facebook.com/campuswirehq/,"1,023"
Degreed,https://www.crunchbase.com/organization/degreed,http://degreed.com,"Corporate Training, EdTech, Education, Internet, Skill Assessment, Software","Education, Internet Services, Software","Degreed is a learning platform where individuals and organizations can discover content, build skills, and certify expertise.","Degreed provides companies with a platform that enables employees to develop their skills and create skill profiles. Using that data, the platform can promote career mobility by connecting users to project, gigs, and job opportunities. It integrates and curates all the resources people use to learn including learning management systems and millions of courses, videos, articles, books, and podcasts. The company was launched in 2012 and is headquartered in Pleasanton, California.",http://www.linkedin.com/company/degreed,,http://twitter.com/degreed,https://www.facebook.com/degreedofficial,"1,163"
Aceable,https://www.crunchbase.com/organization/aceable,https://www.aceable.com,"E-Learning, EdTech, Mobile, Real Estate, Training","Education, Mobile, Real Estate, Software",Aceable is an online education startup that offers state-approved drivers education and real estate courses.,"Aceable is an education startup that offers state-approved online drivers education and real estate courses. Aceable's online courses are designed to help people succeed and achieve their goals. From its origins in driver's ed--where it now has 70% of the Texas market--to the meteoric growth of real estate training, Aceable aims to empower tens of millions of people with the high-stakes education they need to accomplish their life goals and is consistently on city-wide lists named one of the best places to work (Austin American Statesman and Austin Business Journal). Aceable is proud of its roots in the Capital Factory accelerator program and to have received backing from great funds like Sageview Capital, Silverton Partners, Floodgate Fund, Next Coast Venture Partners, Wildcat VC, Nextgen Partners, the Capital Factory Fund, and now HGGC. The company was founded in 2012 by Blake Garrett and is based in Austin, Texas, United States.",https://www.linkedin.com/company/aceable,,http://twitter.com/aceable,http://www.facebook.com/Aceable,"1,262"
Outschool,https://www.crunchbase.com/organization/outschool,https://outschool.com/,"Children, E-Learning, EdTech, Education, Information Technology, Marketplace","Commerce and Shopping, Community and Lifestyle, Education, Information Technology, Software","Outschool is a marketplace of live online classes for kids that connects learners, parents, and teachers together.","Outschool connects motivated learners, parents, and teachers together to create great learning experiences. Their mission is to build the biggest and best global school by offering unique online classes from hundreds of independent teachers. Outschool teachers may be certified teachers, artists, scientists, or other adults with expertise or interest in teaching. It was founded in 2015 and is based in San Francisco, California.",https://www.linkedin.com/company/outschool/,,https://twitter.com/outschool,https://www.facebook.com/outschool/,"1,397"
Quizlet,https://www.crunchbase.com/organization/quizlet,https://quizlet.com,"EdTech, Education, Internet, Knowledge Management","Administrative Services, Education, Internet Services, Other, Software",Quizlet is a learning platform that uses activities and games to help students practice and master what they’re learning.,"Quizlet is a learning platform that uses activities and games to help students practice and master what they’re learning. Its mission is to build great learning tools for every student on the planet. Originally created by high school sophomore Andrew Sutherland to study high school French vocabulary. Over 20 million unique visitors per month, from grade school to grad school, study a wide range of subjects using Quizlet's web and mobile learning tools and games.",https://www.linkedin.com/company/807920?trk=prof-exp-company-name,Unicorn,https://twitter.com/quizlet,https://facebook.com/quizlet,"1,503"
