Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Partake Foods,https://www.crunchbase.com/organization/partake-foods,https://partakefoods.com/,"Food and Beverage, Health Care, Lifestyle, Wellness","Community and Lifestyle, Food and Beverage, Health Care",Partake Foods is a food and beverage company that specializes in selling allergy-friendly cookies.,"Partake Foods is a food and beverage company that specializes in selling allergy-friendly cookies. The company's products are free of the top 12 allergens so families can eat safely, healthfully, and deliciously — even on-the-go. The company was founded in 2016 and is headquartered in Jersey City, New Jersey.",https://www.linkedin.com/company/partakefoods/,,https://twitter.com/partakefoods,https://www.facebook.com/PartakeFoods/,114
Grubhub,https://www.crunchbase.com/organization/grubhub,http://www.grubhub.com,"Apps, E-Commerce, Food and Beverage, Food Delivery, Internet, Marketplace, Mobile Apps, Restaurants","Apps, Commerce and Shopping, Food and Beverage, Internet Services, Mobile, Software, Transportation",Grubhub is a online and mobile food ordering and delivery marketplace dedicated to connecting diners with local restaurants.,"Grubhubis a online and mobile food-ordering and delivery marketplace with the largest and most comprehensive network of restaurant partners, as well as nearly 24 million active diners. Dedicated to connecting diners with the food they love from their favourite local restaurants, Grubhub elevates food ordering through innovative restaurant technology, easy-to-use platforms and an improved delivery experience. Grubhub features nearly 300,000 restaurants and is proud to partner with more than 200,000 of these restaurants in over 4,000 U.S. cities. The Grubhub portfolio of brands includes Grubhub, Seamless, LevelUp, AllMenus and MenuPages.",https://www.linkedin.com/company/grubhub-seamless/,,http://twitter.com/GrubHub,http://www.facebook.com/grubhub,153
CookUnity,https://www.crunchbase.com/organization/cookunity,http://www.cookunity.com,"Consumer Applications, Food and Beverage, Food Delivery, Food Processing, Subscription Service","Apps, Food and Beverage, Other, Software, Transportation",CookUnity is a meal subscription and delivery platform that connects private chefs with consumers.,"CookUnity is a food-tech company that develops a platform that connects talented chefs and artisanal food crafters to provide handcrafted meals and an at-home dining experience to its customers. It offers a personalized weekly meal subscription service for busy people who want to eat healthily. The platform enables food lovers to select from a wide array of fully prepared dishes that features sustainably-sourced proteins and seasonal produce. The company was founded in 2015 by Lucia Cisilotto, Mateo Marietti, and Matias Serebrinsky and is based in Brooklyn, New York.",https://www.linkedin.com/company/cookunity,,https://twitter.com/Cookunity,https://www.facebook.com/Cookunity,265
Starbucks Corporation,https://www.crunchbase.com/organization/starbucks,http://www.starbucks.com,"Coffee, Food and Beverage, Hospitality","Food and Beverage, Travel and Tourism","Starbucks is an international chain of restaurants that retails handcrafted coffee, tea, and fresh food items.","Starbucks is an international chain of restaurants that retails handcrafted coffee, tea, and fresh food items. With 23,132 stores in 65 countries and territories, Starbucks locations serve hot and cold drinks, whole-bean coffee, microground instant coffee, espresso, caffe latte, full-leaf teas, evolution fresh juices, pastries, and snacks. Most stores also sell pre-packaged food items, hot and cold sandwiches, and items such as mugs and tumblers.  The stores also offer a variety of beers, wines, and appetizers, and markets books, music, and film. Some of the company’s products are seasonal or specific to the locality of the store. Starbucks-brand coffee, ice cream, and bottled cold coffee drinks are also sold at grocery stores. Starbucks was founded by Orin Smith in October 1971 and is based in Seattle, Washington.",https://www.linkedin.com/company/starbucks/,,http://twitter.com/Starbucks,http://www.facebook.com/starbucks,308
Air Protein,https://www.crunchbase.com/organization/air-protein,https://www.airprotein.com/,"Biotechnology, Food and Beverage, Food Processing, Nutrition, Sustainability","Biotechnology, Food and Beverage, Health Care, Science and Engineering, Sustainability",Air Protein is a startup that develops protein-enriched food made from CO2.,"Air Protein is a startup that aims to develop sustainable protein made from thin air. Using a proprietary probiotic process, Air Protein develops protein-enriched food made from CO2. This revolutionary new protein source can be used to make meat-free burgers, protein-enriched pasta, cereals, beverages, and more. Air Protein has been developed by Kiverdi, a California-based biotechnology company.",https://www.linkedin.com/company/air-protein/,,https://twitter.com/AirProtein,,362
Postmates,https://www.crunchbase.com/organization/postmates,https://postmates.com/,"Delivery, Food Delivery, Logistics, Same Day Delivery","Administrative Services, Food and Beverage, Transportation",Postmates is an on-demand food delivery company.,"Postmates is an on-demand food delivery. The platform gives customers access to the most selection of merchants in the US with more than 600,000 restaurants and retailers available for delivery and pickup, many of which are exclusive to Postmates. The market leader in Los Angeles and markets across the southwest, Postmates covers 80% of US households, across all 50 states. Customers can get free delivery on all merchants by joining Postmates Unlimited, the industry's first subscription service.",https://www.linkedin.com/company/postmates,Exited Unicorn,https://twitter.com/postmates,https://www.facebook.com/Postmates,370
Thistle,https://www.crunchbase.com/organization/thistle,http://www.thistle.co,"Delivery Service, Food and Beverage, Health Care, Organic Food, Wellness","Food and Beverage, Health Care, Transportation","Thistle is a food and juice company that delivers fully-prepared, plant-forward meals to the doorsteps of its customers.","Thistle is a healthy food and juice company that delivers fully-prepared, plant-forward meals to the doorsteps of its customers. It makes eating nutritious, organic, and local foods incredibly convenient and accessible. They believe that by removing the major existing hurdles to consumers (no time to make a meal; too expensive to eat healthy; bad local options), they can empower our customers to make great choices for themselves, their family, and the environment. It was founded in 2013 and is based in San Francisco, California.",http://www.linkedin.com/company/thistle,,http://twitter.com/ThistleCo,http://www.facebook.com/thistleco,440
Outstanding Foods,https://www.crunchbase.com/organization/outstanding-foods,https://www.outstandingfoods.com/,"Consumer Goods, Food and Beverage, Food Processing, Snack Food","Consumer Goods, Food and Beverage",Oustanding Foods is a manufacturer of plant-based food products and a Better-For-You Snack Brand.,"Outstanding Foods is a plant-based foods company that specializes in the fields of consumer goods, beverages, and snack foods. Their products contain pure, wholesome ingredients combined with proprietary chef-crafted methods. It was founded in 2016 and headquartered in Venice, California.",https://www.linkedin.com/company/outstandingfoods/,,https://twitter.com/outstandingfds,https://www.facebook.com/outstandingfoods/,454
Goldbelly,https://www.crunchbase.com/organization/goldbelly,https://www.goldbelly.com/,"E-Commerce, Food and Beverage, Internet, Online Portals","Commerce and Shopping, Food and Beverage, Internet Services",Goldbelly is an online platform for specialty food makers and artisans.,"Goldbelly is an online platform for specialty food makers and artisans. Goldbelly's online marketplace connects local food providers to eaters and sources iconic, regional, and local foods from all kinds of cuisines across the country with tools for ordering and doorstep delivery, allowing small businesses to reach new customers and grow their revenue.",https://www.linkedin.com/company/goldbelly/,,https://twitter.com/goldbelly,https://www.facebook.com/Goldbelly/,486
BlueNalu,https://www.crunchbase.com/organization/bluenalu,https://www.bluenalu.com/,"Biotechnology, Food and Beverage, Health Care, Medical","Biotechnology, Food and Beverage, Health Care, Science and Engineering","BlueNalu is a cellular aquaculture company that satisfies the global appetite for seafood in a fresh, sustainable, and humane way.","BlueNalu is a cellular aquaculture company that satisfies the global appetite for seafood in a fresh, sustainable, and humane way. It offers consumers with great tasting, healthy, safe, and trusted seafood products, that support the sustainability and diversity of the oceans.   The company was founded in 2017 and is headquartered in San Diego, California.",https://www.linkedin.com/company/bluenalu/,,https://twitter.com/BlueNaluInc,https://www.facebook.com/bluenaluinc/,530
Goodr,https://www.crunchbase.com/organization/goodr,https://goodr.co,"Cloud Data Services, Food Delivery, SaaS, Social Impact, Software, Sustainability, Waste Management","Food and Beverage, Information Technology, Internet Services, Other, Software, Sustainability, Transportation",Goodr is a sustainable surplus food management platform that leverages technology to reduce food waste and combat hunger.,"Goodr is a sustainable food surplus management platform that leverages technology to reduce food waste and combat hunger. They provide an end-to-end solution for businesses seeking to earn money from their edible food waste by donating it to local nonprofit organizations. Their platform provides the logistics, analytics, and security for businesses to earn deductions under the PATH act in compliance with the Internal Revenue Services. Goodr’s blockchain-enabled platform also provides an IRS audit-friendly donation record, real-time food waste analytics, and community impact reports. Their model aims to provide a triple-win situation: improve business’ bottom line through tax deductions, reduce greenhouse emissions from landfills, and use edible food waste to reduce hunger.",https://www.linkedin.com/company/15243572/,,https://twitter.com/thegoodrco?lang=en,https://www.facebook.com/GoodrCo/,538
DoorDash,https://www.crunchbase.com/organization/doordash,http://www.doordash.com,"Delivery, Food Delivery, Last Mile Transportation, Mobile Apps","Administrative Services, Apps, Food and Beverage, Mobile, Software, Transportation",DoorDash is a food delivery platform that connects customers with local and national businesses.,"DoorDash provides restaurant food delivery services connecting customers with local businesses. The company is passionate about transforming local businesses and dedicated to enabling new ways of working, earning, and living. By building the last-mile delivery infrastructure for local cities, DoorDash is bringing communities closer, one doorstep at a time. It connects customers with their favorite local and national restaurants in more than 600 cities.  Andy Fang, Evan Moore, Stanley Tang, and Tony Xu founded Palo Alto Delivery in June 2013, which became DoorDash, Inc. in October 2014, with its headquarters based in San Francisco in California.",http://www.linkedin.com/company/doordash,Exited Unicorn,http://www.twitter.com/DoorDash,http://www.facebook.com/doordash,569
Clara Foods,https://www.crunchbase.com/organization/clara-foods,http://www.clarafoods.com/,"Food Processing, Nutrition, Sustainability","Food and Beverage, Health Care, Sustainability",Clara makes real animal protein without the use of a single animal – starting with the world's first chickenless egg proteins.,"Clara Foods™ is the market leader in engineering, manufacturing and formulating animal-free, animal proteins as ingredients for the global food and beverage industry. Leveraging advanced fermentation to produce functional and nutritional proteins from microorganisms, the Company is reimagining the factory farm model that underpins industrial animal agriculture with a more sustainable, kinder and healthier alternative. Clara Foods is on a mission to decouple the world's most powerful proteins from the animals that make them.",https://www.linkedin.com/company/clara-foods,,https://twitter.com/ClaraFoods,https://www.facebook.com/clarafoods,588
