Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
(h)OURspot,https://www.crunchbase.com/organization/h-ourspot,,"Android, iOS, Mobile, News, Risk Management, Social Media","Content and Publishing, Internet Services, Media and Entertainment, Mobile, Platforms, Professional Services, Software",Location based check-in mobile game,"(h)OURspot reinvents the location check-in feature into a game of territory takeover in any city! Users can play private games with just their friends or team up and play a large scale public game to compete for bragging rights and prizes!  Imagine your hometown split up into dozens of territories.  Check-in to places to conquer them as well as territories you already own to defend them.  Keep in mind that check-ins are limited by time, so talk to your teammates and play strategically!  The team with the most check-ins in a territory owns that ""spot"" and the team that owns the most ""spots"" when the time elapses, wins!",,,http://twitter.com/hourspot,
10 Word News,https://www.crunchbase.com/organization/10-word-news,http://10wordnews.com,"Android, Apps, iOS, News, Social News","Apps, Content and Publishing, Media and Entertainment, Mobile, Platforms, Software","10 Word News removes the cutter, and reveals what's important. Every news story is treated equally. Every story is exactly 10 words.","10 Word News removes the cutter, and reveals what's important. Founded by passionate teenagers, 10 Word News allows you to spend less time catching up and more time living life. Every news story is treated equally. Every story is exactly 10 words. We are tired of the endless 24-hour news cycle. 10 Word News focuses on the significant news. Unless it's a huge news day, we deliver only one or two new stories per day, instead of cluttering your mind with filler. ""My generation is bombarded with vast amounts of information, and it get's to a point when it's useless to pay attention to any of it. It's time for a stress-free news experience.""  - Shannon Leonard, 19 year old CEO/Founder of 10 Word News",,,http://twitter.com/tenwordnews,http://www.facebook.com/10wordnews
10Tales,https://www.crunchbase.com/organization/10tales,http://www.10tales.co/,"Apps, Film, Intellectual Property, Personalization, Software, TV, Video Streaming","Apps, Commerce and Shopping, Content and Publishing, Media and Entertainment, Professional Services, Software, Video",10Tales is where you and your friends go to connect with each other inside the professional stories you love.,10Tales is an award-winning patented software platform that enables professional TV shows to become personalized  in-stream/in-story. Audiences can now receive one to one addressable shows/series creating unparalleled value.,https://www.linkedin.com/company/10tales/,,,
10up,https://www.crunchbase.com/organization/10up,http://10up.com,"Blogging Platforms, CMS, Consulting, Digital Marketing, Web Apps, Web Design, Web Development","Apps, Content and Publishing, Design, Information Technology, Media and Entertainment, Professional Services, Sales and Marketing, Software","Content publishing made easy, maybe even fun. WordPress focused, global, distributed digital agency.","10up is a leading web development and strategy agency that emphasizes great user experiences and simple content management. Our secret to making first class websites is simple: create great user experiences for everyone from the website's audience, to the content managers and code contributors behind the scenes. We believe that content management -- the process of keeping your website fresh and up to date -- shouldn't require any more expertise than word processing. We strive to make content management more than ""manageable"" --  we strive to make it fun. With that mission in mind, it's no surprise that 10up specialize in awesome WordPress implementations. We believe WordPress is the easiest to use content management system, with a low cost of entry and unbelievable potential in the hands of the right developers. Team 10up has built some of the most popular WordPress plug-ins on the repository, speaks at conferences around the country, writes for leading web publications like Smashing Magazine, and organizes multiple WordPress Meetups. 10up has been the force behind some of the most popular WordPress-powered websites on the Internet.",http://www.linkedin.com/company/1959734,,http://twitter.com/10up,http://www.facebook.com/10up.agency
148Apps,https://www.crunchbase.com/organization/148apps,http://148apps.com,"iOS, Journalism, News, Price Comparison, Social Media, Software","Commerce and Shopping, Content and Publishing, Internet Services, Media and Entertainment, Mobile, Platforms, Software","148apps is an online platform that offers news, recommendations, and reviews on iPhone OS applications.","148apps is an online platform that offers news, recommendations, and reviews on iPhone OS applications. The platform offers its information categorized into sections such as business, special needs, social, language, weather, kids, education, entertainment, health and fitness, medical, navigation, and more. 148apps was founded in July 2008 and is operated in San Francisco, California.",,,http://twitter.com/148Apps,http://www.facebook.com/148Apps
"1533 Systems, Inc.",https://www.crunchbase.com/organization/1533-systems-inc,http://1533.io,"Analytics, Information Technology, Software, Video Streaming","Content and Publishing, Data and Analytics, Information Technology, Media and Entertainment, Software, Video","Live Data platform, ingest, process, respond and operate Live Data systems at any scale.","1533 Systems is building the next generation data processing platform, specializing in Live Data- where speed, scale, and operational stability are all critical.  Driveline, its main product, is an all-in-one, tightly integrated platform for ingesting, analyzing and storing Live Data.  From IoT event streams to large scale Video processing.  By providing the highest levels of efficiency, and configurable reliability, Driveline scales all the way from embedded devices to government scale problems.",https://www.linkedin.com/company/1533-systems,,,
1DollarClub.org,https://www.crunchbase.com/organization/1dollarclub-org,http://www.1dollarclub.org,"Apps, Charity, News","Apps, Content and Publishing, Media and Entertainment, Other, Software",1DollarClub.org provides support for children after a tragic loss.,"Making a difference in the world 1 dollar at a time. Hereâ€:tm:s how the foundation works:  Anyone who donates is limited to one dollar and one dollar only.  Once youâ€:tm:ve donated, you then invite your social network to also donate.  These donors then follow suit with their networks.  The real way to make the 1DollarClubTM work is by activating the individuals in your social network to donate.  So no matter if you are Richard Branson, Bill Gates, or just an average Josephine or Joe â€“ your dollar has the same impact and power as anyone elseâ€:tm:s. Plus, you can track your fund-raising effectiveness by watching your 1FactorTM grow.   The 1FactorTM is a unique tool invented to track your progress in getting your network to join the 1DollarClubTM and is able to asses the value of an individuals social network.",,,,
2 Minute Medicine,https://www.crunchbase.com/organization/2-minute-medicine,http://www.2minutemedicine.com,"Content Syndication, Health Care, Medical, Natural Language Processing, News","Artificial Intelligence, Content and Publishing, Data and Analytics, Health Care, Media and Entertainment, Software",A Hybrid Physician Publishing and Data Syndication Company,"Winner of the Massachusetts Medical Society Information Technology Award. As Featured in Forbes Magazine, the Huffington Post, and more. The 2 Minute Medicine® Publishing Group is a data-driven medical media engine founded out of Harvard Medical School.  It is made up of a diverse group of over 70 physicians and medical students across North America and the UK, dedicated to providing curated, original and concise reports of high-impact medical news to institutions, health professionals, and the public. Our Boston lab studies the process and effects of media presentation and data on medical education. Our findings have been presented at global medical conferences.",http://www.linkedin.com/company/2-minute-medicine,,http://twitter.com/2minmed,http://www.facebook.com/pages/2-Minute-Medicine/401679419898914
22 Words,https://www.crunchbase.com/organization/22-words,http://twentytwowords.com/,"Apps, Internet, News, Software, Video","Apps, Content and Publishing, Internet Services, Media and Entertainment, Software, Video","22 Words is an online platform, collects and shares a blend of serious, comical, and absurd content, including pictures, videos, and more.","22 Words is an online platform that collects and shares a blend of serious, comical, and absurd content, including pictures, videos, and more. Users can view and share this content with their friends and loved ones.",https://www.linkedin.com/company/22-words/about/,,https://twitter.com/22words,https://www.facebook.com/22Words
22Slides,https://www.crunchbase.com/organization/22slides,http://22slides.com,"Art, E-Commerce, Finance, Internet, Music, Photography, Software, Web Design, Web Hosting","Commerce and Shopping, Content and Publishing, Design, Financial Services, Internet Services, Media and Entertainment, Music and Audio, Software",22Slides is an online platform that enables photographers and other artists to build personalized websites.,"22Slides is a simple website builder for photographers and other artists. Founded, designed, developed and maintained by a professional photographer, 22Slides aims to be the easiest possible way for artists to create a portfolio website for themselves.",,,http://twitter.com/22slides,
2K,https://www.crunchbase.com/organization/2k,http://2k.com,"Developer APIs, Publishing, Sports, Video Games","Content and Publishing, Gaming, Media and Entertainment, Software, Sports",2K Sports is a development studio that develops and publishes sports-based video games.,"2K Sports is a development studio that develops and publishes sports-based video games.  Its product portfolio includes NBA 2K series, the NHL 2K series, the WWE 2K series, and MLB 2K series. 2K Sports is a division of 2K Games and was founded in January 2005. The company is headquartered in Novato, California.",http://www.linkedin.com/company/2k-games,,http://twitter.com/2k,http://www.facebook.com/2kgames
2KXO,https://www.crunchbase.com/organization/screamxo,https://2kxo.com,"Bitcoin, Blogging Platforms, Cryptocurrency, E-Commerce, Media and Entertainment, Music, Music Streaming, Podcast, Social Media, Virtual Currency","Commerce and Shopping, Content and Publishing, Financial Services, Internet Services, Media and Entertainment, Music and Audio, Payments, Software","2KXO is the first private network for musicians, artists, photographers, and more to buy, sell, interact and share their creations.","2KXO provides all creatives a place to professionally organize media, merchandise, products, and services in one highly magnetizing application. Not only does 2KXO offer users unlimited social streaming and shopping, users can also set up automated advertisement campaigns quickly and easily using one single application 2KXO!",https://www.linkedin.com/company/screamxo/,,https://twitter.com/2kxosocial,https://facebook.com/2kxosocial
3 Curious Monkeys,https://www.crunchbase.com/organization/3-curious-monkeys,http://www.3curiousmonkeys.com,"Apps, Digital Media, EBooks, Education, Mobile, Publishing, Social Media","Apps, Content and Publishing, Education, Internet Services, Media and Entertainment, Mobile, Software","We make interactive Apps & books for kids through these we bring the sights, sounds & diversity of India to children all over the world.","At 3 Curious Monkeys, we introduce children to the diversity, sights, sounds, colours, traditions and the wonders of India via books and digital Apps. The stories revolve around the many adventures of three curious monkeys -Suno, Dekho, Jaano- who take the little ones on whirlwind escapades that revolve around various aspects of India. All of this is accompanied by plenty of action, interaction and reactions played out in a modern and fun manner. We offer: Proficiency- Our books ( print or digital) help in the development of early language skills for the very young and early readers. Our apps are easy to play with and require little or no assistance, fostering a sense of accomplishment. Culture- We offer beautiful and original artwork, animations and sounds that introduces children to the splendour and diversity of India. Our content is written in a way that kids can understand and relate to it. Security- Our products are mommy approved and are non-violent, use appropriate language and do not contain any third party ads and in-app purchases. Fun- Our cute and engaging characters make our products fun for kids while teaching them valuable lessons. Meant to start a conversation between children and parents the 3 Curious Monkeys brings traditions to life with characters that will have your children excited to see, hear and learn more! Who we are When two US-based mompreneurs- Shweta Chopra and Shuchi Mehta- began looking for contemporary and fun stories, about India, that they could share with their children they hit against a road-block. This lacunae encouraged the duo to start 3 Curious Monkeys, a venture that would make Indian culture more accessible, relevant and relatable for young children.",,,https://www.twitter.com/3curiousmonkeys,https://www.facebook.com/3curiousmonkeys
