Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Plug Power,https://www.crunchbase.com/organization/plug-power,http://www.plugpower.com/,"Energy, Fuel Cell, Industrial, Manufacturing, Oil and Gas","Energy, Manufacturing, Natural Resources",Plug Power is a provider of  clean hydrogen and zero-emission fuel cell solutions.,"Plug Power is a hydrogen and fuel cell company that provides clean hydrogen and zero-emission fuel cell solutions. Plug Power is building the hydrogen economy as the leading provider of comprehensive hydrogen fuel cell turnkey solutions. The Company’s innovative technology powers electric motors with hydrogen fuel cells amid an ongoing paradigm shift in the power, energy, and transportation industries to address climate change and energy security, while meeting sustainability goals. Plug Power created the first commercially viable market for hydrogen fuel cell technology. As a result, the Company has deployed over 40,000 fuel cell systems for e-mobility, more than anyone else in the world, and has become the largest buyer of liquid hydrogen, having built and operated a hydrogen highway across North America. Plug Power delivers a significant value proposition to end-customers, including meaningful environmental benefits, efficiency gains, fast fueling, and lower operational costs. Plug Power’s vertically-integrated GenKey solution ties together all critical elements to power, fuel, and provide service to customers such as Amazon, BMW, The Southern Company, Carrefour, and Walmart.  The company was founded in 1997 and based in Latham, New York.",http://www.linkedin.com/company/plug-power,,https://www.twitter.com/plugpowerinc,http://www.facebook.com/PlugPowerInc,53
SpaceX,https://www.crunchbase.com/organization/space-exploration-technologies,https://www.spacex.com/,"Aerospace, Manufacturing, Space Travel, Transportation","Manufacturing, Science and Engineering, Transportation","SpaceX is an aviation and aerospace company that designs, manufactures, and launches advanced rockets and spacecraft.","Space Exploration Technologies is a space-transportation startup company founded by Elon Musk. SpaceX designs, manufactures, and launches advanced rockets and spacecraft. SpaceX develops crew and cargo capsules, engines, cryogenic tank structures, avionics, equipment, guidance, and control software. The company is developing the partially reusable launch vehicles Falcon 1 and Falcon 9. Founded in 2002, Space Exploration Technologies is headquartered in Hawthorne, California.",https://www.linkedin.com/company/spacex/,Unicorn,https://twitter.com/SpaceX,https://www.facebook.com/Space-X-2006330642950821/,78
FLIR Systems,https://www.crunchbase.com/organization/flir-systems,http://www.flir.com,"Electronics, Image Recognition, Manufacturing, Security","Consumer Electronics, Data and Analytics, Hardware, Manufacturing, Privacy and Security, Software","FLIR Systems designs, manufactures, and markets technology solutions that focus on thermal imaging and infrared camera systems.","FLIR Systems primarily designs, manufactures, and markets thermal imaging and infrared camera systems in the U.S. and internationally. Its Thermography division offers products for commercial and industrial applications, where temperature measurement is a primary requirement. The Commercial Vision Systems division caters to security, automotive, marine, airborne, and first responder markets.  The company was founded in 1978 and is headquartered in Wilsonville, Oregon.",http://www.linkedin.com/company/flir-systems,,https://twitter.com/FLIRJobs,https://www.facebook.com/FLIR/,165
Outer,https://www.crunchbase.com/organization/outer,https://liveouter.com/,"Furniture, Manufacturing, Retail","Commerce and Shopping, Consumer Goods, Manufacturing",Outer is a direct-to-consumer outdoor furniture brand.,"Outer is a direct-to-consumer outdoor furniture brand that has built furniture for retailers for years. The products are manufactured in Liu's family-owned factory outside of Shanghai. Since its inception in 2017, Outer has increased its revenue 11 times by 2020 and tripled its workforce in the past nine months.",https://www.linkedin.com/company/outer,,https://twitter.com/LiveOuter,https://www.facebook.com/liveouter/,170
Medtronic,https://www.crunchbase.com/organization/medtronic,http://www.medtronic.com/,"Biotechnology, Health Care, Health Diagnostics, Manufacturing, Medical, Medical Device, Therapeutics","Biotechnology, Health Care, Manufacturing, Science and Engineering",Medtronic develops and manufactures medical device technologies and therapies to treat chronic diseases worldwide.,"Medtronic develops healthcare technology to treat chronic diseases. Its medical technology is providing lifelong solutions for people with chronic pain. The company is committed to improving lives through its medical technologies, services, and solutions.  Medtronic has four main business units: the Minimally Invasive Therapies Group, the Diabetes Group, the Restorative Therapies Group, and the Cardiac and Vascular Group. Medtronic develops and manufactures devices and therapies to treat more than 30 chronic diseases that include heart failure, Parkinson disease, urinary incontinence, Down syndrome, obesity, chronic pain, spinal disorders, and diabetes. Medtronic was founded in 1949 and is headquartered in Minneapolis, Minnesota, United States",http://www.linkedin.com/company/medtronic/,,http://twitter.com/Medtronic,http://www.facebook.com/Medtronic/,196
Joby Aviation,https://www.crunchbase.com/organization/joby-aviation,http://www.jobyaviation.com/,"Aerospace, Air Transportation, Manufacturing, Transportation","Manufacturing, Science and Engineering, Transportation",Joby Aviation is an aerospace transportation company developing electric aircrafts.,"Joby Aviation develops a new generation of electric personal aircraft created to revolutionize personal mobility. Its strength is in composite airframe design and fabrication, aerodynamic analysis, high-performance electric motor development, and cutting-edge battery pack design, enabling clients to create a paradigm shift in transportation with safe, quiet, fast, and affordable electric vertical takeoff.",https://www.linkedin.com/company/joby-aviation/,Unicorn,https://twitter.com/jobyaviation,https://www.facebook.com/JobyAviation/,253
Oqton,https://www.crunchbase.com/organization/oqton-inc,https://www.oqton.com,"Analytics, Artificial Intelligence, Machine Learning, Manufacturing, Software","Artificial Intelligence, Data and Analytics, Manufacturing, Science and Engineering, Software",Oqton is a software company that develops AI-driven software for the manufacturing industry.,"Oqton is building an open factory operating system that deeply integrates engineering software with manufacturing hardware. Oqton FactoryOS captures real-time data from the production environment and uses AI techniques to close the loop, generating actionable insights and optimizing and re-engineering production workflows. Oqton develops AI-powered manufacturing solutions to allow manufacturers to manage, optimize, and automate their additive manufacturing workflows. It was founded in 2017 and headquartered in San Francisco, California, and Ghent, Belgium.",https://www.linkedin.com/company/oqton/,,https://twitter.com/oqtonai,,350
General Motors,https://www.crunchbase.com/organization/general-motors,https://www.gm.com,"Automotive, Enterprise Software, Manufacturing, Transportation","Manufacturing, Software, Transportation","General Motors is a multinational corporation that manufactures, markets, and distributes vehicles and vehicle parts.","General Motors Company engages in the manufacture and sale of cars and trucks in the United States, China, Brazil, Germany, the United Kingdom, Canada, and Italy. It offers sedans, crossovers, sport utility vehicles, pick-up trucks, coupes, sports/convertibles and hybrid vehicles, hatchbacks/wagons, and vans, as well as mini cars in India. The company also provides parts and accessories, such as iPod and MP3 compatibility, mobility accessories, performance parts, AC parts and services, and merchandise. In addition, it offers vehicle safety, security, and information services.  The company provides used vehicles. It offers its products through dealers and distributors. General Motors Company was formerly known as NGMCO, Inc. and changed its name to General Motors Company in July 2009. The company was incorporated in 2009 and is based in Detroit, Michigan. It operates manufacturing facilities in India, the United States, and Canada. General Motors Company operates as a subsidiary of United States Department of The Treasury. General Motors led global vehicle sales for 77 consecutive years from 1931 through 2007, longer than any other automaker, and is currently among the world's largest automakers by vehicle unit sales. General Motors acts in most countries outside the USA via wholly owned subsidiaries, but operates in China through 10 joint ventures. GM's OnStar subsidiary provides vehicle safety, security, and information services. In 2009, General Motors shed several brands, closing Saturn, Pontiac and Hummer, and emerged from a government backed Chapter 11 reorganization. In 2010, GM made an initial public offering that was one of the world's top 5 largest IPOs to date and returned to profitability later that year.",https://www.linkedin.com/company/1472,,https://twitter.com/GM,https://www.facebook.com/generalmotors,377
Velodyne LiDAR,https://www.crunchbase.com/organization/velodyne-lidar,http://velodynelidar.com/,"3D Technology, Electronics, Machinery Manufacturing, Manufacturing, Robotics, Sensor","Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Software",Velodyne LiDAR is a technology company that manufactures sensor products and real-time LiDAR sensors.,"Velodyne LiDAR is a technology company that manufactures sensor products and real-time LiDAR sensors. It offers light detection and ranging scanners.  The company evolved after founder and inventor David Hall developed the HDL-64 Solid-State Hybrid LiDAR sensor in 2005. Since then, Velodyne LiDAR has emerged as the leading developer, manufacturer, and supplier of 3D real-time perception systems used in a variety of commercial applications including autonomous vehicles, vehicle safety systems, 3D mobile mapping, 3D aerial mapping, and security.  David Hall founded Velodyne LiDAR in 2007. Its headquarters is in Morgan Hill in California.",https://www.linkedin.com/company/velodyne-lidar,Exited Unicorn,https://twitter.com/VelodyneLidar,https://www.facebook.com/velodyneLiDAR/home?ref=page_internal,414
Qualcomm,https://www.crunchbase.com/organization/qualcomm,http://www.qualcomm.com,"Manufacturing, Mobile, Software, Telecommunications, Wireless","Hardware, Manufacturing, Mobile, Software","Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.","Qualcomm is an American fabless semiconductor company that designs, manufactures, and markets digital wireless telecommunications products and services. It produces processors and connectivity solutions, displays, software, and charging products. The company is focused on various industries: automotive, education, healthcare, Internet of Everything, mobile computing, networking, smart cities, smart homes, and wearables. Qualcomm’s products include Gobi, Hy-Fi, IPQ, IZat, Powerline, Snapdragon, Small Cells, VIVE, Wi-Fi platforms, Mirasol, Pixtronix, AllPlay, 2net, Brew, HealthyCircles, QChat, QLearn, RaptorQ, Vuforia, Halo, and WiPower. SnapTrack, Trigenix Ltd, Elata, Berkana Wireless, Qualphone and Airgo Networks are some of the companies that Qualcomm has so far acquired. Qualcomm was co-founded by Irwin M. Jacobs, Andrew Viterbi, Harvey White, Adelia Coffman, Andrew Cohen, Klein Gilhousen, and Franklin Antonio in 1985 and is headquartered in San Diego, California with worldwide presence. It has offices in Australia, Austria, Belgium, Brazil, Canada, China, Finland, France, Germany, Hong Kong, India, Indonesia, Ireland, Israel, Italy, Japan, Mexico, Netherlands, Nigeria, Philippines, Russia, Saudi Arabia, Singapore, South Africa, South Korea, Spain, Sweden, Taiwan, Thailand, Turkey, U.A.E, United Kingdom, and Vietnam.",https://www.linkedin.com/company/2017,,http://twitter.com/Qualcomm,https://www.facebook.com/QualcommIN,430
