Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Medium,https://www.crunchbase.com/organization/medium,https://medium.com,"Internet, News, Publishing, Tour Operator, Tourism","Content and Publishing, Internet Services, Media and Entertainment, Travel and Tourism",Medium is a social publishing network that connects ideas and perspectives on topics that matter.,"Medium is a social publishing platform that allows anyone to share ideas and perspectives that matter. For writers, Medium offers simple creation tools combined with a larger distribution network.  For readers, Medium allows people to follow people and topics that matter to them and receive a personalized feed of content every day.  Readers can join in the conversation by highlighting, recommending, or responding to posts.   It was founded n 2013 and headquartered in San Francisco, California.",http://www.linkedin.com/company/medium-com,Emerging Unicorn,http://twitter.com/Medium,http://www.facebook.com/medium,60
Business Insider,https://www.crunchbase.com/organization/business-insider,http://www.businessinsider.com,"Digital Media, News, Publishing","Content and Publishing, Media and Entertainment","Business Insider is an online platform that offers the latest business, celebrity, and technology news.","Business Insider is an online platform that offers the latest business, celebrity, and technology news across America. The platform also covers technology, finance, politics, strategy, life, sports, and more. The site also provides and analyzes business news and acts as an aggregator of top news stories from around the web. It also offers in-depth insight, data and analysis of the digital landscape, from e-commerce and payments to the Internet of Things and fintech. Business Insider was founded by Kevin Ryan and Henry Blodget in May 2007 and is based in New York, United States.",http://www.linkedin.com/company/683279,,http://twitter.com/businessinsider,http://www.facebook.com/businessinsider,90
BuzzFeed,https://www.crunchbase.com/organization/buzzfeed,https://www.buzzfeed.com,"Advertising, Digital Entertainment, Internet, Journalism, News, Publishing, Social, Social News, Video","Advertising, Community and Lifestyle, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing, Video",BuzzFeed is a cross-platform digital media company delivering news and entertainment content to a global audience.,"BuzzFeed is a news and entertainment company that is redefining online advertising with its social, content-driven publishing technology. BuzzFeed provides the most shareable breaking news, original reporting, entertainment, and video across the social web to its global audience of more than 200M. It covers breaking news, produces original video, and creates content that people want to share on the web. BuzzFeed was founded in 2006 by Jonah Peretti and John Johnson. It is headquartered in New York, N.Y.",http://www.linkedin.com/company/buzzfeed,Unicorn,https://twitter.com/buzzfeed,http://www.facebook.com/buzzfeed,263
HODINKEE,https://www.crunchbase.com/organization/hodinkee,http://www.hodinkee.com,"Content, E-Commerce, Information Services, Internet, News, Publishing","Commerce and Shopping, Content and Publishing, Information Technology, Internet Services, Media and Entertainment",HODINKEE designs watches and is a media and retail platform providing a point of view on industry news and releases.,"Established in 2008, HODINKEE is the destination for all things in the world of horology. Over the past decade, ​founder Ben Clymer and team have​ grown HODINKEE into a robust media and retail platform by providing its respected point of view on industry news and releases, investing in engaging and creative storytelling, producing a designated podcast, printing a bi-annual publication, and launching and growing its own retail outlet, HODINKEE Shop. At its core, HODINKEE’s goal is to bring its readers and consumers the best in luxury products in a way that is approachable, authentic, and honest.",https://www.linkedin.com/company/hodinkee-com/,,http://twitter.com/hodinkee,http://www.facebook.com/HODINKEE,"1,541"
Dynamic Yield,https://www.crunchbase.com/organization/dynamic-yield,https://www.dynamicyield.com/,"A/B Testing, Artificial Intelligence, Email Marketing, Enterprise Software, Machine Learning, Messaging, Predictive Analytics, Publishing","Artificial Intelligence, Content and Publishing, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Sales and Marketing, Science and Engineering, Software",Dynamic Yield is an AI-powered Personalization Anywhere™ platform that delivers individualized experiences at every customer touchpoint.,"Dynamic Yield is an AI-powered Personalization Anywhere™ platform that delivers individualized experiences at every customer touchpoint: web, apps, email, kiosks, IoT, and call centers. The platform’s data management capabilities provide for a unified view of the customer, allowing the rapid and scalable creation of highly targeted digital interactions. Marketers, product managers, and engineers use Dynamic Yield daily for launching new personalization campaigns, running server-side and client-side A/B tests, leveraging machine-learning for product and content recommendations, and employing algorithms for smartly triggered email and push notifications. Headquartered in New York, the company serves more than 300 brands across the world.",http://www.linkedin.com/company/dynamic-yield,,http://twitter.com/DynamicYield,http://www.facebook.com/DynamicYield,"1,579"
Substack,https://www.crunchbase.com/organization/substack,https://www.substack.com/,"Email, Media and Entertainment, News, Publishing, Subscription Service","Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Other",Substack makes it simple for a writer to start an email newsletter that makes money from subscriptions.,"Substack makes it simple for a writer to start an email newsletter that makes money from subscriptions. They provide web and newsletter publishing tools that are purpose-built for paid subscriptions. It also offers an all-in-one solution to help you get paid for your writing. Their tools will include easy-to-use editing software that can handle the simultaneous publication of stories and newsletters for a payments solution that makes subscriptions intuitive and manageable for both publisher and reader. They also share features that allow stories to find large audiences outside the paywalls and design templates so that publishers can create beautiful reading experiences. Substack was founded in 2017 by Jairaj Sethi, Christopher Best, and Hamish McKenzie and is headquartered in San Francisco, California, USA.",https://www.linkedin.com/company/substack,,https://twitter.com/SubstackInc,https://www.facebook.com/substackinc,"1,742"
Odyssey,https://www.crunchbase.com/organization/odyssey-inc,https://www.theodysseyonline.com/,"Journalism, News, Publishing, Social Media","Content and Publishing, Internet Services, Media and Entertainment","Odyssey is an internet company that specializes in social media, publisher, and platform used to democratize content.","Odyssey is an internet company that specializes in social media, publisher, and platform used to democratize content. Its platform allows people to share their thoughts, learn new perspectives, and participate in meaningful conversations on the topics that they care about the most. It enables a positive social impact and personal growth. The company was founded in 2009 and headquartered in New York, United States.",https://www.linkedin.com/company/odyssey-online/,,https://twitter.com/TheOdyssey,https://www.facebook.com/Odyssey/,"1,893"
Maven,https://www.crunchbase.com/organization/themaven-network-inc,http://maven.io,"Advertising, Content, News, Publishing, Social, Social Media, Video","Advertising, Community and Lifestyle, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing, Video","Maven operates as a single digital publishing, advertising, and distribution platform under a single media brand.","Maven is a media coalition of professional content destinations. It operates on a shared digital publishing, advertising, and distribution platform, providing a major media scale alternative to news and information distributed on social platforms. Maven was founded in 2016 and is headquartered in Seattle, Washington.",https://www.linkedin.com/company/themaven-network-inc./,,https://twitter.com/MavenCoalition,,"1,913"
Devolver Digital,https://www.crunchbase.com/organization/devolver-digital,https://www.devolverdigital.com/,"Publishing, Video Games","Content and Publishing, Gaming, Media and Entertainment",Purveyors of fine digital entertainment wares from independent artists worldwide.,"Purveyors of fine digital entertainment wares from independent artists worldwide.  Devolver works with independent developers from all over the world to produce and promote some of the most original, eccentric, and beloved games of the past decade.",https://www.linkedin.com/company/devolverdigital,,https://twitter.com/DevolverDigital,https://www.facebook.com/DevolverDigitalGames,"1,989"
Innovid,https://www.crunchbase.com/organization/innovid,https://www.innovid.com/,"Ad Targeting, Advertising, Advertising Platforms, Internet, Publishing, Video","Advertising, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing, Video",Innovid is the only independent omni-channel advertising and analytics platform built for television.,"Innovid is the only independent omni-channel advertising and analytics platform built for television. Innovid empowers advertisers to personalize, deliver and measure the most innovative advertising experiences on any device and media outlet through a single platform.",http://www.linkedin.com/company/innovid_2,,http://twitter.com/innovid,http://www.facebook.com/innovid,"2,007"
