Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Kroger,https://www.crunchbase.com/organization/kroger,http://www.kroger.com,"Grocery, Logistics, Retail","Commerce and Shopping, Food and Beverage, Transportation","Kroger distributes and merchandises food, pharmacy, health and personal care items, seasonal merchandise, and related products and services.","Kroger is a grocery retailer based in Cincinnati, Ohio. The Kroger Co. spans many states with store formats that include grocery and multi-department stores, convenience stores, and mall jewelry stores. They operate under nearly two dozen banners, all of which share the same belief in building strong local ties and brand loyalty with their customers.",https://www.linkedin.com/company/kroger,,https://twitter.com/Kroger,https://www.facebook.com/Kroger,353
Zero Grocery,https://www.crunchbase.com/organization/zero-grocery,http://www.zerogrocery.com,"Consumer Goods, Delivery Service, Grocery, Waste Management","Consumer Goods, Food and Beverage, Sustainability, Transportation",Zero Grocery provides a convenient zero-waste grocery delivery service.,Zero Grocery provides a convenient zero-waste grocery delivery service. Zero Grocery's mission is to remove single-use plastics from the food system so customers will receive groceries in reusable containers.,https://www.linkedin.com/company/zeroshopco/,,https://twitter.com/zerogrocery_,,644
Weee!,https://www.crunchbase.com/organization/weee,http://www.sayweee.com/en,"E-Commerce, Grocery, Local, Mobile","Commerce and Shopping, Food and Beverage, Mobile, Sales and Marketing",Weee! is a California-based online grocery delivery platform that offers Asian specialty products and everyday staples.,"Weee is a Fremont, California-based tech startup that offers an online grocery site and app for Asian specialty products and staples. The company specializes in the fields of eCommerce, grocery delivery, social commerce, retail, and Asian grocery.",https://www.linkedin.com/company/weee-/about,,https://www.twitter.com/isayweee,https://www.facebook.com/sayweee,674
Thrive Market,https://www.crunchbase.com/organization/thrive-market,https://thrivemarket.com/,"Beauty, E-Commerce, Grocery, Health Care, Retail, Shopping","Commerce and Shopping, Consumer Goods, Food and Beverage, Health Care","Founded in 2014, Thrive Market is a mission driven online marketplace delivering high-quality, healthy products at member-only prices.","Thrive Market was founded in 2014 with a mission to make healthy living easy and affordable for everyone. As an online, membership-based market, we deliver the highest quality, healthy and sustainable products at member-only prices, while matching every paid membership with a free one for someone in need. Thrive Market carries over 5,000 organic and non-GMO products, and offers 70+ filters and values, allowing you to shop by diet and lifestyle. Over the last 4 years, Thrive Gives has raised over $3.5M to fund food access and environmental sustainability causes. In March 2020, Thrive Market launched a COVID-19 Relief Fund, To date, raising over $1M and supporting over 30,000 families affected by the pandemic.",https://www.linkedin.com/company/thrivemarket,,https://twitter.com/THRIVEmkt,https://www.facebook.com/thrivemkt,791
Fetch Rewards,https://www.crunchbase.com/organization/fetch-rewards,http://www.fetchrewards.com/,"E-Commerce, Grocery, Loyalty Programs, Mobile Apps, Shopping","Apps, Commerce and Shopping, Food and Beverage, Mobile, Sales and Marketing, Software",Fetch Rewards is a mobile shopping platform that rewards shoppers for buying the brands they love.,"Fetch Rewards is a mobile shopping platform that rewards shoppers for buying the brands they love. The Fetch Rewards app gives users the easiest way to save on everyday purchases by simply scanning their receipt. For our brand partners, the platform allows them to understand a 360 degree view of shopping habits, and to meaningfully reward a customer's individual loyalty.",https://www.linkedin.com/company/3119710,,http://twitter.com/fetchrewards,http://www.facebook.com/FetchRewards,990
Instacart,https://www.crunchbase.com/organization/instacart,https://www.instacart.com,"Delivery, Delivery Service, E-Commerce, Grocery, Same Day Delivery","Administrative Services, Commerce and Shopping, Food and Beverage, Transportation",Instacart specializes in delivering groceries and home essentials from a variety of local stores.,"Instacart is a grocery delivery startup that delivers in as short as an hour. It focuses on delivering groceries and home essentials, Instacart already has over 500,000 items from local stores in its catalog. Customers can choose from a variety of local stores including Safeway, Whole Foods, Super Fresh, Harris Teeter, Shaw's, Mariano's, Jewel-Osco, Stanley's, and Costco. Customers can mix items from multiple stores into one order. Instacart has raised funding from Kleiner Perkins Caufield & Byers, Andreessen Horowitz, Sequoia Capital, Y Combinator, Khosla Ventures, and Canaan Partners besides other participants. Instacart was founded in 2012 and headquartered in San Francisco in California.",http://www.linkedin.com/company/instacart,Unicorn,https://twitter.com/Instacart,http://www.facebook.com/Instacart,"1,293"
Imperfect Foods,https://www.crunchbase.com/organization/imperfect-produce,https://www.imperfectfoods.com/,"Consumer, Delivery Service, E-Commerce, Food and Beverage, Food Delivery, Grocery","Commerce and Shopping, Food and Beverage, Other, Transportation",Imperfect Foods delivers groceries with a mission to eliminate food waste and build a better food system for everyone.,"Imperfect Foods provides grocery delivery service rescuing and redistributing food across multiple grocery categories – including produce, shelf-stable goods, dairy, meat and seafood. Imperfect Foods has remained hyper focused on eliminating food waste and supporting farmers and producers when it comes to excess and imperfect products. The company now rescues and redistributes food across multiple grocery categories - including produce, shelf-stable goods, dairy, meat and seafood. Its performance and agility during the COVID-19 pandemic illustrates that this mission-driven model is poised for success in the long term. -",https://www.linkedin.com/company/imperfect-foods-spc/,,,https://www.facebook.com/imperfectfoods,"1,496"
GrubMarket,https://www.crunchbase.com/organization/grubmarket-inc,https://www.grubmarket.com,"E-Commerce, Grocery, Internet, Marketing, Retail Technology","Commerce and Shopping, Food and Beverage, Hardware, Internet Services, Sales and Marketing, Software",GrubMarket supplies local fresh food online with affordable prices and convenient delivery.,"GrubMarket develops a website where sellers can offer foods and other items at wholesale prices to customers. It offers products such as organic foods, vegetables, gluten-free foods, snacks, drinks, pantries, home goods, health and beauty products, baby and kids' products, pets, non-GMO foods, paleo foods, cholesterol-free, and no trans-fat foods. GrubMarket also offers foods from local farms, fisheries, commercial kitchens, certified home kitchens, and restaurants. Mike Xu founded GrubMarket in 2014, with its headquarters in Newark in California with an additional office in San Francisco in California.",https://www.linkedin.com/company/grubmarket-inc-,,https://twitter.com/grubmarket,https://www.facebook.com/grubmarket/,"2,063"
Boxed,https://www.crunchbase.com/organization/boxed,http://www.boxed.com,"Apps, E-Commerce, Grocery, Mobile, Shopping, Wholesale","Apps, Commerce and Shopping, Food and Beverage, Mobile, Software","Boxed is an e-commerce retailer that offers its customers the smartest way to stock up and save for home, for work, for life.","Founded in 2013, Boxed has taken the best elements of the wholesale shopping experience and folded it into one innovative, cutting edge mobile app that allows consumers direct-to-their-door access to all of their favorite warehouse club products, without membership fees. Boxed brings convenience and savings to on-the-go consumers who don’t have the time, means or patience to shop at a brick and mortar big box club. The elegantly designed iPhone and Android app offers bulk-sized goods at pint-sized prices, and is completely free to download and use. Boxed does all the heavy lifting, delivering a rich array of wholesale items directly to doorsteps across the continental United States in two days or less. The brand’s innovative discovery-based design recreates the fun of the treasure hunt experience with a curated selection of everyday essentials that consumers love including household staples, health and beauty supplies, office pantry and grocery items, and a wide variety of organic and green products.",http://www.linkedin.com/company/boxed-com,Emerging Unicorn,https://twitter.com/BoxedWholesale,http://www.facebook.com/BoxedWholesale,"2,084"
Good Eggs,https://www.crunchbase.com/organization/good-eggs,https://www.goodeggs.com,"Delivery, E-Commerce, Fast-Moving Consumer Goods, Grocery","Administrative Services, Commerce and Shopping, Consumer Goods, Food and Beverage, Real Estate","Good Eggs is a pioneering online grocer and meal kit delivery service with a mission to reinvent your food system, for good. ","Good Eggs is a pioneering online grocer and meal kit delivery service with a mission to reinvent your food system, for good. The Bay-Area based company is the only service that combines absurdly fresh local produce, meal kits for every occasion, grocery staples, and wine, beer and spirits to wash it down. With same-day delivery across the Bay Area, Good Eggs is the simplest way to feed your family well all week long.  Over the past two years, Good Eggs has added over 1,000 items across categories to its marketplace and expanded its delivery footprint throughout SF, East Bay, Marin, and the South Bay and Peninsula. As the company has grown, they remain steadfast in their mission. Over 70% of Good Eggs’ assortment is local, and every item carried must meet a strict list of sourcing standards. In addition to good food, the company provides good jobs. Every operations team member is benefited, carries equity, and is paid 20 to 50% above industry average.",http://www.linkedin.com/company/good-eggs,,http://twitter.com/goodeggs,http://www.facebook.com/GoodEggs,"2,559"
