Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Pluralsight,https://www.crunchbase.com/organization/pluralsight,http://www.pluralsight.com,"E-Learning, EdTech, Education, Enterprise, Information Technology, Software","Education, Information Technology, Other, Software","Pluralsight is a technology learning platform for software developers, IT admins, and creative professionals.","Pluralsight is a technology learning platform for software developers, IT admins, and creative professionals. With 3,000+ courses and new ones added daily, Pluralsight serves as a career catalyst for customers in more than 150 countries and provides tech-savvy businesses with training on the three key areas they need to thrive. The platform expert courses, skill assessments, and one-of-a-kind analytics make it possible to align the organization around digital initiatives, upskill people into modern tech roles, and build adaptable teams that deliver faster.  It was founded in 2004 and is headquartered in Farmington, Utah.",http://www.linkedin.com/company/pluralsight,Exited Unicorn,http://twitter.com/PluralSight,http://www.facebook.com/pluralsight,70
Springboard,https://www.crunchbase.com/organization/sliderule,https://www.springboard.com/,"E-Learning, EdTech, Education","Education, Software",Springboard is an e-learning platform that prepares people for modern careers through cutting edge curriculum and mentor guidance.,"Springboard is an online learning platform that prepares students for the tech industry’s most sought after careers. With expert mentorship from top professionals, a bleeding-edge curriculum, and a network of support from day one, they make sure students have everything they need to excel in their program and in their next job. The platform one-size-fits-one approach is made for working professionals who are ready to level-up or make a major career shift. And our tuition back guarantee means students can take charge and invest in themselves. Springboard data science career track comes with a job guarantee, ensuring students secure a job within six months of graduation or get a full refund. The platform's self-paced courses offer students the opportunity to develop job-ready skills that they display in an industry-worthy capstone or portfolio projects.",https://www.linkedin.com/company/springboard,,http://twitter.com/springboard,http://www.facebook.com/MySlideRule,684
ExecOnline,https://www.crunchbase.com/organization/execonline,https://www.execonline.com/,"E-Learning, EdTech, Education","Education, Software",ExecOnline is a provider of school-certified online executive education programs and executive training solutions.,"ExecOnline is a provider of school-certified online executive education programs used to transform how companies deliver professional development to their executives. The company partners with elite business schools to enable executives at the world’s largest companies to master and apply critical insights and practical solutions.  ExecOnline breaks the compromise between cost and quality through a dynamic and interactive online learning environment that scales across the enterprise and fosters collaborative skill-building.   ExecOnline provides school partners with everything they need to successfully develop online executive education programs including a customizable learning management system, online instructional design, and full sales and marketing capabilities.",https://www.linkedin.com/company/execonline/,,https://twitter.com/execonlineinc,https://www.facebook.com/pages/ExecOnline/1831158956906409,714
Udacity,https://www.crunchbase.com/organization/udacity,https://www.udacity.com,"Artificial Intelligence, E-Learning, EdTech, Education, Internet, Machine Learning, Robotics, Software, Training","Artificial Intelligence, Data and Analytics, Education, Hardware, Internet Services, Science and Engineering, Software","Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.","Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector, as well as data science, autonomous systems, and cloud computing. It offers nanodegree programs such as front-end and senior web developer, full-stack web developer, data analyst, machine learning engineer, iOS and Android developer, programming introduction, tech entrepreneur, iOS app development beginning, Ruby beginning, and 2D mobile game developer courses. Udacity's online courses teach the skills that industry employers need and deliver credentials endorsed by employers. The company aims to democratize education making it affordable and accessible to get the jobs they desire to improve their lives.  David Stavens, Mike Sokolsky, and Sebastian Thrun founded it in 2011, with its headquarters in Mountain View in California.",https://www.linkedin.com/school/udacity,Unicorn,https://twitter.com/udacity,https://www.facebook.com/Udacity,919
Skillshare,https://www.crunchbase.com/organization/skillshare,http://skillshare.com,"E-Learning, EdTech, Education, Peer to Peer","Education, Other, Software",Skillshare is an ed-tech platform offering online learning for creative fields.,"Skillshare is an online learning community with thousands of inspiring classes for creative and curious people, on topics including illustration, design, photography, video, freelancing, and more. The company's community offers classes on any type of skill, from baking cupcakes to raising startup capital to varying fields in design, business, and technology, enabling members to harness their creative power and learn skills in an enhanced way.  The company was founded in 2010 and is headquartered in New York.",https://www.linkedin.com/company/skillshare-com,,http://twitter.com/skillshare,http://www.facebook.com/skillshare,979
WorkRamp,https://www.crunchbase.com/organization/workramp,https://www.workramp.com,"Corporate Training, E-Learning, SaaS, Software","Education, Software",WorkRamp is an enterprise learning platform that helps organizations build their own training materials.,"WorkRamp is an enterprise learning platform for employee training and customer education at top companies like Zoom, Box, and Workiva. The company is committed to transforming the future of work by delivering an unparalleled, digital learning experience for employees and customers. With WorkRamp, users feel empowered to learn, collaborate, and develop their skills in a digital workspace that bridges the physical and virtual training.   The company is building a dynamic learning platform that focuses on delivering training based on driving business outcomes. Its platform allows companies to manage role-specific training and increase team performance, while also supporting larger HR and compliance needs. We’ve developed training products to address the specific learning needs for sales, support, and customer education teams–that in turn, helps bolster employee productivity, increase company revenue, and drive customer loyalty. WorkRamp was founded in 2015 and based in San Francisco, California.",https://www.linkedin.com/company/7166427,,https://twitter.com/workramp,https://www.facebook.com/workramp/,"1,022"
WalkMe,https://www.crunchbase.com/organization/walkme,http://www.walkme.com/,"Analytics, E-Learning, Guides, Machine Learning, Mobile, Product Design, Product Management, SaaS, Software, UX Design","Artificial Intelligence, Data and Analytics, Design, Education, Media and Entertainment, Mobile, Other, Software","WalkMe’s pioneering Digital Adoption Platform provides software users with guidance, engagement, insights and automation.","designs digital adoption platform that simplifies the user experience. Its digital adoption platform artificial intelligence, machine learning, analytics, and automation to anticipate users' needs and provides help exactly when and where they need it, enabling users to complete their tasks easily.",http://www.linkedin.com/company/walkme/,Unicorn,http://twitter.com/WalkMeInc,http://www.facebook.com/WalkMe/,"1,025"
Bigtincan,https://www.crunchbase.com/organization/bigtincan,http://www.bigtincan.com,"Analytics, Artificial Intelligence, Desktop Apps, E-Learning, Machine Learning, Mobile Apps, Productivity Tools, Sales Automation, Software, Training","Apps, Artificial Intelligence, Data and Analytics, Education, Information Technology, Mobile, Other, Sales and Marketing, Science and Engineering, Software","Sell Smarter, Learn Faster, and Win More with the industry’s leading AI-powered Sales Enablement Automation Platform.","Bigtincan (ASX:BTH)  helps sales and service teams increase win rates and customer satisfaction.  The company’s mobile, AI-powered sales enablement automation platform features the industry’s premier user experience that empowers reps to more effectively engage with customers and prospects and encourages team-wide adoption.  Leading brands including AT&T, ThermoFisher, Merck, ANZ Bank and others rely on Bigtincan to enhance sales productivity at every customer interaction.  With global sales and marketing headquartered in Boston, Bigtincan also has offices across EMEA, Australia and Asia.   ",https://www.linkedin.com/company/275237/,,http://twitter.com/bigtincan,http://www.facebook.com/bigtincan,"1,194"
Cornerstone OnDemand,https://www.crunchbase.com/organization/cornerstone-ondemand,http://www.cornerstoneondemand.com,"E-Learning, Enterprise Software, SaaS, Social Network, Software","Education, Internet Services, Software",Cornerstone OnDemand provides cloud-based talent management software solutions.,"Cornerstone OnDemand is a leading global provider of a comprehensive learning and talent management solution delivered as Software-as-a-Service (SaaS).  The company enables organizations to meet the challenges they face in empowering their people and maximizing the productivity of their human capital.  Cornerstone currently empowers over 19.1 million users across 191 countries and in 42 languages. Their integrated cloud-based software offering consists of Cornerstone Onboarding, Cornerstone Recruiting, Cornerstone Performance, Cornerstone Learning, Cornerstone Connect, Cornerstone Succession, Cornerstone Compensation and Cornerstone Extended Enterprise. Their clients use their solution to develop employees throughout their careers, engage all employees effectively, improve business execution, cultivate future leaders, and integrate with their external networks of customers, vendors and distributors. The company has more than 2,100 clients, including multi-national corporations, large domestic enterprises, mid-market companies, state and local public sector organizations, higher education institutions and non-profit entities.  Clients include BJC HealthCare, Flextronics, Kelly Services, Pearson, Starwood Hotels & Resorts Worldwide, Teach for America and Virgin Media Limited, among many others.  Cornerstone supports multiple client deployments of more than 150,000 users, including one client with more than 700,000 users.     Cornerstone is headquartered in Santa Monica, California, with offices in Auckland, Hong Kong, London, Mumbai, Munich, Madrid, Paris, Rome, Sydney and Tel Aviv.",http://www.linkedin.com/company/cornerstone-ondemand,Crunchbase Venture Program,http://twitter.com/cornerstoneinc,http://www.facebook.com/csodcommunity,"1,197"
Aceable,https://www.crunchbase.com/organization/aceable,https://www.aceable.com,"E-Learning, EdTech, Mobile, Real Estate, Training","Education, Mobile, Real Estate, Software",Aceable is an online education startup that offers state-approved drivers education and real estate courses.,"Aceable is an education startup that offers state-approved online drivers education and real estate courses. Aceable's online courses are designed to help people succeed and achieve their goals. From its origins in driver's ed--where it now has 70% of the Texas market--to the meteoric growth of real estate training, Aceable aims to empower tens of millions of people with the high-stakes education they need to accomplish their life goals and is consistently on city-wide lists named one of the best places to work (Austin American Statesman and Austin Business Journal). Aceable is proud of its roots in the Capital Factory accelerator program and to have received backing from great funds like Sageview Capital, Silverton Partners, Floodgate Fund, Next Coast Venture Partners, Wildcat VC, Nextgen Partners, the Capital Factory Fund, and now HGGC. The company was founded in 2012 by Blake Garrett and is based in Austin, Texas, United States.",https://www.linkedin.com/company/aceable,,http://twitter.com/aceable,http://www.facebook.com/Aceable,"1,262"
