Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
MGM Resorts International,https://www.crunchbase.com/organization/mgm-resorts-international,http://mgmresorts.com,"Gambling, Hospitality, Resorts","Gaming, Travel and Tourism","MGM Resorts International is a hospitality firm that operates casinos, restaurants, and recreational resorts.","MGM Resorts International develops, builds and operates unique destination resorts designed to provide a total resort experience, including first-class accommodations and dining, world-class entertainment, state-of-the-art meeting and convention facilities, and high-quality retail and gaming experiences.",http://www.linkedin.com/company/1075291,,,http://www.facebook.com/mgmresorts,669
SevenRooms,https://www.crunchbase.com/organization/seven-rooms,http://www.sevenrooms.com,"Hospitality, Hotel, Reservations, Restaurants, SaaS","Events, Food and Beverage, Media and Entertainment, Software, Travel and Tourism","SevenRooms is an operations, marketing, and guest engagement platform for restaurants, nightclubs, hotels, and entertainment venues.","SevenRooms is a fully-integrated, data-driven guest experience platform that helps hospitality operators unlock the full revenue potential of their data. From neighborhood restaurants and bars to international, multi-concept hospitality groups, the end-to-end platform enables operators to build direct guest relationships, deliver exceptional experiences, and, ultimately, bring guests back. SevenRooms has dining, hotel F&B, nightlife and entertainment clients globally, including: Bloomin’ Brands, MGM Resorts International, Mandarin Oriental Hotel Group, The Cosmopolitan of Las Vegas, Jumeirah Group, Wolfgang Puck, Michael Mina, sbe, LDV Hospitality, Zuma, Altamarea Group, Major Food Group, AELTC, Chase Hospitality Group, D&D London, Corbin & King, Live Nation and Topgolf.",https://www.linkedin.com/company/sevenrooms/,,https://twitter.com/SevenRooms,https://www.facebook.com/SevenRooms/,"2,903"
Kasa Living,https://www.crunchbase.com/organization/kasa-living,http://www.kasa.com,"Hospitality, Hotel, Travel",Travel and Tourism,Kasa Living is a hospitality company that offers flexible accommodations for business and leisure travelers.,"Kasa Living is a real estate company that focuses on building a global accommodations brand. The company partners with owners of multifamily and boutique hospitality properties, transforming underutilized real estate into professionally managed units that cater to business and leisure travelers. Kasa Living was founded in 2016 and headquartered in San Francisco, California.",https://www.linkedin.com/company/kasaliving,,,,"3,434"
Domio,https://www.crunchbase.com/organization/domio-inc,http://www.staydomio.com/,"Hospitality, Hotel, Property Management, Real Estate, Sharing Economy, Travel","Other, Real Estate, Travel and Tourism",Domio is building branded apartment-hotels with a focus on group travelers.,"Domio is revolutionizing the group travel experience in order to connect the world through travel. Domio's curated end-to-end guest experience, driven by technology, data, and human connections every step of the way, is what allows it to craft the most delightful experiences for its guests. Whether it’s in one of Domio's upscale apartment-hotels in New Orleans, penthouses in Nashville, or ocean-side homes in San Diego, guests can expect a distinguished level of style and comfort, round-the-clock concierge services at their disposal, and ample space to connect with friends and family. With Domio, guests can feel at home anywhere in the world.",https://www.linkedin.com/company/11237948/,,https://twitter.com/staydomio,https://www.facebook.com/staydomio/,"4,324"
Harri,https://www.crunchbase.com/organization/harri,http://www.harri.com,"Hospitality, Hotel, Human Resources, Information Technology, Recruiting, Restaurants, Software","Administrative Services, Food and Beverage, Information Technology, Professional Services, Software, Travel and Tourism",Verticalized HCM and Workforce Management platform helping service-driven industries drive their business performance through their people.,"Harri is a HCM and Workforce Management platform that helps service-driven businesses build, manage, and engage their teams. Interconnecting the entire employee journey, the Workforce Operating System provides integrated solutions for talent acquisition, onboarding, hiring, employment branding, applicant tracking, scheduling, time & attendance, communications, compliance, analytics and much more. With 300+ enterprise customers, Harri is a best-in-class verticalized platform helping organizations to solve labor-related challenges and drive optimal business performance across the globe.",https://www.linkedin.com/company/harri-com/,,https://twitter.com/Harri,https://www.facebook.com/harriglobal,"5,118"
Chowbotics,https://www.crunchbase.com/organization/casabots,http://www.chowbotics.com,"Food and Beverage, Hotel, Restaurants","Food and Beverage, Travel and Tourism",Chowbotics uses robots to solve several problems in food service including compromised cleanliness and inefficiency.,"Chowbotics uses robots to solve several problems in food service including compromised cleanliness and inefficiency. It is targeting cafeterias, restaurants and hotels. Its first robot, Sally, offers fully-customized, fresh and healthy salads. Sally's proprietary technology dispenses measured quantities of more than 20 ingredients – refreshed daily – to create a ready-to-eat meal any time of day. The technology, with several patents pending, is also applicable to other cuisines, such as Mexican and Indian, and respective robots will follow. Founded in 2014, Chowbotics is headquartered in San Jose, California, United States.",https://www.linkedin.com/company/chowbotics/about/,,https://twitter.com/chowbotics,https://www.facebook.com/chowbotics/,"5,719"
Life House,https://www.crunchbase.com/organization/the-life-house-group,https://www.lifehousehotels.com/,"Hospitality, Hotel, Lifestyle, Software, Travel","Community and Lifestyle, Software, Travel and Tourism","Life House is creating a network of lifestyle hotels to make travel more meaningful and affordable, through a software-enabled platform.","Life House is creating a network of lifestyle hotels that are more experiential and more affordable through a powerful software-enabled brand & management platform. Our proprietary software materially reduces the costs of operating a hotel and increases revenues, delivering superior returns to our hotel owners (we do not own or invest in real estate).",https://www.linkedin.com/company/life-house-hotels,,,,"6,786"
The Guild,https://www.crunchbase.com/organization/guild-lodging,http://www.theguild.co,"Hospitality, Hotel, Real Estate, Travel, Travel Accommodations","Real Estate, Travel and Tourism",The Guild is a hospitality company that turns upscale apartments into tech-enabled hotel suites.,"The Guild turns upscale apartments into tech-enabled hotel suites. With a virtual check-in process and 24-hour text-based concierge, The Guild lets you bypass the front desk and have the ultimate staycation experience wherever you go--with local insights and access, actually livable living spaces, and gourmand-approved kitchens--plus all the pleasures of a boutique hotel. It has apartments in Austin and in Dallas and is looking at Denver, Miami, Boston, Nashville, New Orleans, Seattle, and Chicago next.",https://www.linkedin.com/company/guild-hotels/,,https://twitter.com/theguildco,https://www.facebook.com/139864326439122,"8,323"
Inspirato,https://www.crunchbase.com/organization/inspirato,http://www.inspirato.com,"Lifestyle, Resorts, Travel","Community and Lifestyle, Travel and Tourism","Inspirato is a luxury hospitality company that provides its 10,000+ members access to hundreds of curated vacation options.","Launched in 2011, Inspirato is a leading luxury hospitality company that provides its 10,000+ members access to hundreds of curated vacation options, delivered through an innovative club model to ensure the service and certainty that affluent customers demand. Inspirato¹s portfolio of residences are managed and controlled for the exclusive use of members. Additionally, the collection includes villas with access to world-class amenities at top resorts, premium hotel accommodations priced at verifiable savings and customized experiential travel. Every vacation includes personalized recommendations, expert advance planning and access to on-site concierge services, all designed to foster ongoing relationships and create memorable experiences.    In March of 2013, Inspirato announced a strategic partnership with American Express under the name ""Inspirato with American Express"" reflecting the two companies¹ shared values of luxury, service and reliability. Inspirato® is owned by Inspirato LLC. All products and services offered by Inspirato® are provided solely by Inspirato LLC or its agents and affiliates, and not by the American Express Company or its subsidiaries or affiliates.",https://www.linkedin.com/company/inspirato/,,https://twitter.com/inspirato,https://www.facebook.com/Inspirato/,"8,564"
Hilton Worldwide,https://www.crunchbase.com/organization/hilton-worldwide,https://www.hilton.com/en/corporate/,"Hospitality, Leisure, Resorts","Community and Lifestyle, Travel and Tourism","Hilton Worldwide is a hospitality company, owns luxury and full-service hotels and resorts, and focused-service hotels.","Hilton Worldwide is a global hospitality company that operates a network of luxury and full-service hotels and resorts, extended-stay suites, and focused-service hotels. The company owns over 4,400 hotels, resorts, and timeshare properties comprising more than 730,000 rooms in 97 countries and territories. Its offerings include Hilton Hotels & Resorts, Waldorf Astoria Hotels & Resorts, Conrad Hotels & Resorts, Canopy by Hilton, Curio - A Collection by Hilton, DoubleTree by Hilton, Embassy Suites Hotels, Hilton Garden Inn, Hampton Hotels, Homewood Suites by Hilton, Home2 Suites by Hilton, and Hilton Grand Vacations. The company also manages an award-winning customer loyalty program, Hilton HHonors. Hilton Worldwide was founded in 1919 and is headquartered in Virginia, United States with offices in Tennessee, United States; Watford, United Kingdom; Dubai, United Arab Emirates; and Singapore.",https://www.linkedin.com/company/hilton/,,https://twitter.com/hiltonhotels,http://www.facebook.com/HiltonWorldwide,"9,400"
