Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
Asymmetrica Labs,https://www.crunchbase.com/organization/asymmetrica-labs-inc,http://asym.co,"Developer APIs, Enterprise Software, Reading Apps","Apps, Software","Asym Spacing is a word-spacing format for web & print that significantly increases reading enjoyment, ad click-throughs, and conversions.","Asymmetrica has created a text format that meaningfully improves reading comprehension. Our software platform, Asym, precisely adjusts the spaces between words.  Our vision is to improve global literacy one reader and business at a time. For businesses, Asym provides a 5-32% lift across retail revenue, conversion funnels, web engagement, advertisement click-through rates, direct mail, and other content by improving how readers' brains render text. These metrics are the cornerstones of online revenue generation. Asym is a cognitive technology that systematically improves conversion and makes the story and message of online brands stick. Asymmetrica is poised to become a large, high-margin company by generating real revenue for a broad range of customers. Asymmetrica was founded by Chris Nicholas and Ken Brownfield within HVF Labs, Max Levchin's innovation lab and investment firm. Chris has a PhD in neuroscience and is an experienced data scientist, published expert in molecular genetics and word & letter perception, product manager, and co-inventor of five typesetting patents including fixed-layout ebooks. Starting in 1999, Ken built out PayPal's initial production infrastructure and continued with architectural roles at PayPal and eBay. He subsequently worked with Max at MRL Ventures, Slide, and Google, and most recently managed YouTube's website infrastructure. Our foundational technology is fast, scalable, and directly combats modern distractions and low literacy – two real and underestimated problems for any content provider.",https://www.linkedin.com/company/3648743,,https://twitter.com/AsymmetricaLabs,https://www.facebook.com/AsymmetricaLabs?_rdr=p
BeeLine Reader,https://www.crunchbase.com/organization/beeline-3,http://www.beelinereader.com/,"Assistive Technology, Ediscovery, EdTech, Education, Legal, Productivity Tools, Reading Apps, Software","Apps, Education, Health Care, Internet Services, Professional Services, Software",BeeLine Reader develops digital reading tools to help students learn to read faster.,"BeeLine Reader makes reading faster and easier by using a color gradient that guides the eyes from the end of one line to the beginning of the next. With BeeLine Reader, students can finish work faster and with less eyestrain. The company's goal is to make those hours more efficient and more enjoyable. BeeLine Reader was founded on 2011 and is based in Woodside, California.",https://www.linkedin.com/company/beelinereader/,,https://twitter.com/BeeLineReader,https://www.facebook.com/BeeLine.Reader
BEGiN,https://www.crunchbase.com/organization/beginlearning,https://www.beginlearning.co/,"Apps, E-Learning, EdTech, Education, iOS, Reading Apps","Apps, Education, Mobile, Platforms, Software",BEGiN is the award-winning education technology company that creates learning products to bring children the highest quality education.,"BEGiN is the award-winning education technology company that creates engaging and effective learning products to bring the highest quality education to young children everywhere. Their library of interactive stories helps their child fall in love with reading while building critical skills.  BEGiN’s investors and partners include some of the most recognized and well-loved children’s brands including Sesame Workshop, LEGO Ventures, Gymboree Play and Music, and Fisher-Price. BEGiN was co-founded by Neal Shenoy, Noelle Millholt, and Stephanie Dua and is one of Crain’s 100 Best Places to Work in New York City.",,,,
Book+Main,https://www.crunchbase.com/organization/book-main,http://bookandmain.com,"Apps, Communities, Reading Apps, Social Media","Apps, Community and Lifestyle, Internet Services, Media and Entertainment, Software",Where Big Data meets Romance. Literary matchmaker for authors and readers.,"Book+Main is an online platform that uses machine learning to connect authors and readers in romance—the #1 grossing genre. A sales and marketing tool for authors, a discovery tool for readers, and a robust community that connects the two, Book+Main allows readers to search over 350 keywords {subgenres and tropes} to discover ‘Bites’, excerpts specifically chosen by the author to connect readers to their words in a beautiful, content-focused space. Since launching in November ’17, Book+Main has welcomed members from over 150 countries worldwide.",https://www.linkedin.com/company/bookandmain/,,https://www.twitter.com/bookandmain/,https://www.facebook.com/bookandmain/
Booklamp,https://www.crunchbase.com/organization/booklamp,http://booklamp.org,"Content Discovery, Education, Reading Apps, Software","Apps, Content and Publishing, Education, Media and Entertainment, Software",Booklamp provides users with reading suggestions based on a detailed analysis of the writing styles of their preferred authors.,"Booklamp.org is a system for matching readers to books through an analysis of writing styles. The technology BookLamp alows you to find books that are written with a similar tone, tense, perspective, action level, description level and dialogue level.",,,http://twitter.com/booklamp,http://www.facebook.com/BookLamp
BookShout,https://www.crunchbase.com/organization/bookshout-2,https://bookshout.com/,"Content, EBooks, Internet, Publishing, Reading Apps, Software","Apps, Content and Publishing, Internet Services, Media and Entertainment, Software","BookShout is an e-book distribution and reading platform that provides content from publishers for bulk, promotional, and direct sales.","BookShout is an e-book distribution and reading platform that provides content from publishers for bulk, promotional, and direct sales. Its cloud-based reading platform provides an easy-to-use experience for both mobile and web readers. Its application provides both standard features such as bookmarking, notes, and many new innovative ones such as speed-reading and daily progress. BookShout was launched in 2010 and is based in Plano, Texas.",https://www.linkedin.com/company/bookshout,,https://twitter.com/BookShout,https://facebook.com/BookShout
Bubblin Superbooks,https://www.crunchbase.com/organization/bubblin-flipbooks,https://bubbl.in,"Communities, EBooks, Reading Apps","Apps, Community and Lifestyle, Content and Publishing, Media and Entertainment, Software",Bubblin is an online café for books.,"Bubblin is an online café for books.  A silent and cozy place to hang out and read great books. By silent we mean no pesky advertisements, no unsolicited comments, no promotional opinions or overarching reviews and only very limited social networking: just about enough to share interests with other like-minded book lovers privately. Rediscover yourself in the quiet company of books. Learn more about us:  <a href=""https://bubbl.in/about"">https://bubbl.in/about </a>",,,https://twitter.com/bubblinapp,https://www.facebook.com/bubblinsuperbooks/
Charmtech Labs,https://www.crunchbase.com/organization/charmtech-labs,https://www.captivoice.com,"Audio, Reading Apps","Apps, Media and Entertainment, Music and Audio, Software",Charmtech Labs was founded in 2010 by a group of CS professors and Ph.D. students who wanted to make a difference in the real world.,"Charmtech Labs LLC was founded in 2010 by a group of computer science professors and Ph.D. students who wanted to go beyond academic research and make a difference in the real world. Armed with years of cutting-edge research and software development experience, they set out to remove barriers between people and information. Initially inspired by helping people with vision impairments to overcome information accessibility problems, they are now bringing their screen-reading technology to the mainstream market. Their flagship product, Capti Narrator, revolutionizes the way people consume digital content.",https://www.linkedin.com/company/charmtech-labs-llc,,https://twitter.com/captinarrator,https://www.facebook.com/223708031015524
Comixology,https://www.crunchbase.com/organization/comixology,http://www.comixology.com,"Cloud Data Services, Comics, Digital Entertainment, Digital Media, Reading Apps","Apps, Consumer Goods, Information Technology, Internet Services, Media and Entertainment, Software","Comixology delivers a cloud-based digital comics platform that enables users to discover, buy, and read comics.","Founded in 2007 with the mission of bringing comics to people everywhere, comiXology — in just five short years — has revolutionized the comic book and graphic novel world. From creating the industry leading platform for digital comics to tools and services for brick and mortar retailers, comiXology has lead the charge in exposing new audiences to the rich history and culture of comic books.  With the development of the Comics by comiXology digital comics platform — available across iPhone, iPad, Android, Kindle Fire and the Web — comiXology provides the easiest way worldwide for people to enjoy comics at just the click of a button! Regularly ranking as the top grossing iPad app in the entire iTunes App Store, Comics by comiXology was recently selected as a preloaded app on Amazon’s Kindle Fire.  Providing digital comics across multiple platforms, comiXology will not stop until everyone on the face of the earth has been turned into a comic book fan. For more information, please visit www.comixology.com.",https://www.linkedin.com/company/1379932,,http://twitter.com/comixology,https://www.facebook.com/comixology
Epic Magazine,https://www.crunchbase.com/organization/epic-magazine,http://epicmagazine.com,"Education, Publishing, Reading Apps","Apps, Content and Publishing, Education, Media and Entertainment, Software",Epic Magazine brings you extraordinary true stories.,"Epic writers travel the world searching for encounters with the unknown. Wartime romance, unlikely savants, deranged detectives, gentlemen thieves, and love struck killers: stories that tap into the thrill of being alive. Epic publishes extraordinary true stories that get noticed. More than 25 of our articles have been optioned by Hollywood, including Argo, which won the Academy Award for Best Picture, and Fox Film Studios has signed a first look deal with us.",https://www.linkedin.com/company/3554952,,https://twitter.com/epic,https://www.facebook.com/epicmagazinenow
feedly,https://www.crunchbase.com/organization/devhd,http://www.feedly.com,"Content, EBooks, Reading Apps","Apps, Content and Publishing, Media and Entertainment, Software",Feedly offers an app that enables readers to connect with the websites and sources about the things they are most passionate.,"Our mission is to connect professionals to the content they need to get ahead and become better at what they do. We believe that reading opens doors, whether that’s performing better at work, mastering a craft or learning something new.  Feedly is the app that connects curious minds with the blogs, websites and sources of content they are most passionate about.  Feedly Cloud is the infrastructure that powers feedly, and an ecosystem of 200+ reading apps (http://feedly.com/apps.html). feedly Cloud is two-sided market place which connects publishers to intent readers.",,,https://www.twitter.com/feedly,
HOMER,https://www.crunchbase.com/organization/learn-with-homer,http://learnwithhomer.com,"Apps, E-Learning, EdTech, Education, iOS, Mobile, Reading Apps","Apps, Education, Mobile, Platforms, Software",HOMER is a developer of an educational application used to offer a learn-to-read program for kids.,"HOMER is a developer of an educational application used to offer a learn-to-read program for kids. The company offers personalized, fun, and proven to learn products for kids ages 2-8 to help build confidence, mastery, and a love of learning. Its learning experts have crafted the HOMER Method to support parents in delivering knowledge, personal development, and motivation, a recipe for growing, enthusiastic, lifelong learners. HOMER combines a child’s passions and current reading level to create a personalized learn-to-read plan on their Android phone or tablet. It includes thousands of lessons and games on the alphabet, phonics, sight words, and more. HOMER was founded in 2013 and is based in New York, NY, USA.",https://www.linkedin.com/company/homerlearning-inc-/,,http://twitter.com/learnwithhomer,http://www.facebook.com/learnwithhomer
Inky Technologies,https://www.crunchbase.com/organization/inky-technologies,,"Consumer, Mobile Apps, Reading Apps","Apps, Mobile, Other, Software",Inky Technologies is a book recommendations platform.,"Inky is a book recommendation platform.  Founded in 2016, the company is headquartered in Troy, NY.",https://www.linkedin.com/company/inky-technologies/,,https://twitter.com/inkysbookshelf,https://www.facebook.com/Inkysbookshelf/
Instapaper,https://www.crunchbase.com/organization/instapaper,http://www.instapaper.com,"Apps, Reading Apps, Social Bookmarking","Apps, Content and Publishing, Other, Software",Instapaper is a web application that allows users to save online content for future references.,"Instapaper is a web application that allows users to save online content for future references. Instapaper facilitates easy reading of long text content. It is a simple tool for saving web pages to read later on your iPhone, iPad, Android, computer, or Kindle. ",https://www.linkedin.com/company/15615855,,http://twitter.com/instapaper,http://www.facebook.com/instapaperholdings
