Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Bizzabo,https://www.crunchbase.com/organization/bizzabo,https://www.bizzabo.com,"Event Management, Marketing, Meeting Software, SaaS, Software, Ticketing","Events, Media and Entertainment, Messaging and Telecommunications, Sales and Marketing, Software",Bizzabo is a meeting and event planning platform for operating virtual or in-person conferences.,"Bizzabo is a meeting and event planning platform for operating virtual or in-person conferences. Its event success platform unleashes the power of events to create rewarding and impactful experiences for organizers, attendees, sponsors, and speakers and is trusted by brands like HubSpot, Forbes, Uber, Electronic Arts, Siemens, and The Wall Street Journal. The platform charges an annual fee to use its software-as-a-service platform and a per-registration fee. In the past year alone, Bizzabo has been recognized for Crain’s NY Best Places to Work, The Software Report’s Top 50 SaaS CEOs, Gainsight Pulse Product Experience Award, SIIA CODiE Best Event Technology Solution, and MarTech Breakthrough Awards for Best Overall Event Management Platform. The New York, New York-based company was established by Alon Alroy, Boaz Katz, and Eran Ben-Shushan in 2011.",http://www.linkedin.com/company/bizzabo,,http://twitter.com/Bizzabo,http://www.facebook.com/bizzabo,439
Live Nation Entertainment,https://www.crunchbase.com/organization/live-nation-entertainment,https://www.livenationentertainment.com/,"Concerts, Digital Entertainment, Event Management, Event Promotion, Events, Media and Entertainment, Ticketing","Events, Media and Entertainment",Live Nation Entertainment is the live entertainment and eCommerce company.,"Live Nation Entertainment Inc, the world’s live entertainment company, combines several entertainment brands, including Ticketmaster.com, Live Nation Concerts, the Live Nation and Live Nation Productions.   Live Nation began as SFX Entertainment, a part of SFX Broadcasting, and then became a division of Clear Channel Communications. It became its own entity in 2005 with Michael Rapino as President and CEO. Since then, Live Nation has provided live entertainment services to fans in over 40 countries around the world through promotion and hundreds of entertainment venues. Live Nation partnered with Ticketmaster, the global leader in live event ticketing, in 2010 to form Live Nation Entertainment. This relationship has allowed both companies to expand their reach to help more fans experience the power of live each year.   Live Nation Concerts produces over 35,000 live music events annually in conjunction with Live Nation Entertainment’s 4,000+ touring artists. Live Nation fully acquired Front Line Management Group in 2011, giving the company access to the artists it represents, now numbering over 500, including top acts such as Chicago, Alan Jackson and Jimmy Buffett. Each of these businesses supports the Live Nation Network, the leading provider of entertainment marketing solutions. Live Nation Network connects more than 1000 advertisers to its network of consumers through Live Nation live event and digital platforms. Live Nation Entertainment has recently focused investments on profitable music festivals and initiatives associated with them. Some of the festivals Live Nation Entertainment has a controlling stake in include Lollapalooza and Bonnaroo. They also have a partnership with Insomniac who runs the Electric Daisy Carnival. Part of these investments include upgrading facilities at the festivals, including adding permanent bathrooms and running water. Live Nation Entertainment has an international presence, which has allowed them to acquire businesses around the world including the House of Blues (2006), a United States concert promoter; Union Events in Canada (2016) and Mainland Music (2018), based in Switzerland. It has also gained majority interest in AC Entertainment (2016), the Sweden Rock Festival (2016), Australia’s Secret Sounds Group (2016) and DF Entertainment (2018).",https://www.linkedin.com/company/live-nation/,,http://twitter.com/livenation,http://www.facebook.com/livenation,502
Eventbrite,https://www.crunchbase.com/organization/eventbrite,http://www.eventbrite.com,"Association, Event Management, Events, Internet, SaaS, Ticketing","Events, Internet Services, Media and Entertainment, Other, Software",Eventbrite provides online event planning services.,"Eventbrite develops an online platform that lets users find and create events. Its platform helps them plan events, such as event academy, classes and workshops, conferences, endurance, food and drink, music, nonprofits and fundraisers, performing and visual arts, politics, and reunions.  Eventbrite's platform also lets users sell tickets, register online, post events, manage events online, event management, register event for free online, and search San Francisco events. Moreover, the company offers mobile application opportunity.  Eventbrite serves customers worldwide. Renaud Visage and Julia and Kevin Hartz founded Eventbrite in 2006, with its headquarters in San Francisco in California.",http://www.linkedin.com/company/eventbrite,Exited Unicorn,http://twitter.com/Eventbrite,http://www.facebook.com/Eventbrite,553
LogRhythm,https://www.crunchbase.com/organization/logrhythm,https://www.logrhythm.com,"Analytics, Enterprise Software, Event Management","Data and Analytics, Events, Media and Entertainment, Software","LogRhythm is a NextGen SIEM Platform combining advanced security analytics, UEBA, NDR, and SOAR in a single end-to-end solution.","LogRhythm is a world leader in NextGen SIEM, empowering thousands of enterprises on six continents to successfully reduce cyber and operational risk by rapidly detecting, responding to, and neutralizing damaging cyberthreats. The LogRhythm NextGen SIEM Platform combines advanced security analytics; user and entity behavior analytics (UEBA); network detection and response (NDR); and security orchestration, automation, and response (SOAR) in a single end-to-end solution. LogRhythm’s technology serves as the foundation for the world’s most modern enterprise security operations centers (SOCs), helping customers measurably secure their cloud, physical, and virtual infrastructures for both IT and OT environments. Built for security professionals by security professionals, the LogRhythm NextGen SIEM Platform has won a countless customer and industry accolades.",https://www.linkedin.com/company/logrhythm,,https://twitter.com/LogRhythm,https://www.facebook.com/LogRhythmInc/,592
Lyte,https://www.crunchbase.com/organization/lyte,https://lyte.com/,"E-Commerce, Event Management, Events, Internet, Social Media, Ticketing","Commerce and Shopping, Events, Internet Services, Media and Entertainment","Lyte is a technology platform that makes it easy for fans to buy, sell, and exchange tickets to live events.","Lyte is a technology platform that makes it easy for fans to buy, sell, and exchange tickets to live events. It also allows event owners to take control of their ticketing experience. Lyte was founded in 2013 and is headquartered in San Francisco, California.",https://www.linkedin.com/company/lyte/,,https://www.twitter.com/lyteup,https://www.facebook.com/lyteup,"1,992"
Fever,https://www.crunchbase.com/organization/fever,https://www.feverup.com,"Event Management, Event Promotion, Events","Events, Media and Entertainment",Fever is a developer of a social event discovery platform used to offer tickets for nearby events.,"Fever is the global leader in the digitization of the Experience Economy, helping over 40 million people every month to discover the best experiences in their cities. Through its platform, Fever inspires users to enjoy the best local experiences, from gigs to theater, live music, immersive experiences, and pop-ups, while empowering event organizers to create new original content.",https://www.linkedin.com/company/fever-up,,,http://www.facebook.com/Feverup,"3,103"
Hubilo,https://www.crunchbase.com/organization/hubilo-softech-private-limited,http://www.hubilo.com,"Analytics, Enterprise Software, Event Management, Events, Information Technology, SaaS","Data and Analytics, Events, Information Technology, Media and Entertainment, Software",Hubilo is a virtual events platform that utilizes a range of insights to track attendee engagement & other event-related data.,"Hubilo develops an event analytics platform designed to bring experiences and intelligence together. The platform hosts an interactive online event, connects attendees globally, and helps to build meaningful connections by organizing breakout sessions, thereby enabling event organizers to create, promote, manage, and analyze events on a single virtual event platform. The company focuses on re-imagining the marketing landscape that will emerge around virtual events and unlock massive insights for key stakeholders such as CMOs, event organizers, and sponsors to track attendee engagement, and other event-related data.",https://www.linkedin.com/company/hubilo,,https://www.twitter.com/hubiloconnect,https://www.facebook.com/hubilo,"3,320"
Cvent,https://www.crunchbase.com/organization/cvent,http://www.cvent.com,"Business Intelligence, Event Management, Events, Hospitality, Information Technology, Meeting Software, Procurement, Software","Data and Analytics, Events, Information Technology, Media and Entertainment, Messaging and Telecommunications, Software, Transportation, Travel and Tourism","Cvent delivers the most comprehensive event marketing & management platform, maximizing the impact of in-person, virtual, and hybrid events.","Cvent is a leading meetings, events, and hospitality technology provider with nearly 4,000 employees, 30,000 customers, and 300,000 users worldwide. Founded in 1999, the company delivers the most comprehensive event marketing and management platform and offers a global marketplace where event professionals collaborate with venues to create unmatched experiences. Cvent is headquartered in McLean, Virginia, just outside of Washington D.C., and has additional offices in London, Frankfurt, Dubai, Melbourne, New Delhi, and Singapore among others, to support its growing global customer base. The comprehensive Cvent event marketing and management platform offers software solutions to event organizers and marketers for online event registration, venue selection, event marketing and management, virtual and onsite solutions, and attendee engagement. Cvent’s suite of products automate and simplify the entire event management process and maximize the impact of in-person, virtual, and hybrid events.  Hotels and venues use Cvent’s supplier and venue solutions to win more group and corporate travel business through Cvent’s sourcing platforms and to service their customers directly, efficiently and profitably – helping them grow and own their business. Cvent solutions optimize the entire event management value chain and have enabled clients around the world to manage millions of meetings and events.",http://www.linkedin.com/company/18125,,http://twitter.com/cvent,http://www.facebook.com/cvent,"4,622"
Luma,https://www.crunchbase.com/organization/zmurl,https://lu.ma/,"Event Management, Media and Entertainment, Software, Video Conferencing","Events, Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software","Luma provides a platform for people to host virtual classes, record live shows, educate, and find their communities via Zoom.","Luma provides a platform for people to host virtual classes, record live shows, educate, and find their communities via Zoom. They host delightful Zoom events and promote the event, manage attendees, and sell tickets. It was incorporated in 2020 and is based in San Francisco, California.",https://www.linkedin.com/company/zmurl/,,https://twitter.com/LumaHQ,,"4,989"
Peerspace,https://www.crunchbase.com/organization/peerspace,http://www.peerspace.com/,"Collaborative Consumption, Coworking, Event Management, Marketplace, Small and Medium Businesses","Commerce and Shopping, Events, Media and Entertainment, Other, Real Estate","Peerspace is a peer-to-peer marketplace for booking space for events, meetings, and productions.","Peerspace operates a marketplace for companies and individuals looking for short-term workspaces. Its platform enables users to search, message, and book various spaces that include corporate and private event spaces, photo studios, artist spaces, conference rooms, industrial-chic event spaces, daylight photo studios, video sound stage and photography studios, production studios, converted warehouses, train stations, photo and video spaces, sports car museum event spaces, and courtyards.  Peerspace serves customers in San Francisco Bay Area, Los Angeles, New York, Seattle, Austin, and Chicago. Matt Bendett and Rony Chammas founded the company, with its headquarters in San Francisco in California.",http://www.linkedin.com/company/peerspace,,http://twitter.com/peerspace,http://www.facebook.com/peerspace,"5,312"
DoubleDutch,https://www.crunchbase.com/organization/doubledutch,http://doubledutch.me/,"Enterprise Software, Event Management, Events, Marketing Automation, Mobile, SaaS, Software","Events, Media and Entertainment, Mobile, Sales and Marketing, Software",DoubleDutch develops event management software for the events industry worldwide.,"DoubleDutch develops event management software for the events industry worldwide. It provides live engagement platform that includes applications, integrations, and performance metrics which, allows orchestrating live events; and online event registration solution that enables to create custom event registration pages, collect registrant information and payments online, manage pre-event activity and correspondence, and optimize registrant data.  DoubleDutch offers solutions for external events, internal meetings, and associations. It serves customers ranging from brands to local association for their external and internal corporate meetings, tradeshows and expos, associations, and conferences.  Lawrence Coburn and Pankaj Prasad founded DoubleDutch in 2010, with its headquarters in San Francisco in California and additional offices in Phoenix in Arizona and Amsterdam in the Netherlands. It operates as a subsidiary of Cvent as of June 10, 2019.",http://www.linkedin.com/company/doubledutch/,,http://twitter.com/doubledutch,,"5,560"
