Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Comcast,https://www.crunchbase.com/organization/comcast,http://corporate.comcast.com,"Internet, Telecommunications, TV, Video, Web Hosting","Hardware, Internet Services, Media and Entertainment, Video",Comcast Corporation is a global media and technology company.,"Comcast Corporation is a global media and technology company with two primary businesses, Comcast Cable and NBCUniversal. Comcast Cable is one of the nation’s largest video, high-speed internet, and phone providers to residential customers under the XFINITY brand, and also provides these services to businesses. It also provides wireless and security and automation services to residential customers under the XFINITY brand. NBCUniversal operates news, entertainment, and sports cable networks, the NBC and Telemundo broadcast networks, television production operations, television station groups, Universal Pictures, and Universal Parks and Resorts.",https://www.linkedin.com/company/comcast/,,https://twitter.com/comcast,https://www.facebook.com/comcast,50
Uniphore,https://www.crunchbase.com/organization/uniphore,http://uniphore.com,"Analytics, Artificial Intelligence, Biometrics, Call Center, Customer Service, Machine Learning, Software, Speech Recognition, Telecommunications, Virtual Assistant","Administrative Services, Artificial Intelligence, Biotechnology, Data and Analytics, Hardware, Other, Professional Services, Science and Engineering, Software",Uniphore is a customer service platform that is powered by AI and automation technologies.,"Uniphore is a global Conversational AI technology company that offers a customer service platform that is powered by AI and automation technologies. The Company’s vision is to bridge the gap between people and machines through voice. Uniphore enables businesses globally to deliver transformational customer service by providing a platform of Conversational Analytics, Conversational Assistant and Conversational Security that changes the way enterprises engage their consumers, build loyalty and realize efficiencies. Uniphore was founded in 2008 and has offices in the U.S., India, and Singapore.",https://www.linkedin.com/company/uniphore/,,http://twitter.com/uniphore,http://www.facebook.com/Uniphore,311
Quali,https://www.crunchbase.com/organization/qualisystems,http://www.quali.com,"Cloud Management, Data Center Automation, Embedded Systems, Enterprise Software, Software, Telecommunications","Hardware, Information Technology, Internet Services, Science and Engineering, Software",Quali is a provider of cloud sandboxes for automating the DevOps lifecycle.,"QualiSystems develops and markets software test automation solutions for telecom equipment, network services, and embedded system testing. Its TestShell software framework optimizes device and systems testing while reducing testing time and overhead efforts. The framework covers the entire testing cycle with GUI based test editor, automated parallel test execution, vendor agnostic integration to existing test equipment, automated topology set up, resources scheduling, lab management, and reporting and analysis capabilities.  It was founded in 2004 and headquartered in Santa Clara, California. The company headquarters and expert R&D team are located in Israel. Direct Sales and Customer Support centers are held in United States, United Kingdom,  Singapore, China, Germany, Korea and Taiwan. Partner  representatives are held across EMEA, APAC and North America.  The company was founded in 2004 as Nibea Quality Management Solutions and changed its name to QualiSystems Ltd. in March 2007.",http://www.linkedin.com/company/qualisystems,,http://twitter.com/qualisystems,http://www.facebook.com/QualiSystems,369
Okta,https://www.crunchbase.com/organization/okta,http://www.okta.com,"CRM, Enterprise, Enterprise Software, Identity Management, Information Technology, SaaS, Security, Software, Telecommunications","Hardware, Information Technology, Other, Privacy and Security, Sales and Marketing, Software",Okta is a management platform that secures critical resources from cloud to ground for workforce and customers.,"Okta is the provider of identity for the enterprise. The Okta Identity Cloud connects and protects employees of many of the world's largest enterprises. It also securely connects enterprises to their partners, suppliers, and customers.With deep integrations to over 5,000 apps, the Okta Identity Cloud enables simple and secure access from any device. Thousands of customers, including Experian, 20th Century Fox, LinkedIn, Flex, News Corp, Dish Networks, and Adobe trust Okta to work faster, boost revenue, and stay secure. Okta helps customers fulfill their missions faster by making it safe and easy to use the technologies they need to do their most significant work.",https://www.linkedin.com/company/okta-inc-/,"Exited Unicorn, Pledge 1%",http://twitter.com/okta,http://www.facebook.com/oktaidentity,378
Qualcomm,https://www.crunchbase.com/organization/qualcomm,http://www.qualcomm.com,"Manufacturing, Mobile, Software, Telecommunications, Wireless","Hardware, Manufacturing, Mobile, Software","Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.","Qualcomm is an American fabless semiconductor company that designs, manufactures, and markets digital wireless telecommunications products and services. It produces processors and connectivity solutions, displays, software, and charging products. The company is focused on various industries: automotive, education, healthcare, Internet of Everything, mobile computing, networking, smart cities, smart homes, and wearables. Qualcomm’s products include Gobi, Hy-Fi, IPQ, IZat, Powerline, Snapdragon, Small Cells, VIVE, Wi-Fi platforms, Mirasol, Pixtronix, AllPlay, 2net, Brew, HealthyCircles, QChat, QLearn, RaptorQ, Vuforia, Halo, and WiPower. SnapTrack, Trigenix Ltd, Elata, Berkana Wireless, Qualphone and Airgo Networks are some of the companies that Qualcomm has so far acquired. Qualcomm was co-founded by Irwin M. Jacobs, Andrew Viterbi, Harvey White, Adelia Coffman, Andrew Cohen, Klein Gilhousen, and Franklin Antonio in 1985 and is headquartered in San Diego, California with worldwide presence. It has offices in Australia, Austria, Belgium, Brazil, Canada, China, Finland, France, Germany, Hong Kong, India, Indonesia, Ireland, Israel, Italy, Japan, Mexico, Netherlands, Nigeria, Philippines, Russia, Saudi Arabia, Singapore, South Africa, South Korea, Spain, Sweden, Taiwan, Thailand, Turkey, U.A.E, United Kingdom, and Vietnam.",https://www.linkedin.com/company/2017,,http://twitter.com/Qualcomm,https://www.facebook.com/QualcommIN,430
ViaSat,https://www.crunchbase.com/organization/viasat,http://www.viasat.com,"Broadcasting, Communications Infrastructure, Mobile, Optical Communication, Social Media, Telecommunications","Hardware, Internet Services, Media and Entertainment, Mobile, Video","ViaSat produces satellite and other digital communication products that enable fast, secure, and efficient communications to any location.","ViaSat keeps the world connected. As a global broadband services and technology company, ViaSat ensures consumers, businesses, governments and military personnel have communications access - anywhere - whether on the ground or in-flight. The Company's innovations in designing highest-capacity satellites and secure ground infrastructure and terminal technologies coupled with its international network of managed Wi-Fi hotspots enable ViaSat to deliver a best available network that extends the reach and accessibility of broadband internet service, globally. Their more than 3,700 global team members are dedicated to do what others in the industry view as impossible. They imagined and launched the world’s highest-capacity communications satellite and continue to set the standard in developing technologies that address global broadband challenges and ensure a better way for consumers, businesses, governments, and military personnel to stay connected.",https://www.linkedin.com/company/viasat/,,http://twitter.com/ViaSatInc,http://www.facebook.com/ViaSat,466
Corning,https://www.crunchbase.com/organization/corning,http://www.corning.com/,"Building Material, Electronics, Hardware, Life Science, Manufacturing, Telecommunications","Biotechnology, Consumer Electronics, Hardware, Manufacturing, Real Estate, Science and Engineering","Corning is a manufacturer of building materials including glass, ceramic, related materials and technologies, and more.","Corning is a manufacturer of building materials including glass, ceramic, related materials and technologies, and more. It does have capabilities such as synergistic and versatile which allows the company to evolve to meet changing market needs and also helping their customers capture new opportunities in dynamic industries. The company manufactures and develops Gorilla Glass, which is used by many smartphone makers. Corning creates and makes keystone components that enable high-technology systems for consumer electronics, mobile emissions control, telecommunications, and life sciences. it also provides industry products including precision glass for advanced displays, connectivity solutions for state-of-the-art communications networks, clean-air technologies for cars and trucks, damage-resistant cover glass for mobile devices, and trusted products to accelerate drug discovery and delivery. Corning was founded in 1851 and is headquartered in Corning, New York, United States.",http://www.linkedin.com/company/3678,,http://twitter.com/Corning,http://www.facebook.com/corningincorporated,571
Acacia,https://www.crunchbase.com/organization/acacia-communications,http://www.acacia-inc.com/,"Information Technology, Manufacturing, Software, Telecommunications, Web Hosting","Hardware, Information Technology, Internet Services, Manufacturing, Software","Acacia develops, manufactures, and sells high-speed coherent optical interconnect products.","Acacia develops, manufactures, and sells high-speed coherent optical interconnect products in the United States, China, Germany, Thailand, and internationally. It offers embedded and pluggable module products consisting of optical interconnect modules with transmission speeds ranging from 100 to 1,200 gigabits per second for use in long-haul, metro, and inter-data center markets.  Acacia also provides semiconductor products, such as low-power coherent digital signal processor application-specific integrated circuits and silicon photonic integrated circuits that are integrated into embedded and pluggable modules. It sells its products through a direct sales force to network equipment manufacturers, network operators, and cloud service providers.  Eric Swanson, Benny Mikkelsen, and Mehrdad Givehchi founded Acacia in 2009. It has its headquarters in Maynard in Massachusetts.",https://www.linkedin.com/company/acaciacomms/,,https://twitter.com/AcaciaComms,https://www.facebook.com/pages/Acacia-Communications/121173171626113,744
Charter Communications,https://www.crunchbase.com/organization/charter-communications,http://charter.com/,"Internet, Media and Entertainment, Telecommunications","Hardware, Internet Services, Media and Entertainment",American telecommunications and mass media company that offers its services to consumers and businesses under the branding of Spectrum.,"Charter Communications, Inc., is an American telecommunications and mass media company that offers its services to consumers and businesses under the branding of Spectrum.",https://www.linkedin.com/company/charter-communications/,,https://twitter.com/getspectrum,https://www.facebook.com/spectrum,977
Kymeta,https://www.crunchbase.com/organization/kymeta,http://www.kymetacorp.com,"Hardware, Mobile, Satellite Communication, Telecommunications","Hardware, Mobile",Kymeta is a developer of hybrid satellite-cellular networks used to satisfy the demand for global ubiquitous mobile connectivity.,"Kymeta is a developer of hybrid satellite-cellular networks used to satisfy the demand for global ubiquitous mobile connectivity. It leverages the best of satellite and cellular networks to offer solutions that are low-profile, lightweight, easy to install, and virtually maintenance-free regardless of location and does not require mechanical components to steer toward a satellite, thereby enabling clients to stay connected to the internet. Kymeta is removing barriers by providing an innovative means of leveraging satellite network capacity for high bandwidth communication access while on the move. The company’s first product, a software-enabled metamaterials-based electronic beamforming antenna for satellite communications, will keep boats, planes, cars, and more connected. It was established in 2012 and is headquartered in Redmond, Washington.",http://www.linkedin.com/company/kymeta-corporation,,http://twitter.com/kymetacorp,http://www.facebook.com/Kymeta-Corp/392584310814465,"1,088"
