Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Glassdoor,https://www.crunchbase.com/organization/glassdoor,http://glassdoor.com,"Career Planning, Digital Media, Employment, Recruiting, Social Media","Internet Services, Media and Entertainment, Professional Services",Glassdoor is a job and recruiting sites that operates online jobs and career community.,"Glassdoor is a job and recruiting sites that operates online jobs and career community. It helps employees, job seekers, employers, and recruiters in finding and sharing information about the companies and jobs that include company reviews, interview questions and reviews, office photos, salary details, and information to make career decisions. Rich Barton, Robert Hohman, and Tim Besse founded June 2007, with its headquarters in Mill Valley in California. Glassdoor operates worldwide.",http://www.linkedin.com/company/glassdoor,"Exited Unicorn, Pledge 1%",http://twitter.com/glassdoor,http://www.facebook.com/Glassdoor,187
Remote,https://www.crunchbase.com/organization/remote-d596,https://www.remote.com,"Financial Services, Human Resources, Internet, Payments, Recruiting, Software","Administrative Services, Financial Services, Internet Services, Payments, Professional Services, Software","Remote offers international payroll, benefits, and compliance services for distributed employees and contractors.","Remote offers international payroll, benefits, and compliance services for distributed employees and contractors. Remote takes care of global payroll, benefits, compliance and taxes, so businesses can focus on people.",https://www.linkedin.com/company/remote.com/,,https://www.twitter.com/remote,https://www.facebook.com/remote/,280
Incredible Health,https://www.crunchbase.com/organization/incredible-health,https://www.IncredibleHealth.com,"Health Care, Human Resources, Recruiting","Administrative Services, Health Care, Professional Services","Hospitals and health systems use Incredible Health to hire permanent, high quality clinical workers at scale and in less than 30 days.","Incredible Health is a venture-backed company based in San Francisco, CA. Top hospitals find the best permanent clinicians in less than 30 days and at scale with Incredible Health. Employers apply to candidates instead of the other way around through an intuitive web application.",https://www.linkedin.com/company/incrediblehealth/,,https://twitter.com/JoinIncredible,https://www.facebook.com/incrediblehealthjobs/,384
Andela,https://www.crunchbase.com/organization/andela,https://andela.com/,"B2B, Consulting, Human Resources, Information Technology, Internet, Recruiting, Small and Medium Businesses, Software, Training","Administrative Services, Education, Information Technology, Internet Services, Other, Professional Services, Software",Andela is a global talent network that connects companies with engineering talent in emerging markets.,"Andela is a global talent network that connects companies with engineering talent in emerging markets. Hundreds of leading companies like GitHub, Cloudflare, and ViacomCBS leverage Andela to scale their engineering teams quickly and cost-effectively. A distributed organization spanning four continents, Andela is backed by investors including Generation Investment Management, Chan Zuckerberg Initiative, Spark Capital, and Google Ventures.",https://www.linkedin.com/company/andela/,Emerging Unicorn,https://twitter.com/andela,http://www.facebook.com/thisisandela/info,401
Greenhouse Software,https://www.crunchbase.com/organization/greenhouse-software,http://www.greenhouse.io,"B2B, Enterprise Software, Recruiting, SaaS, Software","Other, Professional Services, Software",Greenhouse is a talent acquisition software company that offers its suite of tools and services to help businesses with the hiring process.,"Greenhouse is a talent acquisition software company that offers its suite of tools and services to help businesses with the hiring process. The platform aims to assist companies with sourcing, interviewing, hiring, and on-boarding the right talent. It assists employers to establish who they are looking to hire and plan a consistent interview process, enabling recruiters to collect feedback and track employees after they have been hired. Daniel Chait and Jon Stross co-founded the company in 2012 and headquartered it in New York, New York.",http://www.linkedin.com/company/greenhouse-inc-,,http://twitter.com/greenhouse,http://www.facebook.com/greenhouse.io,422
Turing.com,https://www.crunchbase.com/organization/turing,https://turing.com/Qr9bk7,"Artificial Intelligence, Developer Platform, Freelance, Human Resources, Information Technology, Mobile Apps, Recruiting, Software, Software Engineering","Administrative Services, Apps, Artificial Intelligence, Data and Analytics, Information Technology, Mobile, Professional Services, Science and Engineering, Software","At Turing, US companies can hire pre-vetted remote developers, while talented engineers can enjoy long-term, full-time roles with top firms.","Turing.com pairs top US companies with exceptional remote software developers. 100+ companies, including those backed by Google Ventures, Andreessen, Founders Fund, Kleiner, and Bloomberg, have hired Turing developers.  Turing Jobs Program: We offer top developers long-term, full-time roles. Turing software jobs span a wide variety of skill-sets, including Full Stack, Backend, Frontend, DevOps, AI/ML, and Mobile development roles, among others. Highly-experienced developers have access to even more Turing remote job opportunities. 180,000 developers across 10,000 cities have chosen us as their preferred platform for finding remote US software development jobs.  Turing Hire Program: With Turing, world-class companies can hire from the top 1% of remote software engineers. Prospective Turing remote developers are vetted over 8+ hours of tests and interviews, which assess their technical expertise, seniority, communication skills, and English fluency. Firms can hire developers specializing in various technologies, such as React, Node, Python, Angular, Swift, React Native, Android, Java, Rails, Golang, PHP, Vue, etc. Companies spend minimal time and costs hiring Silicon Valley-caliber developers at Turing.  Turing is backed by prominent investors, such as WestBridge Capital, Foundation Capital, Founders Fund (investors in Facebook, Tesla, Asana), Altair Capital, Mindset Ventures, Frontier Ventures, Gaingels, Facebook’s first CTO (Adam D’Angelo), and illustrious executives from Google, Amazon, and Twitter. We are led by serial A.I. entrepreneurs Jonathan Siddharth and Vijay Krishnan, whose last A.I. firm leveraged remote talent and had a successful acquisition.",https://www.linkedin.com/company/turing/,,https://twitter.com/turingcom,https://www.facebook.com/turingcom/,499
Deel,https://www.crunchbase.com/organization/deel,https://www.letsdeel.com,"Financial Services, FinTech, Human Resources, Payments, Recruiting, SaaS, Software","Administrative Services, Financial Services, Payments, Professional Services, Software",Deel is a payroll and compliance platform for international employees and contractors.,"Deel is a developer of a payroll platform used to re-imagine payouts for businesses working with remote contractors. The platform is used by remote teams that connect localized compliance and automates payments in one system of record, as well as provides contracts and templates to be used for tax forms and localized contracts, automated payment, invoicing and receipts, and customer support. It aims to offer to every company that hires remote talents a one-stop-shop that makes onboarding, global compliance, and payments easier. The company was founded by Alex Bouaziz, Ofer Simon, and Shuo Wang in 2018 and is headquartered in San Francisco, California.",https://www.linkedin.com/company/Deel,,https://www.twitter.com/Deel,https://www.facebook.com/GetDeel,563
Eightfold,https://www.crunchbase.com/organization/eightfold,http://eightfold.ai,"Artificial Intelligence, Big Data, Business Intelligence, Human Resources, Information Technology, Machine Learning, Recruiting, Software","Administrative Services, Artificial Intelligence, Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software","Eightfold.ai® offers the best way for organizations to retain talent, recruit efficiently, and boost diversity, all with deep learning AI","Eightfold.ai® delivers the Talent Intelligence Platform™, the most effective way for organizations to retain top performers, upskill and reskill the workforce, recruit top talent efficiently, and reach diversity goals. Eightfold.ai's deep learning artificial intelligence platform empowers enterprises to turn talent management into a competitive advantage. Eightfold was founded by world experts in deep learning and is headquartered in Mountain View, California.",https://www.linkedin.com/company/eightfoldai/,Unicorn,https://twitter.com/eightfoldai,https://www.facebook.com/eightfoldai/,686
Jopwell,https://www.crunchbase.com/organization/jopwell,http://www.jopwell.com,"Professional Services, Recruiting","Other, Professional Services",Jopwell is a digital recruiting platform that connects your recruiters with diverse professionals and students.,"Jopwell is a career platform that helps Black, Latino/Hispanic, and Native American students and professionals unlock opportunities for career advancement, not only when looking for a job but at all career stages.  Launched by former Goldman Sachs employees Porter Braswell and Ryan Williams in Jan. 2015, the Jopwell platform enables partner companies to search and recruit from a pipeline of candidates from backgrounds historically underrepresented at top-tier companies – from technology startups and investment banks to nonprofits and hospitals.  They are a Manhattan-based, venture-backed team that Inc magazine named among the “5 Most Interesting Startups"" to come out of Y Combinator's summer 2015 Demo Day. In 2017, Jopwell was named one of Fast Company’s “Most Innovative Companies” in the enterprise category and one of Entrepreneur’s “100 Most Brilliant Companies.” Co-founders Porter and Ryan were also featured on Fast Company’s 2017 list of “100 Most Creative People in Business.” Their mission is to leverage the power of technology to create access to opportunities and make the workforce more colorful.",https://www.linkedin.com/company/jopwell,,https://twitter.com/jopwell,https://www.facebook.com/Jopwell,847
Honor,https://www.crunchbase.com/organization/honor-2,http://joinhonor.com,"Health Care, Home Health Care, Mobile Apps, Recruiting, Scheduling, Training, Virtual Workforce, Wellness","Administrative Services, Apps, Education, Health Care, Information Technology, Mobile, Professional Services, Software","Honor is a home-care technology company that partners with local agencies to provide reliable, high-quality in-home care.","Honor is a home-care technology company that partners with local agencies to provide reliable, high-quality in-home care. The company provides non-medical home care services to older adults in communities and helps them live safely and comfortably in their own homes by leveraging its proprietary technology and partnering with independently owned home care agencies and other integrated senior care providers through the Honor Care Network. It operates as an extension of the agency team, providing back-office operations and its platform that assists with caregiver recruiting, training, scheduling, and performance. In 2014, Cameron Ring, Monica Lo, Sandy Jen, and Seth Sternberg co-founded the company in San Francisco, California.",https://www.linkedin.com/company/joinhonor,,https://twitter.com/honor,http://facebook.com/joinhonor,885
