Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
10up,https://www.crunchbase.com/organization/10up,http://10up.com,"Blogging Platforms, CMS, Consulting, Digital Marketing, Web Apps, Web Design, Web Development","Apps, Content and Publishing, Design, Information Technology, Media and Entertainment, Professional Services, Sales and Marketing, Software","Content publishing made easy, maybe even fun. WordPress focused, global, distributed digital agency.","10up is a leading web development and strategy agency that emphasizes great user experiences and simple content management. Our secret to making first class websites is simple: create great user experiences for everyone from the website's audience, to the content managers and code contributors behind the scenes. We believe that content management -- the process of keeping your website fresh and up to date -- shouldn't require any more expertise than word processing. We strive to make content management more than ""manageable"" --  we strive to make it fun. With that mission in mind, it's no surprise that 10up specialize in awesome WordPress implementations. We believe WordPress is the easiest to use content management system, with a low cost of entry and unbelievable potential in the hands of the right developers. Team 10up has built some of the most popular WordPress plug-ins on the repository, speaks at conferences around the country, writes for leading web publications like Smashing Magazine, and organizes multiple WordPress Meetups. 10up has been the force behind some of the most popular WordPress-powered websites on the Internet.",http://www.linkedin.com/company/1959734,,http://twitter.com/10up,http://www.facebook.com/10up.agency
2Shoes,https://www.crunchbase.com/organization/2shoes,http://2shoesapp.com,"Computer, Video, Web Apps","Apps, Consumer Electronics, Hardware, Media and Entertainment, Software, Video",Engagement app for large presentations,"2Shoes is a web-based application that makes it easy for your attendees to ask presenters questions, anywhere, anytime, on any device.",,,http://twitter.com/2ShoesApp,http://www.facebook.com/2shoesapp
5 Every Day,https://www.crunchbase.com/organization/5-every-day,http://www.5everyday.com/,"App Marketing, Web Apps","Apps, Sales and Marketing, Software",Five interesting things to do in Los Angeles.,"5 Every Day was lovingly built by a small group of Los Angeles-based friends, designers, and artists to fill their own need for a no-nonsense events calendar and exploration engine. The design studio Public-Library made it beautiful and YACHT, a multimedia pop group, comb the city for wonderful things.",,,https://twitter.com/5EveryDayLA,https://www.facebook.com/pg/5EveryDay/
5o9,https://www.crunchbase.com/organization/5o9,http://www.3pmobile.com,"Mobile, Real Time, Software, Web Apps","Apps, Mobile, Other, Software","5o9 offers 3PMobile®, software that helps businesses who want to extend their web services to mobile users.","3PMobile® builds software targeted to businesses who want to extend their Web services to mobile users. Our solution is designed to balance the need for user data privacy and control, with the need for enterprise commerce and convenience.",https://www.linkedin.com/in/3pmobile,,http://twitter.com/3PMobile,
99designs,https://www.crunchbase.com/organization/99designs,http://99designs.com,"E-Commerce, Graphic Design, Outsourcing, Professional Services, Web Apps","Apps, Commerce and Shopping, Design, Other, Professional Services, Software",99designs is the global creative platform that makes it easy for designers and clients to work together create designs they love. ,"99designs is the global creative platform that makes it easy for designers and clients to work together create designs they love. Their tried-and-true creative process has become the go-to solution for businesses, agencies and individuals. Since 2008, 99designs has grown from a small, online forum into a global community of talented designers. Headquartered in Melbourne, Australia with offices in Oakland, California and Berlin, Germany, 99designs champions creativity to bring opportunities to people around the world.",http://www.linkedin.com/company/99designs,,http://twitter.com/99designs,http://www.facebook.com/99designs
9ci,https://www.crunchbase.com/organization/9ci,http://www.9ci.com,"Finance, Internet, Software, Web Apps","Apps, Financial Services, Internet Services, Software",9ci provides intelligent web apps that give their customers the freedom to work smarter and get paid faster.,"9ci provides intelligent web apps that give their customers the freedom to work smarter and get paid faster. 9ci's mission is to simplify A/R complexity, improve cash-flow and free their customers to work better.",https://www.linkedin.com/company/9ci,,https://twitter.com/9ci,
Abstract,https://www.crunchbase.com/organization/abstract,https://www.abstract.com/,"Apps, Software, Web Apps, Web Design","Apps, Design, Software","Abstract is the design workflow management system that empowers design teams and stakeholders to seamlessly manage, version and collaborate.","Abstract is the design workflow management system that empowers design teams and stakeholders to seamlessly manage, version, and collaborate. It specializes in the fields of software, web apps, and web designs.  It was founded in 2015 and headquartered in San Francisco, California.",https://www.linkedin.com/company/abstract-app/,,https://twitter.com/goabstract,
Academical,https://www.crunchbase.com/organization/academical,https://academical.co/,"Education, Universities, Web Apps","Apps, Education, Other, Software",Class schedule planner for university students,"Academical is a web application that allows college students to plan their schedule each semester. Currently it is used by 18,000 students at Universidad de los Andes and CESA. With this app the students can search courses by different criteria on the course catalog, visually and intuitively plan different schedule options, check all of the relevant information for a course, check seat availability in real time and more. Likewise, the service that provides Academical has a direct effect on universities in improving and strengthening their relationships with their students and the administrative management processes.",,,https://twitter.com/academicalapp,https://www.facebook.com/academicalapp
Acorn - Family Activities,https://www.crunchbase.com/organization/acorn-family-activities,https://getacorn.com/,"Children, E-Commerce, Family, Lifestyle, Marketplace, Web Apps","Apps, Commerce and Shopping, Community and Lifestyle, Software","Acorn builds communities by connecting parents to kids activity providers, city by city.","Acorn is the premier marketplace for finding and booking kids activities online. Our industry-leading technology aggregates activities by geolocation, making it easier for parents to navigate the intense, fragmented world of early childhood development. Acorn connects children, parents and providers with the goal of encouraging every child to find adventures that delight them today and prepare them for tomorrow. Just as sunshine and water help oak trees grow from acorns, we believe that education and play help children reach their full potential.",https://www.linkedin.com/company/getacorn/,,https://twitter.com/getacorn,https://www.facebook.com/acornkidsapp
Adaptive Technologies,https://www.crunchbase.com/organization/adaptive-technologies,http://www.adaptivetechinc.com,"Enterprise Software, Fitness, Web Apps","Apps, Software, Sports","Adaptive Technologies offers MobileFit, a web-based application for creating customized workout programs.","Adaptive Technologies LLC develops and provides MobileFit, a Web-based application that allows users to create customized workout programs and helps fitness centers improve member retention. The company was incorporated in 2002 and is based in Crestwood, Kentucky.",,,https://www.twitter.com/beaconpo,
