Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
Zyxio,https://www.crunchbase.com/organization/zyxio,http://www.zyxio.com,"Hardware, Software","Hardware, Software",Human/Machine Interaction,"Zyxio designs and markets Microelectromechanical systems (MEMS)-based products for organic Human Media Interaction. Zyxioâ€™s founders and engineering team have pioneered innovations in next-generation personal interaction with digital environments. Zyxio has developed in stealth mode, a breakthrough technology called SensaWaftâ„¢, patented worldwide. The SensaWaftâ„¢ intelligent sensor (MEMS) turns gentle puffs into input signals sent to platforms like PC, game console and smartphone. SensaWaftâ„¢ is an alternative hardware-based ""touchless"" interaction method with interaction effect libraries and application-specific performance programmability that provides customizable variable control over any User Interface and applications, with low computational specifications. Zyxio's goal is to help â€œGeneration Contentâ€ accomplish more, and  developed a technology that transforms HMI, and combines seamlessly with other current and emerging HMI techniques such as touch-screens, accelerometers, IR and camera 3D sensing or speech recognition.",,,,
Zyvex,https://www.crunchbase.com/organization/zyvex,http://zyvex.com/,"Advanced Materials, Biotechnology, Developer Platform, Electronics, Information Technology, Manufacturing","Biotechnology, Consumer Electronics, Hardware, Information Technology, Manufacturing, Science and Engineering, Software","Zyvex was founded in 1997, as the first molecular nanotechnology company","Zyvex was founded in 1997, as the first molecular nanotechnology company, with the vision of developing atomically precise manufacturing. By 2007, Zyvex research had been commercialized in several products. As those product lines grew, Zyvex restructured into separate companies so that each company could independently focus on its industry leading technology and products.",,,,
Zyro,https://www.crunchbase.com/organization/zyro,http://www.zyrogames.com/,"Apps, Drones, Recreation","Apps, Consumer Electronics, Consumer Goods, Hardware, Software, Sports","Zyro is an aerial drone game and brainchild of veteran engineers, drone enthusiasts, and rugby players for outdoor sport.","Zyro is an aerial drone game and brainchild of veteran engineers, drone enthusiasts, and rugby players for outdoor sport. The team started up the project based on a decade of experience building the Gumstix, Inc. electronics that are used in drones.",https://www.linkedin.com/company/zyro,,https://twitter.com/zyrogames,https://www.facebook.com/zyrogames
Zyptonite,https://www.crunchbase.com/organization/zyptonite,http://www.zyptonite.com,"Information Technology, Software, Telecommunications, Video Chat","Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Zyptonite provides secure and private, decentralized (peer-to-peer) enterprise communication and collaboration software.","Zyptonite provides high quality mobile and desktop video and audio communication through pure peer-to-peer architecture. It works more robustly than Skype and other applications relying on traffic passed through servers. Unlike our competition, our calls won't disconnect even at 0kbps making it ideal for mobile users on spotty networks. As there are no servers, all communication remains strictly between the participants - third party marketing and other data collection is not possible.",https://www.linkedin.com/company/zyptonite,,https://www.twitter.com/zyptonite,https://www.facebook.com/zyptonite
Zyper,https://www.crunchbase.com/organization/zyper,http://zyper.com,"Advertising Platforms, Brand Marketing, Computer Vision, Loyalty Programs, Machine Learning, Software","Advertising, Artificial Intelligence, Data and Analytics, Hardware, Sales and Marketing, Software","Zyper is a machine learning-led community marketing software that helps brands connect with their fans, and fans connect with each other.","Zyper is a machine learning-led community marketing software that helps brands connect with their fans, and fans connect with each other. The platform wants to re-create social networks for brands by connecting them to their top fans to drive engagement, insights, and sales. It enables brands to identify and engage with their top 1% of fans and build a community of active brand advocates. Zyper was founded in 2017 and is headquartered in San Francisco, California, United States.",https://www.linkedin.com/company/zyper./,,https://www.twitter.com/zyper_official,
Zyp,https://www.crunchbase.com/organization/zyp,https://zypapp.com,"Computer, Software","Consumer Electronics, Hardware, Software",Zyp is a home cleaning solution for roommates and just about everyone else.,"Zyp views its mission as redefining the cleaning industry to give the masses access to a convenient, flexible and cost-effective way of having their places cleaned. They leverage the power of technology to create a platform that gives both customers and cleaners an unparalleled experience.",https://www.linkedin.com/company/9499692/,,https://twitter.com/zypapp,https://www.facebook.com/pg/zypapp
Zymergen,https://www.crunchbase.com/organization/zymergen,http://www.zymergen.com,"Artificial Intelligence, Big Data, Bioinformatics, Biotechnology, Machine Learning, Robotics","Artificial Intelligence, Biotechnology, Data and Analytics, Hardware, Science and Engineering, Software","Zymergen is a biotechnology company that specializes in machine learning, big data, and artificial intelligence.","Zymergen is a biotechnology company that specializes in the fields of machine learning, big data, and artificial intelligence. The company partner with nature to create materials and products across industries from agriculture to electronics, consumer care to pharmaceuticals, and more. It was founded in 2013 and headquartered in Emeryville, California.",https://www.linkedin.com/company/zymergen-inc-/,Unicorn,http://twitter.com/zymergen,https://www.facebook.com/pages/Zymergen/1698233397064137
Zygo Corporation,https://www.crunchbase.com/organization/zygo-corporation,http://www.zygo.com,"3D Technology, Manufacturing, Optical Communication","Hardware, Manufacturing, Software",Zygo Corporation develops high end optical systems and components for metrology and end-user applications.,"ZYGO designs, manufactures, and distributes high-end optical systems and components for metrology and end-user applications. ZYGO has two divisions: Metrology Solutions Division and Optical Systems Division. The Metrology Solutions Division is comprised of three business units: Precision Positioning Systems, Vision Systems, and Instruments. This division's products employ various optical phase analysis techniques for measuring displacement, surface shape and texture, and film thickness.",https://www.linkedin.com/company/zygo-corporation,,http://twitter.com/ZygoCorp,https://www.facebook.com/zygocorp/
ZYCI CNC Machining,https://www.crunchbase.com/organization/zyci-cnc-machining,http://www.ZYCI.com,"3D Printing, 3D Technology, Manufacturing","Hardware, Manufacturing, Software","ZYCI is an AS9100, FFL 07 provider of CNC machining services for the aerospace, defense, firearm and robotic industries.","ZYCI is AS9100 certified, Federal Firearm Licensed (FFL 02/07) provider of CNC machining services to the aerospace, defense, firearm, robotics, and commercial industries.  Our customers have high expectations, require attention to detail, consistent communication, and a sense of urgency.   Our machining capabilities are extensive ranging from 3 to 5 axis milling (up to 84”), 8-axis MTM turning, with live tooling, Wire EDM, EDM drilling, and assembly. In addition to all standard inspection tools, we have a 2018 Hexagon CMM, 2019 Keyence Instant Measurement Vision System with Light Probe and Depth Probe, X-Ray Fractometer for material verification, hardness testers, conductivity testers, laser micrometers, and a digital thread check system.  ZYCI supports customers utilizing model-based definition.  We own CATIA V5  and can work from CATIA V5 files with no translation from quoting through CMM inspection, thus ensuring data integrity.  We also support all other common engineering file formats, both native (such as SolidWorks, Autodesk, PTC) and exported neutral files (such as STEP, Parasolid, IGES). Our headquarter facility is located in Chamblee, Georgia, we welcome you to schedule a visit to tour our facility and discuss how we can be of service to you and your company.",https://www.linkedin.com/company/zyci-cnc-machining,,https://www.twitter.com/zycicnc,https://www.facebook.com/zyci-267631023429273
"ZVerse, Inc.",https://www.crunchbase.com/organization/zverse-inc-,http://www.zverse.com,"3D Printing, 3D Technology, CAD, Manufacturing, Software","Design, Hardware, Manufacturing, Software","CAD, Platform, 3D Printing, Digital Manufacturing",ZVerse bridges the design gap for digital manufacturers at scale through our AI-enabled CAD as a Service (CADaaS) platform and certified designer network.,https://www.linkedin.com/company/zverse,,,
