Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
100 Percent Pure,https://www.crunchbase.com/organization/100-percent-pure,http://www.100percentpure.com/,"Beauty, Solar","Consumer Goods, Energy, Natural Resources, Sustainability","The healthiest, the most pure skincare in the world. Free of synthetic chemicals, artificial fragrances, chemical preservatives.","The absolute most healthy, the most pure line of nourishing personal care made with the highest quality ingredients. Free of any harmful toxins that are common in other cosmetics - because Their skin absorbs. Just as birth control patches and nicotine patches deliver the medication topically, whatever They apply on Their skin gets absorbed which is why all 100% Pure formulas are free of harmful toxins that are commonly in other cosmetics. 100% Pure’s mission is to create the healthiest cosmetics made with the highest quality ingredients. 100% Pure creates healthy products for Their body and also for the environment. Their corporate offices are run by 100% solar energy, Their company is 100% electric and Their pure, biodegradable formulas are packaged with post consumer recycled plastic, glass, soda cans, paper and printed with biodegradable non toxic vegetable ink. 100% Pure loves animals - They are completely cruelty free and charitable towards animal welfare.",https://www.linkedin.com/company/purity-cosmetics,,https://twitter.com/@100percentpure,https://www.facebook.com/100percentpure
1100 Energy Corporation,https://www.crunchbase.com/organization/1100-energy-corporation,http://1100energy.com,Energy,Energy,1100 Energy specializes in the development and rapid deployment of products that address real world problems.,"1100 ENERGY CORPORATION purchased the assets and intellectual property of Falcon Systems Engineering Corporation in November of 2009. Falcon was established in 1999 and 1100 Energy, along with key personnel carried over from Falcon, will continue to engage in contract engineering and the development of products used by the military, private industry, law enforcement agencies and first responders. 1100 Energy specializes in the development and rapid deployment of products that address real world problems. The Company’s goals are to continue to produce products for emerging needs, expand their production capabilities and remain on the cutting edge of technological change in the areas of thermal imaging, Lithium-Ion batteries and other developing energy sources used to power mission-critical equipment in remote locations.",https://www.linkedin.com/company/1100-energy-corporation,,,
1366 Technologies,https://www.crunchbase.com/organization/1366-technologies,http://www.1366tech.com,"Manufacturing, Semiconductor, Solar","Energy, Hardware, Manufacturing, Natural Resources, Science and Engineering, Sustainability",1366 Technologies is a manufacturer of silicon wafers used to deliver solar modules.,"1366 Technologies is a manufacturer of silicon wafers used to deliver solar modules. The company's silicon wafers leverage existing billion-dollar cell and module investments, enabling businesses to get a long-term, differentiated product roadmap. It was founded in 2008 and is headquartered in Bedford, Massachusetts.",http://www.linkedin.com/company/1366-technologies-inc,,https://www.twitter.com/1366tech,https://www.facebook.com/pages/1366-Technologies/208448300373
180 South Solar,https://www.crunchbase.com/organization/180-south-solar,http://180southsolar.com,Renewable Energy,"Energy, Sustainability",180 South Solar provides multiple options for offsetting that energy.,180 South Solar provides multiple options for offsetting that energy. We know each home has an individual set of needs which is why we design multiple custom solutions for each customer.,https://www.linkedin.com/company/11210948/,,https://twitter.com/180SouthSolar,https://www.facebook.com/180SouthSolar/
1Derrick,https://www.crunchbase.com/organization/1derrick,https://www.1derrick.com/,"Energy, Oil and Gas","Energy, Natural Resources",1Derrick is an independent oil and gas research and consulting firm.,"1Derrick is an independent oil and gas research and consulting firm, serving more than 150 clients including oil and gas majors, independent E&P companies, blue chip PE firms, top investment banks and consulting firms. 1Derrick provides research services in the Oil & Gas sector through its databases and reports. ",https://www.linkedin.com/company/1derrick/,,http://www.twitter.com/1drrck,
1Energy Systems,https://www.crunchbase.com/organization/1energy-systems,http://1energysystems.com,"Energy, Energy Storage, Software","Energy, Software",1Energy Systems is a provider of software for grid-connected energy storage systems and other electric energy assets.,"1Energy Systems provides software for grid-connected energy storage systems (ESS) and other electric energy assets. Our products enable clean energy resources, such as wind and solar power, and solve an important problem.",,,,
24M Technologies,https://www.crunchbase.com/organization/24m-technologies,http://24-m.com,"Energy, Energy Storage, Transportation","Energy, Transportation",24M Technologies develops energy storage systems for grid and transportation applications.,"24M Technologies develops energy storage systems for grid and transportation applications. 24M Technologies, Inc. builds energy storage systems for grid and transportation applications. The company was founded in 2010 and is based in Cambridge, Massachusetts.",https://www.linkedin.com/company/24m-technologies,,https://www.twitter.com/24m_tech,https://www.facebook.com/24mtechnologies
2C Tech,https://www.crunchbase.com/organization/2c-tech,http://2ctechcorp.com/,"Electrical Distribution, Medical Device, Nanotechnology","Energy, Health Care, Science and Engineering","2C Tech is developing a novel, breakthrough nanotechnology based medical device.","2C Tech is leveraging unique expertise in nanoparticle technologies for the creation of innovative therapeutic approaches for the treatment of ophthalmic diseases and conditions.  The Company’s immediate focus is on the development of a proprietary therapy for patients with retinal degenerative conditions, for whom no effective treatment is currently available. While initially focused on Retinitis Pigmentosa (RP), the 2C Tech approach could also have positive benefits in certain forms of Macular Degeneration, Glaucoma and Diabetic Retinopathy, where patient populations are far greater.",https://www.linkedin.com/company/16070570/,,,
2DA Analytics,https://www.crunchbase.com/organization/2da-analytics,http://www.2da.us,"Analytics, Big Data, Business Intelligence, Energy, Enterprise Software, Geospatial, Intelligent Systems, Oil and Gas, Software","Artificial Intelligence, Data and Analytics, Energy, Natural Resources, Navigation and Mapping, Science and Engineering, Software",Introducing BAYZYEN.  The world’s first cloud-based optimization and planning app built specifically and solely for commodity value chains.,"We created 2DA with the vision to help commodity supply & trading organizations unlock their true potential.  Our company was inspired by the realization that while the oil, gas & petrochemical industry was amassing huge amounts of data, it lacked the tools to properly harness it. With this in mind, we began working with forward-thinking organizations in downstream oil, crafting a solution around their biggest data challenges.  The result is BAYZYEN - the world’s first cloud-based operational planning & optimization app built specifically and solely for oil value chains.",https://www.linkedin.com/company/2da-analytics,Pledge 1%,https://www.twitter.com/2da_analytics,
"2Interact, Inc.",https://www.crunchbase.com/organization/2interact-inc,http://www.2interact.us/,"Apps, Education, Human Resources, Infrastructure, Oil and Gas, Software","Administrative Services, Apps, Education, Energy, Natural Resources, Other, Software","2Interact, Inc. is a global enterprise HRMS solution that has no equal in the world of HRIS solutions today.","Interact HRMS Overview	2Interact, Inc., is a leader in providing Global Enterprise Human Resources Management, Payroll, Benefits, Time and Talent Management solutions to organizations around the world. 2Interactsoftware applications,known as Interact HRMS, can be deployed using a private Local and/or Wide Area Network using a Hosted platform or Cloud based computing and networking infrastructure. Interact HRMS is currently being used by their clients throughout the world in various industries including Banking and Finance, Construction, Manufacturing, Oil & Gas, Healthcare, Education, Logistics, Packaging, Shipping, Consulting Services, Government, and others.",https://in.linkedin.com/company/2interact-inc-,,https://twitter.com/interacthrms,
3 Four 5 Group,https://www.crunchbase.com/organization/3-four-5-group,http://beegreenenergyllc.com/,"Energy, Energy Efficiency, Solar","Energy, Natural Resources, Sustainability",Nevada Energy Efficiency Company specializing in Whole Home Energy Saving modifications.,"Nevada Energy Efficiency Company specializing in Whole Home Energy Saving modifications, focusing on Solar Thermal packages that reduce Home Owners combined Utility Bills by 35-60%.",,,,https://www.facebook.com/10153853408822319
3 Phases Renewables,https://www.crunchbase.com/organization/3-phases-renewables,http://www.3PhasesRenewables.com,"Clean Energy, Energy, GreenTech, Renewable Energy, Solar","Energy, Natural Resources, Sustainability","Certified as an Energy Service Provider (ESP) by the California Public Utilities Commission (CPUC), 3 Phases Renewables is a leading","Certified as an Energy Service Provider (ESP) by the California Public Utilities Commission (CPUC), 3 Phases Renewables is a leading supplier of comprehensive renewable energy power solutions for the State, Western Region and beyond.",,,,
313Energy,https://www.crunchbase.com/organization/313energy,http://313energy.com/,Energy,Energy,313Energy is an energy drink that gives 11 cents of every purchase back to the city of Detroit.,"313Energy is an energy drink that gives 11 cents of every purchase back to the city of Detroit. Its parent company works with the Detroit Public School Foundation to enable the distribution of funds to programs aimed at students. 313Energy is produced in Detroit, Michigan.",,,,https://www.facebook.com/313energy/
3Degrees,https://www.crunchbase.com/organization/3degrees,http://www.3degreesinc.com,"Clean Energy, Consulting, Energy, Environmental Consulting, Government, Information Technology, Marketing, Renewable Energy","Energy, Government and Military, Information Technology, Professional Services, Sales and Marketing, Sustainability",3Degrees is a provider of carbon offset and renewable energy services and solutions.,"3Degrees provides renewable energy and carbon offset solutions to Fortune 500 companies, utilities, universities, government agencies, and other organizations that are working to make their operations and services more sustainable. It specializes in sustainability consulting, environmental markets, renewable energy and carbon project development, and utility renewable energy programs. Its team has deep expertise in sustainability consulting, environmental markets, renewable energy and carbon project development, and utility renewable energy programs. 3Degrees helps develop and implement creative solutions that ensure environmental integrity and make good business sense.   The company is headquartered in San Francisco, with offices in Portland, Oregon, Seattle, Washington, and Richmond, Virginia.",https://www.linkedin.com/company/3degrees/,,http://twitter.com/3Degrees_Inc,http://www.facebook.com/pages/degrees/36162725008
3DFS Software-Defined Electricity,https://www.crunchbase.com/organization/3dfs,http://3dfs.com,"Clean Energy, Electrical Distribution, Energy, Energy Efficiency, Energy Management, GreenTech, Information Technology, Manufacturing, Smart Home","Consumer Electronics, Energy, Information Technology, Manufacturing, Real Estate, Sustainability",3DFS designs and manufactures a new and more efficient way to deliver electricity leveraging Real-Time computing ,"We have created a new category of energy technology, Software-Defined Electricity. It brings real time computing to electricity measurement, opening up a world of Real Time Electricity Analytics. In conjunction with our Flash Energy Storage System, 3DFS Technology provides digital control of electricity. This delivers perfect electrical efficiency to the power network, provides all of the loads with ideal, unfluctuating power quality and protects the entire panel from external surges or transients. Digital control of electricity flow is the future.",https://www.linkedin.com/company/3dfs-power-solutions,,https://twitter.com/3DFS_Power,https://www.facebook.com/3dfspower
"3PS, Inc.",https://www.crunchbase.com/organization/3ps-inc,http://www.3psinc.com/,"Electronics, Manufacturing, Marine Technology, Oil and Gas","Consumer Electronics, Energy, Hardware, Manufacturing, Natural Resources, Science and Engineering","3PS, Inc. designs and manufactures wireless and hardwired sensors for air, ground, and permanently underwater installations.","3PS, Inc. designs and manufactures wireless and hardwired sensors for air, ground, and permanently underwater installations. It offers instrumented blocks/sheaves/shackles, load pins, and tensiometers, as well as position/angle/length, tension, and compression sensors. The company also provides boom, bridge, and gantry crane sensors and systems; wireless drilling and well service sensors; and winch monitor, control, and portable aircraft digital scale systems. 3PS offers its systems for system control and monitoring applications, and customers’ central systems, as well as for heavy equipment in onshore and offshore environments, factories, and plants. In addition, the company provides technical services, such as field system commissioning, training support, in-house repair, remanufacturing, and calibration.",https://www.linkedin.com/company/3ps-inc,,,https://www.facebook.com/3PSinc/
3TIER,https://www.crunchbase.com/organization/3tier-environmental-forecast-group,http://www.3tier.com/en,"CleanTech, Energy, Solar, Wind Energy","Energy, Natural Resources, Sustainability","3TIER, a Vaisala company, provides an integrated suite of energy assessment, forecasting, asset optimization and measurement solutions.","3TIER operates as a renewable energy assessment and forecasting company. The company focuses on providing wind, solar, and hydro energy assessment; and power forecasting worldwide.  Its products include Firstlook assessment for wind, an online tool that allows users to evaluate a potential site; Fullview that provides comprehensive information to assess the wind resource at various stages during development and planning. The company also provides Powersight Forecast, a wind forecasting tool; and Fullview Assessment, which provides solar assessment mapping and due diligence information for various solar energy projects. It serves renewable energy project operators, developers, financiers, and marketers. The company was founded in 1999 and is headquartered in Seattle, Washington with additional offices in North America and Latin America.",,,http://twitter.com/3TIER_Energy,https://www.facebook.com/98014025807
