Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
Zype,https://www.crunchbase.com/organization/zype,http://www.zype.com,"Cloud Computing, Digital Media, Mobile Advertising, Video, Video Streaming","Advertising, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing, Software, Video",The most connected and scalable Video API.  Zype is the infrastructure for digital video.,"Zype’s mission is to connect the world’s streaming video and viewers. Zype is the infrastructure for digital video, providing an API-first SaaS that helps product teams solve mission critical streaming video challenges with a robust platform that includes monetization, CRM, business analytics, automation, and integrations with thousands of SaaS applications.",https://www.linkedin.com/company/zype-inc,,https://twitter.com/zype,https://www.facebook.com/zypevideo/
zyBooks,https://www.crunchbase.com/organization/zybooks,http://www.zybooks.com,"E-Learning, Education, Publishing","Content and Publishing, Education, Media and Entertainment, Software",zyBooks publishes interactive textbooks that utilizes animations and embedded tools.,"zyBooks was started in 2012 by Smita Bakshi and Frank Vahid. Frank is a Computer Science and Engineering professor at the University of California, Riverside, and Smita, prior to her 10 years in the high-tech industry, and was a UC Davis Electrical Computer Engineering professor.We started zyBooks to help college STEM (Science, Technology, Engineering, and Math) students graduate. More than half of STEM students don't achieve their STEM degrees, and many students are tripped up by their early STEM classes. Part of the problem is the huge mismatch between today's students and traditional (and increasingly expensive and bloated) textbooks, forcing instructors to teach with one hand tied behind their back. Meanwhile, the real power of the web for learning—interactivity—has barely been tapped.  So, we started creating zyBooks—STEM material native for the web—using ""less text, more action."" zyBooks have minimal text, and instead consist of question sets, animations, interactive tools, and embedded homework, so students can learn by doing. We developed a platform to author, deliver, and continually support and improve zyBooks, vowing to always do right by the student and instructor.  We keep prices as low as possible, provide the best support we can, and make the zyBook platform easy to use for students and instructors. zyBooks are collaboratively authored by talented teams of professors, content developers and software engineers.  Professors include Roman Lysecky (University of Arizona), Sandy Irani (UC Irvine), and Andre Knoesen & Raj Amirtharajah (UC Davis). Starting with just a handful of universities in 2012, our computer science and engineering zyBooks are now used at over 200 colleges and universities and a few dozen high schools.",https://www.linkedin.com/company/zyante,,https://twitter.com/zybooks,https://www.facebook.com/zyBooks/
zuuka!,https://www.crunchbase.com/organization/zuuka,http://www.istorytime.com,"Apps, Mobile, Publishing, Software","Apps, Content and Publishing, Media and Entertainment, Mobile, Software","The iStoryTime library app offers a wide selection of narrated children’s storybooks, kids' films, TV shows and other classic stories.",Zuuka! is a children application publisher that develops digital children's media for mobile devices.,,,http://twitter.com/istorytime,http://www.facebook.com/istorytime
Zubtitle,https://www.crunchbase.com/organization/zubtitle,https://zubtitle.com,"Productivity Tools, Social Media, Video, Video Editing","Content and Publishing, Internet Services, Media and Entertainment, Software, Video",Zubtitle is the first video caption tool that makes it easy to automatically add captions to any video. Powered by Google.,"Zubtitle is a video caption tool that helps video creators improve the reach & engagement of their videos by artistically integrating animated text, captions, & subtitles. Powered by Google, Zubtitle uses AI & speech-to-text technology to automatically translate the spoken words within a video and burn open caption to video. ",,,https://twitter.com/zubtitles,https://facebook.com/zubtitles
Zorachka Inc.,https://www.crunchbase.com/organization/zorachka-ltd,https://zorachka.com,"Consumer Electronics, Hardware, Internet of Things, Smart Home, Software, Video Streaming","Consumer Electronics, Content and Publishing, Hardware, Internet Services, Media and Entertainment, Real Estate, Software, Video",Zorachka is an innovator of disruptive technologies.,"Zorachka Inc. makes tech, makes products, makes fun.",https://www.linkedin.com/company/zorachka,,http://twitter.com/zorachka_co,https://www.facebook.com/zorachka.co
Zooomr,https://www.crunchbase.com/organization/zooomr,http://zooomr.com,"File Sharing, Photography","Content and Publishing, Media and Entertainment, Software",Zooomr is a website that provides its users with space to share photos with other users.,"Kristopher Tate, a 17 year old at the time, originally started Zooomr as a place for him to share photos with his friends in Japan.  The site was made so it could be viewed in both English and Japanese.   In April of 2006 Zooomer was relaunched and the following month digital media enthusiast Thomas Hawk was hired on as Zooomr's CEO. Zooomr has continued to grow since then and now supports 18 localizations.  For non English speakers, Zooomr may be the most compelling photo sharing option.",,,http://twitter.com/zooomr,
Zoobean,https://www.crunchbase.com/organization/zoobean,http://www.beanstack.com,"Consumer, E-Learning, EBooks, Education, Web Apps","Apps, Content and Publishing, Education, Media and Entertainment, Other, Software","Zoobean offers an application that creates personalized reading challenges, reading tracking, and literacy resources for readers.","Zoobean provides web and mobile applications that help public libraries and schools better engage families and build children's literacy. The core product, Beanstack, provides recommendations matched to each child's interests and tools for earning incentives, including custom reading challenges. It also helps facilitate summer reading programs and encourages families to read all year long.  Founded by Google's former Head of K-12 Education and Washington D.C.'s Teacher of the Year, Zoobean is dedicated to improving children's literacy by providing tools that facilitate personalized learning.",https://www.linkedin.com/company/zoobean,,http://twitter.com/zoobeanreads,http://www.facebook.com/Zoobean
ZOMOBO.CO,https://www.crunchbase.com/organization/zomobo-co,http://zomobo.com,"Apps, Blogging Platforms, Image Recognition, Messaging, News, Real Time, Search Engine, Semantic Search, Video","Apps, Content and Publishing, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Other, Software, Video","Zomobo is a multi-linked, visual and module-based online encyclopedia providing related digital content from multiple sources in real time.","Zomobo is a real-time, multimedia and social encyclopedia with millions of articles providing dynamic, fresh information; itâ€™s free to use and open for public participation, allowing users to discuss specific topics, post and answer questions, share relevant links or contribute in new creative ways. Zomobo presents organized results from Wikipedia, YouTube, Twitter, Flickr, Google News, Books, Blog Posts, and further contextual information, thus providing a quick, practical outlook for every topic. â€œZomobo is an effective medium to find and explore online content about almost any topic, providing a didactic and intuitive way of learning. In every article you get a basic definition, the latest related news, videos, images, twitter messages and relevant links, thus providing a quick, practical outlook of the topic. Since real-time contents are ranked with the most recent coming first, Zomobo can give you new information each day - even if you are looking at the same article. Every article can also be commented, providing a space for people to share facts, relevant links and opinions.â€ The sources in most online encyclopedias are static. Take Wikipedia for example. User submitted articles on Wikipedia have fixed sources for their articles. A change in the source therefore can present a problem for that particular article.Hence the Article freezes until Changes are done by the user. Suppose there was an encyclopedia with the latest sources accompanying its article on a subject. Not only will that be a great help to the encyclopediaâ€™s user, but it would make the article more reliable as well. Realizing the usefulness of such a search engine / encyclopedia and how beneficial it can be to internet users, Zomobo was born in the world of encyclopedias.Zomobo is a free to use Real Time Encyclopedia that updates and gathers the results of our query in real time. The advantage of this is that we get new / different results each time we execute a search, even if our keywords are the same.This makes it a Real-time search engine which is realy effective for a user to look for the latest are most relevant content. In addition to news and trending topics, the site has a simple search bar located at its homepage.Entering keyword in the search bar and starting our search quickly shows us gathered results from a variety of sources including social media sites and video hosting sites, in addition to standard search engine results.Zomobo combines Wikipedia results with real-time information from Twitter, YouTube and other information engines. Zomobo is a great web tool for those who want to learn something new every day, or for people who want to stay on top of any topic. Features:     * Aggregates multiple web feeds about a topic.     * Get information from Wikipedia, Google, Twitter, Digg, YouTube, and more.     * Fast and seamless.     * Free; no sign up required.     * View and post comments for each entry. Visit:- http://zomobo.com/about.php for complete information about websites.",,,http://twitter.com/zomobo,
Zolt Media,https://www.crunchbase.com/organization/zolt-media,http://zoltapp.com/index.html#home,"Content, Content Delivery Network, Media and Entertainment, Mobile Apps, News, Social Media","Apps, Content and Publishing, Internet Services, Media and Entertainment, Mobile, Software","Zolt brings you the most compelling content from the best sources, stripped of their fluff, in just 60 words.","Tweets are too short, long form is too long. Enter Zolt - an app for the news. Zolt gives you bite-sized summaries of the news pulled from the best sources across all categories so that you can quickly get lowdown. Links to the underlying stories are present, so you can read the entire article if you want the full story.  The next time you're stuck in a cab or waiting in line for coffee, you can skim through Zolt and get updated on the world in minutes. Beats seeing your ex's latest status update. Consume more, in less time!",https://www.linkedin.com/company/zolt-app?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A7805137%2Cidx%3A2-5-10%2CtarId%3A1458212340677%2Ctas%3Azolt+,,https://twitter.com/zoltapp,https://www.facebook.com/Zolt-1693501334266876
Zmags,https://www.crunchbase.com/organization/zmags,http://www.zmags.com,"Content, Content Creators, Content Delivery Network, Content Marketing, Retail Technology","Commerce and Shopping, Content and Publishing, Hardware, Media and Entertainment, Sales and Marketing, Software",Creator enables marketers to do more with less. Design + publish interactive digital experiences in a fraction of the cost + time of coding.,"Zmags Creator enables marketers to design and publish endless types of interactive digital experiences without coding. Plugging directly into your existing tech stack, marketers can launch Creator in one hour. Brands like Ethan Allen, AG Jeans, and Cole Haan leverage Creator to drive more revenue from existing digital assets at a fraction of the time and cost of coding.",http://www.linkedin.com/company/167901,,http://twitter.com/zmags,http://www.facebook.com/zmags
