Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Thrasio,https://www.crunchbase.com/organization/thrasio,http://www.thras.io,"Brand Marketing, Consumer Goods, E-Commerce, Retail, Supply Chain Management","Commerce and Shopping, Consumer Goods, Sales and Marketing, Transportation",Thrasio is a digital consumer goods company that acquires third-party businesses and direct-to-consumer e-commerce brands.,"Thrasio is a digital consumer goods company that acquires third-party businesses and direct-to-consumer e-commerce brands. After acquiring the Fulfilled by Amazon (FBA) businesses, the company onboards, optimizes, and operates these brands to expand their reach through marketing, search, product development, and supply chain management, leading to financial and operating growth. It is backed by Advent International, PEAK6 Investments, Upper90, JPMorgan Chase Bank, The Private Credit Group of Goldman Sachs Asset Management, and RBC Capital Markets, as well as Oaktree Capital Management, Bain Capital Credit, Barclays, BlackRock, BofA Securities, Credit Suisse Loan Funding, Monroe Capital, Morgan Stanley Private Credit, and UBS Securities. It was founded in 2018 by Carlos Cashman and Joshua Silberstein and is headquartered in Walpole, Massachusetts.",https://www.linkedin.com/company/thrasio,Unicorn,https://twitter.com/thrasio,https://www.facebook.com/thras.io,27
OneRail,https://www.crunchbase.com/organization/zapt,http://www.onerail.io,"Delivery, Freight Service, Last Mile Transportation, Logistics, Same Day Delivery, Supply Chain Management","Administrative Services, Transportation","OneRail is a final mile orchestration platform that matches the demand signal (POS, ERP, eCommerce) with fulfillment networks in real-time.","OneRail is a final mile delivery orchestration platform providing real-time visibility, actionable data, and data-driven optimization capabilities for its enterprise clients. OneRail’s cloud-based “delivery switch” simplifies same-day and on-demand delivery execution by connecting the demand signal (POS, eCommerce, ERP) with the ecosystem of delivery networks and internal fleets in real-time. The result of OneRail’s centralized view of disparate final mile data enables data-driven optimization, positively impacting the dependability, speed, and cost of final mile fulfillment.",https://www.linkedin.com/company/onerail-finalmile/?viewAsMember=true,,https://twitter.com/onerailapp,https://www.facebook.com/OneRailapp,147
project44,https://www.crunchbase.com/organization/project44,http://www.project44.com/,"Developer APIs, Enterprise Software, Freight Service, SaaS, Shipping, Supply Chain Management, Transportation","Software, Transportation",project44 is a provider of an advanced supply chain visibility platform for shippers and third-party logistics firms.,"project44 is an advanced visibility platform for shippers and third-party logistics firms. project44 connects, automates and provides visibility into key transportation processes to accelerate insights and shorten the time it takes to turn those insights into actions. Leveraging the power of the project44 cloud-based platform, organizations are able to increase operational efficiencies, reduce costs, improve shipping performance, and deliver an exceptional Amazon-like experience to their customers. Connected to over 175,000 carriers worldwide and having comprehensive coverage for all ELD and telematics devices on the market, project44 supports all transportation modes and shipping types, including Parcel, Final-Mile, Less-than-Truckload, Volume Less-than-Truckload, Truckload, Rail, Intermodal and Ocean.",https://www.linkedin.com/company/project-44,,https://twitter.com/freightpipes,https://www.facebook.com/project44Visibility/,168
CloudTrucks,https://www.crunchbase.com/organization/cloudtrucks,https://cloudtrucks.com/,"Apps, Freight Service, Logistics, Shipping, Transportation","Apps, Software, Transportation",CloudTrucks offers a virtual trucking carrier application designed to reduce operating costs for truck drivers.,"CloudTrucks develops a virtual trucking carrier application designed to reduce operating costs for truck drivers. The platform helps to manage and book loads from brokers and shippers, offer instant payments after load delivery, and access to cheap insurance options, enabling truck owners and operators to strategize their schedule and design a revenue-maximizing driving program. The company was founded in 2019 and is headquartered in San Francisco, California.",https://www.linkedin.com/company/cloudtrucks/,,https://twitter.com/CloudTrucks,https://www.facebook.com/cloudtruckshq/,212
Kroger,https://www.crunchbase.com/organization/kroger,http://www.kroger.com,"Grocery, Logistics, Retail","Commerce and Shopping, Food and Beverage, Transportation","Kroger distributes and merchandises food, pharmacy, health and personal care items, seasonal merchandise, and related products and services.","Kroger is a grocery retailer based in Cincinnati, Ohio. The Kroger Co. spans many states with store formats that include grocery and multi-department stores, convenience stores, and mall jewelry stores. They operate under nearly two dozen banners, all of which share the same belief in building strong local ties and brand loyalty with their customers.",https://www.linkedin.com/company/kroger,,https://twitter.com/Kroger,https://www.facebook.com/Kroger,353
Postmates,https://www.crunchbase.com/organization/postmates,https://postmates.com/,"Delivery, Food Delivery, Logistics, Same Day Delivery","Administrative Services, Food and Beverage, Transportation",Postmates is an on-demand food delivery company.,"Postmates is an on-demand food delivery. The platform gives customers access to the most selection of merchants in the US with more than 600,000 restaurants and retailers available for delivery and pickup, many of which are exclusive to Postmates. The market leader in Los Angeles and markets across the southwest, Postmates covers 80% of US households, across all 50 states. Customers can get free delivery on all merchants by joining Postmates Unlimited, the industry's first subscription service.",https://www.linkedin.com/company/postmates,Exited Unicorn,https://twitter.com/postmates,https://www.facebook.com/Postmates,370
Relativity Space,https://www.crunchbase.com/organization/relativity-space,http://relativityspace.com,"3D Technology, Aerospace, Artificial Intelligence, Manufacturing, Supply Chain Management","Artificial Intelligence, Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software, Transportation","Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.","Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.   As a vertically integrated technology platform, Relativity is at the forefront of an inevitable shift toward software-defined manufacturing by fusing 3D printing, artificial intelligence, and autonomous robotics. It offers a radically simplified supply chain, building a rocket with 100x fewer parts in less than 60 days. Relativity Space is backed by leading investors including Bond, Tribe Capital, Playground Global, Y Combinator, Social Capital, and Mark Cuban. Jordan Noone and Tim Ellis co-founded the company in Long Beach, California in 2016.",https://www.linkedin.com/company/relativity,Unicorn,https://www.twitter.com/relativityspace,https://www.facebook.com/relativityspace/,473
Flock Freight,https://www.crunchbase.com/organization/flock-freight,https://www.flockfreight.com/,"Freight Service, Logistics, Shipping, Software, Transportation","Software, Transportation",Flock Freight uses algorithmic pooling technology to allow less-than-truckload (LTL) shippers to share trailer space in one full truckload.,"Flock Freight is reimagining and reinventing the freight industry by relentlessly eliminating inefficiency and waste through algorithmic pooling. Working at the intersection of cutting-edge technology and human-centric logistics management, Flock Freight tailors its shipping experience to meet your business’s needs. Flock Freight seamlessly pools any freight to find the perfect route, avoiding terminals and risky offloads so that a shipment travels safely and directly to its destination, damage-free. The result: on-time delivery with every shipment—guaranteed. With venture capital from Google Ventures and SignalFire, Flock Freight is one of the largest startups in San Diego, California. The company's team is obsessed with aggressively growing its customer base, constantly improving the technology platform, and delivering a superior customer experience.  Flock Freight aims to fundamentally change the $60 billion LTL freight industry across North America with FlockDirect—one pooled shipment at a time.",https://www.linkedin.com/company/flock-freight,Emerging Unicorn,https://twitter.com/flockfreight,https://www.facebook.com/flockfreight/,600
Unioncrate,https://www.crunchbase.com/organization/union-crate,http://unioncrate.com,"Artificial Intelligence, Information Technology, Machine Learning, Predictive Analytics, SaaS, Software, Supply Chain Management","Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software, Transportation",Unioncrate is a supply chain platform that simplifies demand planning and daily operations for consumer goods companies.,"Unioncrate helps consumer goods companies build and manage supply chains that can keep up with the consumer of today. Based in New York City, we are a team of CPG veterans, rebels, and nerds who believe that the future of supply chain will be driven by AI. It powers everything we do. We are obsessed with helping our clients take back the invaluable time, money, and resources that are far too commonly lost by relying on archaic supply chain management systems. That’s why we’ve built an intelligent platform designed specifically for the complexities of a consumer goods industry that’s needlessly stuck in the past.",https://www.linkedin.com/company/union-crate,,https://twitter.com/unioncrate,https://www.facebook.com/Unioncrate-108982357295081/,630
Lineage Logistics,https://www.crunchbase.com/organization/lineage-logistics,http://www.lineagelogistics.com/,"Food Delivery, Food Processing, Information Technology, Logistics, Supply Chain Management","Food and Beverage, Information Technology, Transportation","Lineage Logistics is a warehousing and logistics company built to deliver sophisticated, customized, and dependable cold chain solutions.","Lineage Logistics is the industry’s leading innovator in temperature-controlled supply chain and logistics. Lineage’s expertise in end-to-end logistical solutions, its unrivaled real estate network, and its use of technology combine to promote food safety, increase distribution efficiency, advance sustainability, lessen environmental impact, and minimize supply chain waste. As a result, Lineage helps customers ranging from Fortune 500 companies to small family-owned businesses increase the efficiency and protect the integrity of their temperature-controlled supply chain. In recognition of the company’s leading innovations, Lineage was recognized as the No 1. Data Science company on Fast Company’s annual list of the World’s Most Innovative Companies in 2019, in addition to ranking 23rd overall in an evaluation of thousands of companies worldwide.",https://www.linkedin.com/company/lineage-logistics,,https://twitter.com/OneLineage,https://www.facebook.com/lineagelogistics/,645
