Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
Airomo Inc,https://www.crunchbase.com/organization/airomo,http://www.airomo.com,"App Discovery, Software","Apps, Sales and Marketing, Software",Engagement and Monetization services for Mobile Publishers.,"Airomo is your mobile lifestyle management company. Airomo is building products and solutions to enrich and improve consumer's mobile lifestyle and to help app developers and website owners to acquire and retain the right users. Airomo delivers contextually relevant, mobile app content for the mobile and web publishers:  - App Discovery Products - The most comprehensive mobile app discovery solutions to fit all your online habits. Discover the apps that matter. Manage your devices from the web. For more visit http://www.airomo.com/consumer-products.html  - User Engagement - Improve User Engagement and User Retention on your mobile apps and mobile web products. For more visit http://www.airomo.com/user-engagement.html  - User Acquisition - Acquire qualitative users who are more likely to use your mobile apps for longer duration. For more visit http://www.airomo.com/user-acquisition.html Airomo developed AppCurl, the mobile app discovery engine http://appcurl.com Also AppCurl mobile client is available in:  - iTunes App Store https://itunes.apple.com/us/app/appcurl-discover-awesome-apps/id675667680  - Google Play https://play.google.com/store/apps/details?id=com.airomo.appcurl  - Amazon App Store http://www.amazon.com/Airupt-Inc-AppCurl/dp/B008RBMML4/",http://www.linkedin.com/company/airomo-inc,,http://twitter.com/airomoinc,http://www.facebook.com/pages/airomocom/291976337480480
AktaryTech,https://www.crunchbase.com/organization/aktarytech,http://aktarytech.com/index.html#contact,"App Discovery, Computer, Software","Apps, Consumer Electronics, Hardware, Sales and Marketing, Software",AktaryTech is a Silicon Beach tech company with clients ranging from startups to the Fortune.,"AktaryTech is a Silicon Beach tech company with clients ranging from startups to the Fortune 500. Their three main lines of business are custom software development, technology consulting, and technical recruiting. They also incubate and grow their own portfolio of companies.",https://www.linkedin.com/company/aktarytech/about/,,https://twitter.com/aktarytech?lang=en,https://www.facebook.com/AktaryTech/
appAttach,https://www.crunchbase.com/organization/appattach,http://www.appattach.com,"App Discovery, Apps, Hardware, Mobile Devices","Apps, Consumer Electronics, Hardware, Mobile, Sales and Marketing, Software","appAttach is an online marketplace that connects PC, tablet, and smartphone providers with app developers.","appAttach offers a powerful app distribution and analytics platform, which gives developers and PC, tablet, and smartphone providers the tools needed to easily find, transact, and manage preload deals. The company was founded in 2009 and is based in Kirkland, Washington.",http://www.linkedin.com/company/1567379,,http://twitter.com/appAttach,http://www.facebook.com/pages/AppAttach/409136459151139
AppCow,https://www.crunchbase.com/organization/appcow,http://www.appcow.nyc/,"App Discovery, Apps, CRM, E-Commerce, Mobile","Apps, Commerce and Shopping, Information Technology, Mobile, Sales and Marketing, Software",Turning first time buyers into repeat customer throughout the smart-phone supply chain.,"AppCows is an intuitive and easy to use CRM solution designed for the smartphone supply chain, helping the mobile industry explore uncharted channels to smartphone users, creating recurring revenue and repeat customers through a mobile first experience.",https://www.linkedin.com/company/appcow,,https://twitter.com/App_Cow,https://www.facebook.com/appc0w
AppGenius,https://www.crunchbase.com/organization/appgenius,http://appgenius.com,"App Discovery, Social Media","Apps, Internet Services, Media and Entertainment, Sales and Marketing, Software","AppGenius helps connect users to great apps through personalizied charts. Developers, get new users and media exposure free!","AppGenius is an app store that begins by getting to know what a person cares about in all aspects of life, e.g., yoga, baking, meditation, etc. This allows us to curate the 1.5M apps and create custom charts according to that individual’s interests.  See friends' app lists, what apps are trending socially, and make more contextual decisions on what to download. To keep our users and apps connected, we aggregate a person's downloaded app media and news stories in one centralized newsfeed so content is no longer buried behind pages of unopened apps. Our mission is to help developers find and engage their audience without having to pay outrageous costs so every app can have a fighting chance! We offer acquisition, retention, and predictive analytics all starting at a low monthly rate.",,,https://twitter.com/JoinAppGenius,https://www.facebook.com/appgeniusofficial
Appgravity,https://www.crunchbase.com/organization/appgravity,http://appgravity.com/,"App Discovery, Web Development","Apps, Sales and Marketing, Software",Appgravity is an Android app search engine that allows its users to search for Android apps by name or by keywords.,"Appgravity is an Android app search engine that allows its users to search for Android apps by name or by keywords. Appgravity enables its users to filter the search results by category and list in order of relevance, age, rating, and number of downloads. It also provides a button that allows its users to send a link to the Download or Purchase page on the Market. Appgravity was founded in 2010 and is based in Chicago, I.L.",,,http://twitter.com/appgravity,http://www.facebook.com/appgravity
Appigniter,https://www.crunchbase.com/organization/appigniter,https://appigniter.com,"Ad Network, App Discovery, App Marketing, Mobile Advertising","Advertising, Apps, Sales and Marketing, Software","Appigniter utilizes big data, behavioral sciences, and cross-device targeting to connect app marketers with desktop users.","Appigniter utilizes big data, behavioral sciences, and cross-device targeting to connect app marketers with desktop users.",https://www.linkedin.com/company/appigniter,,https://twitter.com/app_igniter,https://www.facebook.com/appigniter/
AppTap,https://www.crunchbase.com/organization/apptap,http://apptap.com,"Ad Network, Advertising, Android, App Discovery, Apps, iOS, Mobile","Advertising, Apps, Mobile, Platforms, Sales and Marketing, Software",AppTap is an application discovery and advertising network.,"AppTap (formerly mpowerplayer) is the leading app discovery and advertising network - combining contextual and behavioral targeting to deliver the right app, to the right user, at the right time - and at scale. App developers partner with AppTap to distribute their apps to their target audience at scale. Mobile publishers and carriers  use AppTap to monetize their inventory and engage their users.",,,http://twitter.com/apptap,
Apscout,https://www.crunchbase.com/organization/apscout,http://www.apscout.com,"App Discovery, Information Technology, Mapping Services, SaaS, Software","Apps, Information Technology, Navigation and Mapping, Sales and Marketing, Software",Apscout is a Operator of SaaS-based platform.,"Operator of SaaS-based platform.The company provides SaaS based business service management platform that simplifies the management of complex IT environments, accelerates datacenter transformation initiatives and infrastructure assessments it also provides IT consultants services to mid-sized IT organizations.",https://www.linkedin.com/company/apscout-llc/about/,,,
Badge Media,https://www.crunchbase.com/organization/badge-media,http://badgemedia.co,"Advertising, App Discovery, App Marketing, Big Data, CRM, Mobile Advertising, Social Media Marketing","Advertising, Apps, Data and Analytics, Information Technology, Sales and Marketing, Software",The best in mobile advertising. Build trust with every targeted interaction.,"Badge Media is simply the best way to increase your ROI for Facebook mobile ads.  We refine and optimize your mobile campaigns to ensure maximum engagement at the lowest cost. We accomplish this through relevant keywords, enhanced images, and creative ad copy specific to your best-performing segments. This combined with our 24/7 analysis allows us to deliver the most compelling mobile campaigns.",https://www.linkedin.com/company/badge-media,,https://twitter.com/badgemedia,https://www.facebook.com/BadgeMedia
