Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
3LINX Unified Commerce,https://www.crunchbase.com/organization/3linx,http://www.3linx.com,"Delivery, E-Commerce, Logistics, Shipping, Software","Administrative Services, Commerce and Shopping, Software, Transportation",3LINX helps online merchants automate the omni-channel order fulfillment process through a network or global fulfillment centers,3LINX helps online merchants automate the omni-channel order fulfillment process through a network or global fulfillment centers,http://www.linkedin.com/company/3linx,,http://twitter.com/3LINX,http://www.facebook.com/3linx
Amba Solutions,https://www.crunchbase.com/organization/amba-solutions,http://www.ambasolutions.com/,"Computer, CRM, Delivery, Information Technology, Network Security, Software","Administrative Services, Consumer Electronics, Hardware, Information Technology, Privacy and Security, Sales and Marketing, Software",Amba Solutions Inc. has been providing professional services for more than five years .,"Amba Solutions Inc. is completely focused and committed to the success of their customers. This is evident by their performance evaluation by Dun & Bradstreet where their customers rated us with average of 96% score on satisfaction with their business relations, professionalism and knowledge of their employees. They believe in successful delivery of their projects – on time, on budget meeting the expectations and requirements of their customers. They are flexible in their approach, creative and entrepreneurial. They believe in quality standards whether it is ISO 9001, Six Sigma, SEI CMM or Rational Rose Methodology. They have delivered big significant projects for the government and corporate sector on time and on budget with the highest possible customer satisfaction ratings. Their people are ultimate professionals with strong educational and industry background and deep varied experience in various industry sectors. They work with highest ethical standards. They want to work with you to deliver quality product that is cost effective and would exceed your expectations.",https://www.linkedin.com/company/amba-solutions-inc-/,,,
Ankeena Networks,https://www.crunchbase.com/organization/nokeena,http://www.ankeena.com,"Delivery, Internet, Media and Entertainment, Software, Video","Administrative Services, Internet Services, Media and Entertainment, Software, Video",Ankeena Networks develops media infrastructure solutions that deliver online media at massive scales.,Ankeena develops media infrastructure solutions deliver online media at a massive scale. The solution is fully interoperable with industry standard players and other infrastructure elements.,,,http://twitter.com/Ankeena,
Applexus,https://www.crunchbase.com/organization/applexus,http://www.applexus.com/,"Consulting, CRM, Delivery, E-Commerce, Information Technology","Administrative Services, Commerce and Shopping, Information Technology, Professional Services, Sales and Marketing, Software","Applexus offers consulting, products & services in SAP, eCommerce, UX, BI, IoT & Cloud. We focus for Fashion, Retail and CPG industries.","Applexus Technologies is a global business solutions and technology services company that offer software development, technology deployment, and implementation services for ERP, omnichannel commerce, business intelligence, IoT and other emerging technologies. At our core, we are a results-driven systems integrator, but we are much more than that. Applexus is organized into four business units: Applexus Consulting - provides world-class end-to-end implementation, development and technology deployment services through a proprietary methodology which combines a blended delivery model with unique accelerators. Applexus Staffing - offers onsite, nearshore and offshore role-specific personnel to augment IT staff at the lowest price in the industry without sacrificing quality. Applexus Labs - is a boutique consultancy built around ‘Innovation as a Service,’ taking on projects normally considered too niche, too risky or too specialized. Specific services include proof of concept, rapid prototyping, and solution development. Applexus Cloud Solutions - sells and supports the latest SAP SaaS solutions - S/4HANA public and private cloud - our own add-on solutions, infrastructure as a service and complete Application Management Services (AMS). Since 2005, Applexus has built long-term relationships with a diverse set of customers in North America, the United Kingdom, the Middle East and India.",https://www.linkedin.com/company/applexus,,https://twitter.com/Applexus,https://www.facebook.com/applexus-227497443938716
ApplianceWare,https://www.crunchbase.com/organization/applianceware,http://applianceware.com/,"Communications Infrastructure, Delivery, Software","Administrative Services, Hardware, Software","ApplianceWare, Inc. produces management, communications and service delivery software for the server appliance and ASP/SSP markets.","ApplianceWare, Inc. produces management, communications and service delivery software for the server appliance and ASP/SSP markets. By powering a server appliance offering with ApplianceWare, companies gain self-healing and updating capabilities plus the ability to manage all their appliances from a single screen. ApplianceWare is headquartered in Fremont, California.",,,,
Applicantz,https://www.crunchbase.com/organization/applicantz,https://www.applicantz.com,"Delivery, Human Resources, Robotics, Software","Administrative Services, Hardware, Science and Engineering, Software","Using AI & RPA, we reduce recruitment cost and generate powerful results","Using AI & RPA, we reduce recruitment cost and generate powerful results We are transforming the recruitment landscape by continually moving human intelligence to machines. Our advanced algorithms and custom development ensure that recruitment organizations become more efficient and effective by leveraging our technology.",https://www.linkedin.com/company/applicantz-ai/,,https://twitter.com/ApplicantzAI,
Applied Systems Technology,https://www.crunchbase.com/organization/applied-systems-technology,http://www.astusa.com,"Consulting, Delivery, Information Technology, Software","Administrative Services, Information Technology, Professional Services, Software",Applied Systems Technology is a staffing software development and management consulting firm.,"Applied Systems Technology is a staffing software development and management consulting firm exclusively serving the staffing industry. Since 1985, Applied Systems Technology have helped staffing firms to re-engineer their business processes and better realize the potential of technology to drive change, improve efficiency, and enhance profitability.",https://www.linkedin.com/company-beta/88706,,,
Atbee Inc.,https://www.crunchbase.com/organization/atbee-inc,https://atbeeapp.com,"Apps, Delivery, Nutrition","Administrative Services, Apps, Food and Beverage, Health Care, Software",Healthy Food Options Delivered At The Push Of A Button,https://Atbeeapp.com,,,https://www.twitter.com/atbee_,https://www.facebook.com/atbeedelivery
Atheer,https://www.crunchbase.com/organization/atheer,http://atheerair.com/,"3D Technology, Augmented Reality, Data Visualization, Delivery, Hardware, Mobile, Software","Administrative Services, Data and Analytics, Design, Hardware, Information Technology, Mobile, Software",Atheer is the pioneer of AiR (Augmented interactive Reality) computing.,"Atheer is the pioneer of the AiR™ (Augmented interactive Reality) smart glasses platform, designed to enhance the productivity and safety of deskless professionals at Fortune 1000 companies.  The award-winning Atheer AiR platform consists of the following:  •	AiR Glasses, the world’s most interactive 3D smart glasses  •	The Android-based AiR OS  •	The cloud-based, collaboration-centric AiR Enterprise Suite  AiR Glasses enable users to view critical work information right in their field-of-view and interact with it using familiar gestures, voice commands, and motion tracking. With the AiR Enterprise Suite, users can collaborate with remote experts via video calls and receive guidance through real-time image annotations to increase efficiency - all while keeping focus on the task at hand.  Developers and companies around the world are leveraging the AiR platform and its open AiR SDK (Software Developer Kit) to create enterprise applications and workflows for high value tasks in industrial, energy, healthcare, insurance, construction and logistics industries.",http://www.linkedin.com/company/atheer,,https://twitter.com/atheerair,https://www.facebook.com/Atheerlabs
AtYourGate,https://www.crunchbase.com/organization/yourgate,http://www.atyourgate.com,"Delivery, Leisure, Mobile Apps, Security, Tourism, Travel","Administrative Services, Apps, Community and Lifestyle, Mobile, Privacy and Security, Software, Travel and Tourism",AtYourGate is a mobile app making air travel more enjoyable with in-airport pre and post-security delivery.,"AtYourGate is a mobile app making air travel more enjoyable with in-airport pre and post-security delivery. It allows users to browse and order preferable meals from restaurants inside and outside the airport while traveling by air and get those items delivered, enabling flight passengers to get access to preferable food in a shorter timespan. The mobile app also develops an online food delivery application designed to deliver food and beverages to travelers inside the airport. AtYourGate was established in 2015 and is based in San Diego, California, USA.",https://www.linkedin.com/company/-yourgate-llc,,https://www.twitter.com/yourgate,https://www.facebook.com/weareatyourgate
AutomotoHR,https://www.crunchbase.com/organization/automotohr,https://www.automotohr.com/,"Automotive, Delivery, Human Resources, Recruiting, Software, Staffing Agency","Administrative Services, Professional Services, Software, Transportation","AutomotoHR is designed to be your one-stop shop, for all your HR and hiring needs.","AutomotoHR is Recruit, Onboard, and Manage all of your Employees in one place with a single login. Hire to Retire Talent Management platform. AutomotoHR is designed to be your one-stop shop, for all your HR and hiring needs. Easily manage your job postings and advertise on the places that matter.  - Your career website. - Your company Facebook page. - Any job board. - Then manage all your candidates in one place.Run and manage Assesment and Background checks without leaving the system.",https://www.linkedin.com/showcase/3696348/,,https://twitter.com/AutomotoSocial,https://www.facebook.com/Automotohr-763689007065564/
Avot Media,https://www.crunchbase.com/organization/avot-media,http://www.avotmedia.com,"Advertising, Delivery, iOS, Mobile, Telecommunications, Video","Administrative Services, Advertising, Hardware, Media and Entertainment, Mobile, Platforms, Sales and Marketing, Software, Video",Avot Media offers an advanced mobile video delivery platform for content owners and wireless operators.,"Avot Media provides the industry's most advanced mobile video delivery platform.  Avot Media's tipMotion platform allows wireless operators and content owners to efficiently deliver videos to any mobile device in near real-time with the best user experience. tipMotion is a high performance video delivery platform that dynamically formats and delivers video to mobile users while reducing the overall work flow complexity and challenges of content delivery. The tipMotion solution features an ad insertion engine that lets content owners monetize their videos, creating new revenue streams.  Founded in 2007, the company is led by industry veterans and is headquartered in Sunnyvale, CA.",,,,
Barracuda Networks,https://www.crunchbase.com/organization/barracuda-networks,http://www.barracuda.com,"Cloud Data Services, Delivery, Enterprise Software, Information Technology, Internet, Robotics, Software, Telecommunications, Virtual Reality, Virtualization","Administrative Services, Hardware, Information Technology, Internet Services, Science and Engineering, Software","Barracuda is a provider of powerful, easy-to-use, affordable IT solutions for security and storage.","Barracuda Networks designs, develops, manufactures, distributes, and sells email and web security appliances. It offers cloud-connected solutions that help its customers address security threats, enhance network performance, and protect and store their data. The company’s products include Barracuda Spam Firewall, an integrated hardware and software solution for the protection of email servers from spam, virus, spoofing, phishing, and spyware attacks; Barracuda Web Filter, a solution to enforce organizational internet usage policies; Barracuda IM Firewall, an IM solution that provides IM server and gateway technologies; and Barracuda Website Firewall which offers protection against hackers' attempts. Watch an analyst interview with Steve Pao, GM, Security Business, here: https://vimeo.com/127091386 The company's products also include Barracuda Message Archiver, an email archiving solution and Barracuda Load Balancer that integrates server load balancing and network intrusion prevention solutions into network appliances. In addition, it provides IM protection, application server load balancing, and message archiving appliances as well as Barracuda Backup Service, a local and cloud-based data backup and disaster recovery solution hosted by data centers for businesses in Europe. Barracuda Networks’ solutions deliver protection against enterprise-class spam, spyware, viruses, and IT infrastructure threats. It sells its products through a network of distributors in the United States and internationally. The company sells its appliances, services, and software products to the education, government, financial services, healthcare, professional services, telecommunications, retail, and manufacturing industries. Barracuda Networks was founded in 2002 and is headquartered in Campbell, California with additional offices in the United Kingdom, Canada, Australia, India, Pakistan, the United Arab Emirates, and China.",https://www.linkedin.com/company/13957/,,http://twitter.com/Barracuda,http://www.facebook.com/BarracudaNetworks
Bedestrian,https://www.crunchbase.com/organization/bedestrian,https://www.bedestrian.com/,"Delivery, Software","Administrative Services, Software",Bedestrian develops autonomous systems for serving people through delivery of goods and services.,"Bedestrian has an innovative driverless vehicle system for delivery of goods via a lead nimble vehicle and a modular cost-effective trailer; and a software platform called INFOBOTICS, for navigation, logistics, and best in class human-machine interaction at point of use and point of sale.",,,,
BeerDropper,https://www.crunchbase.com/organization/beerdropper,http://www.BeerDropper.com,"Courier Service, Developer Platform","Administrative Services, Software, Transportation",On-demand alcohol delivery platform.,"BeerDropper provides on-demand alcohol delivery, focused on making alcohol consumption by adults of legal drinking age safer and more convenient in the undeveloped, on-demand college and residential markets. Partnering with local retailers, BeerDropper (which doesn't sell or deliver alcohol itself), acts as a middle man and marketing channel for retailers to reach their customers. BeerDropper is uniquely suited for this market due to its patented ID validation and data management technology that can help make on-demand delivery more safe, secure, convenient, and efficient. After proof of concept in this industry, we plan to expand to adjacent markets including pharmaceuticals, healthcare, banking, government, education, entertainment, and transportation.",,,https://www.twitter.com/beerdropper,https://www.facebook.com/beerdropper
Bistwork Corp,https://www.crunchbase.com/organization/bistwork-corp,https://www.bistwork.com,"Apps, Delivery, Human Resources, Information Technology, Internet","Administrative Services, Apps, Information Technology, Internet Services, Software","Founded in 2016, Bistwork connects the right people with the right jobs—faster, easier, and better than anyone else. ","Founded in 2016, Bistwork connects the right people with the right jobs—faster, easier, and better than anyone else.  Companies of all sizes have used Bistwork to find the best talent in their industry. Unlike other job sites, only Bistwork posts jobs to 100+ job boards and utilizes proprietary matching technology to quickly deliver the most qualified candidates.",,,https://twitter.com/bistworkcorp,https://www.facebook.com/Bistwork/
Blackbird Logistics,https://www.crunchbase.com/organization/blackbird-logistics,https://myblackbird.com/,"Delivery, Delivery Service, Logistics, Software","Administrative Services, Software, Transportation","Blackbird provides its customers with software, distribution, and delivery ecosystem, and customer service possible.","Blackbird provides its customers with software, distribution, and delivery ecosystem, and customer service possible. The company offers operations and software solutions at each touchpoint in the cannabis supply chain. Blackbird builts out a powerful distribution ecosystem to help a business be more efficient, increase revenue and decrease costs.",https://www.linkedin.com/company/blackbird-logistics-corporation/,,,
Blockit,https://www.crunchbase.com/organization/blockit,https://www.Blockitnow.com,"Delivery, Health Care, Information Technology, Software","Administrative Services, Health Care, Information Technology, Software",Blockit develops a healthcare appointment scheduling software intended to simplify scheduling of healthcare appointments and referrals.,"Blockit develops a healthcare appointment scheduling software intended to simplify scheduling of healthcare appointments and referrals. The company's healthcare software permits the sharing of availability and coordination of scheduling, allowing physicians to manage and coordinate scheduling with the patient and other caregivers.",https://www.linkedin.com/company-beta/16188895/,,,
Blu Sky,https://www.crunchbase.com/organization/blu-sky,http://www.bluscs.com,"Delivery, Education, Health Care, Internet, Software","Administrative Services, Education, Health Care, Internet Services, Software",Blu Sky provides health care software products and programming services to education institutions and healthcare service providers.,They provide health care software products and programming services to education institutions and healthcare service providers looking to create better outcomes for their users.,http://www.linkedin.com/company/blu-sky-creative,,http://twitter.com/bluskycreative,http://www.facebook.com/bluskycreative
BoB Partners,https://www.crunchbase.com/organization/bob-partners,http://www.bobpartners.com,"Consulting, Delivery, Enterprise Software","Administrative Services, Professional Services, Software",BoB Partners is a systems integration and consulting firm delivering software solutions for reliable and scalable enterprise systems.,Best of Breed Technology Partners (BoB Partners) is a Systems Integration and Consulting firm delivering software solutions using market leading products and open source technologies for reliable and scalable enterprise systems.,,,,
Bodega,https://www.crunchbase.com/organization/bodega-2aa6,,"Delivery, E-Commerce, Food and Beverage, Grocery, Mobile Apps, Retail Technology, Wine And Spirits","Administrative Services, Apps, Commerce and Shopping, Food and Beverage, Hardware, Mobile, Software",Bodega is a location-based instant grocery delivery service.  ,Bodega is a location-based instant grocery delivery service. A double-sided network that connects shoppers with corners stores around them. The best way to get groceries delivered immediately.,https://www.linkedin.com/company/bodeganow/,,https://twitter.com/bodeganow,https://www.facebook.com/bodeganow
Borland,https://www.crunchbase.com/organization/borland,http://www.borland.com,"Delivery, Enterprise Software, Hardware, Software","Administrative Services, Hardware, Software","Build better quality software, faster with market leading solutions for Requirements, Test &amp; Change Management. Open. Agile. Enterprise.","Build better quality software, faster with market leading solutions for Requirements, Test &amp; Change Management. Open. Agile. Enterprise.",,,https://www.twitter.com/frank_borland,https://www.facebook.com/microfocus
BrewDrop,https://www.crunchbase.com/organization/brewdrop,http://www.brewdrop.com/,"Apps, Craft Beer, Delivery, Mobile, Wine And Spirits","Administrative Services, Apps, Food and Beverage, Mobile, Software",A liquor store in the palm of your hand,"We can get pretty much anything delivered to our doorsteps these days. So why not alcohol too? BrewDrop users can order beer, wine, and liquor from their smartphones for real-time delivery. Think of it like pizza delivery for alcohol. A liquor store at your fingertips.",http://www.linkedin.com/company/brewdrop-inc-,,http://twitter.com/brewdrop,http://www.facebook.com/brewdrop
Bross Group,https://www.crunchbase.com/organization/bross-group,http://brossgroup.com,"Consulting, CRM, Delivery, Information Technology, Mobile","Administrative Services, Information Technology, Mobile, Professional Services, Sales and Marketing, Software",Bross Group is an IT consulting and staffing firm dedicated to helping clients with all of their IT staffing and service requirements.,"Bross Group is an IT consulting and staffing firm dedicated to helping clients across multiple industries with all of their IT staffing and service requirements. It is specialized in assisting its clients identify and engage the best IT professionals for all of their managed services, consulting, direct placement, and staff augmentation needs. Bross Group is a Microsoft Gold Certified partner with extensive SharePoint expertise, as well as years of experience within Business Intelligence, Application Development, and Cloud Computing. Founded in 2003, Bross Group is based in Lakewood, C.O.",https://www.linkedin.com/company/bross-group,,http://twitter.com/brossgroup,http://www.facebook.com/brossgroup
Burro,https://www.crunchbase.com/organization/burro,http://getburro.com,"Apps, Collaborative Consumption, Delivery, E-Commerce, iOS, Local, Logistics, Mobile Apps","Administrative Services, Apps, Commerce and Shopping, Mobile, Other, Platforms, Sales and Marketing, Software, Transportation","On-demand delivery, moving and hauling.","Burro is a mobile application for Android and iOS devices that offers delivery and on-demand moving services to its users. The application enables its users to request pickups by filling up their personal information and items required. The platform offers its services to individuals and businesses. Its delivery portfolio consists of household goods, carpets, wood, and retail store items. Burro was launched in 2014 by Jason Ervin and Ethan Hurtado and is based in Texas.",,,https://www.twitter.com/getburro,
Career Square,https://www.crunchbase.com/organization/career-square,http://www.careersquare.com,"Advertising, Career Planning, Delivery, Education, Employment, Human Resources, Search Engine, Staffing Agency, Web Development","Administrative Services, Advertising, Education, Internet Services, Professional Services, Sales and Marketing, Software",Career Square is an online platform for employers to find job seekers and vice versa.,"Career Square is a Glory Advertising, Inc. brand. Glory Advertising is publicly known as being a Christian based company. Career Square is a fresh, renewed platform for employers to find career seekers and vice versa. Career Square's focus for employers is for long term employment, reducing turnover rates and hiring costs. The emphasis for job seekers is to become career pursuers. Instead of individuals searching simply for employment to get by, CS strives to help them find their dreams and ambitions through their desired occupation or profession.  In addition to this, there is also a course section that allows career seekers and potential students to find education courses. Whether searching for advanced degrees, continuing education courses, or professional development, they are focused on helping career minded individuals find solutions to their edification needs.",http://www.linkedin.com/company/career-square,,http://twitter.com/mycareersquare,http://www.facebook.com/mycareersquare
