Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Thrasio,https://www.crunchbase.com/organization/thrasio,http://www.thras.io,"Brand Marketing, Consumer Goods, E-Commerce, Retail, Supply Chain Management","Commerce and Shopping, Consumer Goods, Sales and Marketing, Transportation",Thrasio is a digital consumer goods company that acquires third-party businesses and direct-to-consumer e-commerce brands.,"Thrasio is a digital consumer goods company that acquires third-party businesses and direct-to-consumer e-commerce brands. After acquiring the Fulfilled by Amazon (FBA) businesses, the company onboards, optimizes, and operates these brands to expand their reach through marketing, search, product development, and supply chain management, leading to financial and operating growth. It is backed by Advent International, PEAK6 Investments, Upper90, JPMorgan Chase Bank, The Private Credit Group of Goldman Sachs Asset Management, and RBC Capital Markets, as well as Oaktree Capital Management, Bain Capital Credit, Barclays, BlackRock, BofA Securities, Credit Suisse Loan Funding, Monroe Capital, Morgan Stanley Private Credit, and UBS Securities. It was founded in 2018 by Carlos Cashman and Joshua Silberstein and is headquartered in Walpole, Massachusetts.",https://www.linkedin.com/company/thrasio,Unicorn,https://twitter.com/thrasio,https://www.facebook.com/thras.io,27
Groupon,https://www.crunchbase.com/organization/groupon,http://www.groupon.com,"E-Commerce, Internet, Retail, Social Media","Commerce and Shopping, Internet Services, Media and Entertainment",Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies.,"Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies. It is known as an online e-commerce platform that provides its users with the ability to purchase any product. Groupon offers consumers a vast marketplace of deals all over the world. Its users have the ability to discover various products on the web or on mobile with Groupon Local; enjoy vacations with Groupon Getaways; and find a curated selection of electronics, fashion, home furnishings, and more with Groupon Goods. Groupon provides merchants with a collection of products and services, including customizable deal campaigns, credit card payment processing capabilities, and point-of-sale solutions. The platform was launched in 2011 and is based in Chicago Heights, I.L.",http://www.linkedin.com/company/groupon,Exited Unicorn,http://twitter.com/groupon,http://www.facebook.com/groupon,90
Casper,https://www.crunchbase.com/organization/casper,https://casper.com/,"E-Commerce, Lifestyle, Product Design, Retail","Commerce and Shopping, Community and Lifestyle, Design","Casper is a sleep startup that launches a comfortable mattress sold directly to consumers, eliminating commission ­driven, inflated prices.","Casper is a sleep startup that launches a comfortable mattress sold directly to consumers, eliminating commission ­driven, inflated prices. Casper's mattresses are developed in-house by a team of product engineers with experience from IDEO.  The company developed a line of core sleep products, including the Casper pillow, sheets, foundation, bed frame, duvet, and a dog mattress.  The startup was founded in 2014 and is based in New York, United States.",https://www.linkedin.com/company/casper/,Exited Unicorn,https://twitter.com/casper,https://www.facebook.com/Casper/,110
Coinbase,https://www.crunchbase.com/organization/coinbase,http://www.coinbase.com,"Bitcoin, Blockchain, Cryptocurrency, E-Commerce, Ethereum, FinTech, Personal Finance, Virtual Currency","Commerce and Shopping, Financial Services, Other, Payments, Software",Coinbase is a digital currency wallet service that allows traders to buy and sell bitcoin.,"Coinbase is an online platform that allows merchants, consumers, and traders to transact with digital currency. It allows its users to create their own bitcoin wallets and start buying or selling bitcoins by connecting with their bank accounts. In addition, it provides a series of merchant payment processing systems and tools that support many highly-trafficked websites on the internet. Coinbase was launched in 2012 with a mission to create an open financial system for the world. It is operated from San Francisco, California.",https://www.linkedin.com/company/coinbase/,Unicorn,http://twitter.com/coinbase,http://www.facebook.com/Coinbase,142
Grubhub,https://www.crunchbase.com/organization/grubhub,http://www.grubhub.com,"Apps, E-Commerce, Food and Beverage, Food Delivery, Internet, Marketplace, Mobile Apps, Restaurants","Apps, Commerce and Shopping, Food and Beverage, Internet Services, Mobile, Software, Transportation",Grubhub is a online and mobile food ordering and delivery marketplace dedicated to connecting diners with local restaurants.,"Grubhubis a online and mobile food-ordering and delivery marketplace with the largest and most comprehensive network of restaurant partners, as well as nearly 24 million active diners. Dedicated to connecting diners with the food they love from their favourite local restaurants, Grubhub elevates food ordering through innovative restaurant technology, easy-to-use platforms and an improved delivery experience. Grubhub features nearly 300,000 restaurants and is proud to partner with more than 200,000 of these restaurants in over 4,000 U.S. cities. The Grubhub portfolio of brands includes Grubhub, Seamless, LevelUp, AllMenus and MenuPages.",https://www.linkedin.com/company/grubhub-seamless/,,http://twitter.com/GrubHub,http://www.facebook.com/grubhub,153
LendingPoint,https://www.crunchbase.com/organization/lendingpoint,http://lendingpoint.com/,"E-Commerce, Finance, Financial Services, FinTech, Lending","Commerce and Shopping, Financial Services","LendingPoint is a financial technology platform for e-commerce, point of sale, lending institutions, and consumers.","LendingPoint is a financial technology platform that provides financing origination tools for e-commerce, point-of-sale, lending institutions, and consumers. It is committed to redefining who is able to access money at fair rates, and empowering consumers to build financial momentum. The company was founded in 2014 and is headquartered in Kennesaw, Georgia.",https://www.linkedin.com/company/lendingpoint,,https://www.twitter.com/lploans,https://www.facebook.com/lendingpoint1,181
Kount,https://www.crunchbase.com/organization/kount,http://www.kount.com,"E-Commerce, Fraud Detection, Risk Management, SaaS","Commerce and Shopping, Financial Services, Payments, Privacy and Security, Professional Services, Software","Kount’s fraud management, identity verification and online authentication technology empowers digital businesses and online merchants.","Kount’s award-winning fraud management, identity verification and online authentication technology empowers digital businesses, online merchants and payment service providers around the world. With Kount, businesses approve more orders, uncover new revenue streams, and dramatically improve their bottom line all while minimizing fraud management cost and losses. Through Kount’s global network and proprietary technologies in AI and machine learning, combined with policy and rules management, companies frustrate online criminals and bad actors driving them away from their site, their marketplace and off their network. Kount’s continuously adaptive platform provides certainty for businesses at every digital interaction. Kount’s advances in both proprietary techniques and patented technology include: Superior mobile fraud detection, Advanced artificial intelligence, Multi-layer device fingerprinting, IP proxy detection and geo-location, Transaction and custom scoring, Global order linking, Business intelligence reporting, Comprehensive order management, Professional and managed services.",https://www.linkedin.com/company/kount,,https://www.twitter.com/kountinc,https://www.facebook.com/kountinc,197
Wayfair,https://www.crunchbase.com/organization/wayfair,https://www.wayfair.com,"E-Commerce, Furniture, Home Decor, Retail","Commerce and Shopping, Consumer Goods, Real Estate","Wayfair is an online retailer of home products for bedroom, living room, kitchen and dining, home entertainment, bathroom, and more.","Wayfair is the largest pure-play online retailer of home goods in the US. Key categories for the company include furniture, decor, kitchen & dining products, home improvement, patio & garden, and baby. The company, founded in 2002 as CSN Stores, is based in Boston, MA, and has additional offices in Utah, Kentucky, New York, Galway, Ireland, London, England and Berlin, Germany.  Wayfair employs over 2,300 people across those offices. In 2014, Wayfair's sales exceeded $1.3 billion.",https://www.linkedin.com/company/wayfair/,Exited Unicorn,https://twitter.com/wayfair,http://www.facebook.com/wayfair,199
The Honest Company,https://www.crunchbase.com/organization/the-honest-company,http://www.honest.com,"Consumer Goods, Dietary Supplements, E-Commerce, Lifestyle","Commerce and Shopping, Community and Lifestyle, Consumer Goods, Food and Beverage, Health Care","The Honest Company creates eco-friendly, convenient, and affordable products for babies and homes.","The Honest Company creates eco-friendly, convenient, and affordable products for babies and homes. Its products include eco-friendly diapers and a natural line of bath, skincare, home cleaning, and organic nutritional supplement products all packed in convenient bundles that can be customized, personalized, and conveniently shipped whenever needed. The company was founded in 2011 and headquartered in California, United States.",https://www.linkedin.com/company/the-honest-company/,Unicorn,http://twitter.com/Honest,http://www.facebook.com/TheHonestCompany,209
Vroom,https://www.crunchbase.com/organization/vroom-com,https://www.vroom.com/,"Automotive, E-Commerce, Marketing, Sales","Commerce and Shopping, Sales and Marketing, Transportation","Vroom is an innovative, end-to-end ecommerce platform designed to offer a better way to buy and sell used vehicles.","Vroom is an innovative, end-to-end e-commerce platform designed to offer a better way to buy and sell used vehicles. The company's scalable, data-driven technology brings all phases of the vehicle buying and selling process to consumers wherever they are and offers an extensive selection of vehicles, transparent pricing, competitive financing, and at home pick-up and delivery. It was founded in 2013 and is located in New York City.",https://www.linkedin.com/company/vroom/,Exited Unicorn,https://twitter.com/vroomcars,https://www.facebook.com/vroom,215
